chill_hours,rainfall_mm,soil_ph,frost
720.99,441.97,6.95,1
1363.60,568.73,5.09,1
1177.11,423.95,4.95,1
892.39,475.24,7.27,1
671.26,256.81,5.58,1
628.39,695.89,5.48,1
622.13,283.56,7.55,1
941.79,408.70,5.20,1
1198.01,481.89,4.91,1
1061.23,818.15,5.36,1
1156.44,345.73,6.71,1
1160.44,388.68,4.83,1
814.09,561.07,5.32,1
232.46,335.90,5.87,0
771.32,656.74,5.92,1
1308.67,648.10,6.68,1
844.06,734.92,5.82,1
826.65,313.02,5.02,1
304.72,371.81,6.43,1
568.15,841.94,5.57,0
1059.28,139.07,6.91,1
1276.58,643.89,7.15,1
1086.34,581.00,5.38,1
486.90,879.23,6.32,0
672.09,82.43,5.89,1
1279.44,826.34,6.52,1
664.00,169.30,6.73,1
648.82,807.15,5.40,1
566.70,299.48,6.54,1
959.37,708.52,5.43,1
275.23,544.03,7.12,0
700.22,428.82,6.28,1
1285.68,327.91,5.59,1
424.68,104.99,5.12,1
875.09,574.83,5.31,1
975.63,645.98,6.84,1
273.67,477.45,7.14,0
1220.41,609.05,7.39,1
474.88,651.38,7.15,0
432.23,208.45,5.06,1
382.35,584.90,5.09,0
1179.64,739.05,6.80,1
1308.90,864.66,6.55,1
323.46,132.86,5.38,1
649.33,456.11,6.71,1
683.90,525.64,5.85,1
341.06,569.61,5.85,0
1355.24,854.92,5.00,1
1111.75,671.43,5.63,1
624.97,684.60,7.37,1
658.51,318.29,6.20,1
890.82,322.70,5.74,1
1217.62,505.78,4.94,1
999.43,140.17,5.56,1
315.22,471.60,7.56,0
1320.69,155.29,5.80,1
1172.94,84.20,6.94,1
501.02,455.75,5.87,1
820.12,123.56,5.41,1
766.27,149.99,5.58,1
1345.70,643.39,6.22,1
1134.13,436.45,6.46,1
1282.83,609.01,6.58,1
1123.47,418.87,7.25,1
1190.82,830.59,5.86,1
1270.14,201.54,6.99,1
706.56,877.11,7.58,1
525.09,465.27,5.60,1
999.81,181.14,5.27,1
657.41,815.87,7.28,1
435.84,95.16,7.12,1
363.60,273.98,7.38,1
1325.08,105.50,5.32,1
1104.65,385.81,6.97,1
382.37,505.02,7.53,1
333.18,607.68,5.85,0
642.44,471.70,6.43,1
882.41,295.71,6.33,1
1077.74,189.55,6.15,1
1125.36,423.46,6.21,1
932.61,730.17,4.96,1
662.59,363.52,4.86,1
557.29,449.02,6.63,1
836.08,664.81,7.42,1
1339.58,890.18,5.64,1
292.86,447.95,6.86,0
