moisture,weight_kg,metal_signal,odor_score,optical_density,conductivity,contaminated
-3.6465,-4.4561,0.3887,-0.2066,2.2571,0.2047,1
-0.6222,1.1644,-2.0641,0.1156,-1.7022,0.2693,0
1.2300,1.1813,-0.9761,-0.2877,-1.0390,0.0461,0
0.4789,1.8127,0.7079,0.9721,0.5036,-1.6660,0
0.4275,1.3948,-0.6372,-3.0352,-3.6591,1.9293,0
-3.1389,-3.0408,-1.5343,1.2836,4.6618,-0.8532,1
0.6796,-0.1991,-1.3105,-2.3852,-0.7246,1.6334,0
-0.3962,-2.9613,-2.0417,1.8250,2.7167,0.4573,1
-0.5151,0.6539,1.6306,1.1405,0.6450,0.6744,0
0.2713,0.6263,0.4869,-0.5215,-0.9942,-0.7495,0
-0.4232,-3.7302,0.2073,0.5570,3.6529,0.5139,1
1.6255,0.9917,-0.5985,-3.1575,-1.0478,1.8573,0
0.0479,-0.0915,2.0942,-3.2425,-1.2588,-0.1891,0
-0.1354,0.0343,0.9243,-0.4712,-0.4304,-1.3014,0
-1.0997,-2.8859,-0.5879,1.9180,3.0605,0.0713,1
-1.2539,-3.7857,-1.5549,-0.9689,3.8428,-0.2372,1
-1.7986,-2.0814,0.9039,0.0571,2.9287,0.4715,1
-3.1061,-3.4345,1.6509,0.6901,4.8232,1.1857,1
-0.0772,-2.2218,-0.2078,-1.0345,4.0756,1.1266,1
-1.3682,-2.4581,-1.2458,0.8464,2.3464,-1.2187,1
-0.4262,0.3706,-1.9581,0.3559,0.2027,0.1009,0
-1.5680,-4.6063,-0.4095,1.6017,3.0829,1.2139,1
0.8681,2.5021,0.6398,0.1521,0.4765,-0.4631,0
-3.1878,-2.6442,-1.5169,-0.3094,3.8595,-0.6717,1
-3.0565,-4.1775,-1.3969,3.6563,3.5257,1.2657,1
-3.8664,-5.1684,-1.7118,2.1267,3.8947,-1.2585,1
-1.0102,1.2154,0.5520,-0.4581,0.1077,-0.6347,0
1.0002,0.4185,1.2613,-1.1404,-3.1514,1.8289,0
3.0070,1.2193,-0.1969,-2.3958,0.6102,0.0185,0
-1.1224,-2.5161,-0.8254,-1.9410,3.0728,-0.3086,1
-3.2836,-2.8901,-0.4745,0.8962,3.3187,-1.4630,1
-1.0624,-1.8394,-0.7270,0.2792,2.2170,1.8010,1
0.5714,-0.1117,-1.5747,0.8151,0.7600,0.1935,0
0.4892,-3.4038,0.0119,-1.1200,1.6076,0.3289,1
1.3703,1.1582,-0.7693,-1.7597,-0.9964,-0.1032,0
-1.5301,-2.2590,0.2201,-2.0880,4.1299,0.5066,1
-1.3711,-2.8403,-0.0668,1.4863,0.6823,1.0397,1
-3.3120,-3.0349,-0.4000,-1.6178,2.5568,0.1390,1
-2.2909,-1.5720,-0.4574,0.2324,4.6187,0.1940,1
0.9224,-1.1100,0.6025,0.5034,1.7808,-0.7528,0
-0.3936,-1.7908,-0.0801,0.8984,0.4986,0.4975,1
-2.4126,-4.3800,-0.2176,0.7494,2.3729,2.3447,1
-2.6893,-4.9125,-2.4950,1.8926,2.6438,-0.4053,1
-4.0116,-4.1291,-1.5130,0.4635,1.7559,-0.6985,1
-1.7997,-3.8234,-0.3935,-4.1640,1.0524,1.2418,1
-1.4844,-3.8813,-0.9290,-0.1980,1.9566,1.7094,1
0.4040,0.6253,-0.8986,-2.0586,-2.5287,-0.2474,0
0.3300,0.3264,0.3946,-0.6358,-0.1623,-0.1795,0
1.9583,1.2283,1.1883,-1.1884,0.5945,0.0672,0
-3.3661,-3.1907,-0.6604,-1.5717,1.2709,-0.1688,1
3.3300,0.8927,1.4524,0.2418,0.5785,0.9561,0
-0.7850,1.7996,-0.9796,-0.4619,-0.9217,1.9542,0
-0.6137,-1.4327,-0.2624,0.9009,3.6573,2.8058,1
1.4966,0.7876,-0.9551,-1.8156,-0.7164,0.7849,0
-1.3748,-3.0580,-0.4286,2.8592,4.7272,1.4943,1
2.3831,1.7973,1.5876,-2.6488,-1.8107,0.3157,0
-1.5900,-2.1478,-2.0672,0.9794,3.0176,-0.3952,1
0.5039,1.5571,0.3883,-1.0144,-0.4089,0.1730,0
1.5477,0.6433,0.7581,-1.5692,-0.8633,-0.8070,0
-1.8341,-2.4283,-1.2125,0.1148,2.6399,0.3831,1
1.8810,-0.0900,0.9042,0.8689,1.4523,0.3698,0
0.0934,-0.7072,0.7851,0.4573,-0.5572,0.4941,0
-1.1069,-3.3126,-1.5626,-1.3019,1.7887,-0.2405,1
-3.5015,-3.2913,-1.5722,1.5763,2.5373,1.2656,1
-0.5016,-0.3517,-1.4214,-0.3956,3.2841,0.6867,0
-2.1871,-3.0467,-0.5338,2.0075,2.5191,-0.5872,1
-1.0295,1.2888,0.8484,-0.8288,-1.6326,-0.3034,0
-1.8737,-2.7102,-0.7933,2.4809,2.3015,-0.4677,1
0.0342,-4.0151,-1.1348,3.9576,2.8909,2.0312,1
-4.3040,-1.8549,-0.5666,0.7801,3.4172,-2.3996,1
-2.6530,-2.6520,2.3110,-0.3126,5.3897,0.8812,1
-0.7818,-3.5598,-0.0483,-0.3486,1.0679,1.6145,1
-2.4010,-3.5250,0.2281,-0.3595,1.3347,0.5272,1
-1.5805,-1.7980,-1.7996,1.6201,3.4982,-0.1875,1
0.6721,0.8179,-0.5935,-2.6589,0.1957,-0.9266,0
-2.8272,-2.5930,-1.2132,0.0524,1.2364,-0.9505,1
-3.1900,-4.1761,0.5067,-0.6926,-0.1362,-0.9530,1
-1.2184,-4.1512,-0.5371,-0.4340,0.5922,-0.1773,1
-0.1850,1.0024,0.5269,-1.1599,2.1794,-0.9601,0
-0.4933,-2.7656,0.4038,1.5503,-0.2349,0.1907,1
-0.5719,-3.2529,-1.8167,-0.0826,3.0337,1.4201,1
0.2873,0.5402,-0.8857,-2.5890,-1.3754,1.4551,0
-1.1699,-3.5076,-0.6689,1.3055,2.3690,-0.1530,1
-1.8329,-2.7109,-1.0922,1.6892,0.4768,-0.6977,1
0.4262,1.1579,-0.6681,-1.6416,-0.6359,0.1315,0
-2.7122,-3.3684,-1.4298,1.9514,2.9752,0.8719,1
0.5354,-2.1938,-0.3016,0.6661,5.3480,0.4570,1
0.6692,1.8238,0.6704,-1.2193,-0.2934,1.8502,0
1.2101,0.8467,-0.7303,-1.5334,0.3168,-0.0373,0
-1.8915,-2.0845,-0.7898,3.1200,2.3686,-0.3205,1
-2.4454,-4.1380,0.1262,0.9889,4.1662,-0.2275,1
-0.8537,-1.8955,-0.9695,0.9060,-0.3138,2.1866,1
1.1383,1.6453,-0.2949,-0.2636,-2.3141,0.9430,0
0.9804,0.1073,0.7159,-3.6651,-0.1235,-0.3788,0
-0.5738,-2.4494,-0.5346,0.1277,6.2518,-0.5599,1
2.7633,1.4732,0.7618,-3.5920,0.1891,-0.3487,0
-2.6340,-2.5185,-1.3369,1.4263,1.8192,0.8488,1
-1.4177,-4.0913,-1.2152,-0.1002,1.8635,-0.0108,1
2.9649,0.7729,-0.2781,-1.3607,-1.6786,0.5923,0
0.4412,-0.0741,-0.4259,-1.4589,-1.9593,0.2135,0
-2.5717,-2.7206,-0.8183,1.6416,1.8952,-1.3369,1
-3.3982,-3.2720,-0.2995,1.3595,3.1545,0.5198,1
-1.2532,-2.6694,-0.5304,1.3070,2.2394,0.2977,1
-1.6465,-1.2802,-1.5896,0.2388,2.4174,0.9276,1
0.6980,1.9879,-1.0721,1.5242,-2.0738,-0.5561,0
1.6735,0.4517,0.2271,-0.8291,-0.3492,1.2919,0
-1.1493,-4.2389,-1.3418,2.9065,5.0152,1.5668,1
-0.5106,-2.7725,1.1655,-0.1417,2.2341,-0.0956,1
-0.0705,-3.6988,-0.1550,-1.0117,0.8538,1.1838,1
-1.1099,-2.3333,-0.3492,0.6204,2.3520,-0.5302,1
0.2460,1.8140,0.0730,-2.6827,-0.9311,-0.7703,0
-0.3365,0.6693,-0.3166,-2.4793,1.2118,1.7821,0
1.3199,2.0946,-0.1683,-0.8031,0.7508,0.3575,0
1.4169,-1.4357,0.4401,-1.5314,-0.8432,-1.4082,0
0.2988,1.4203,0.5017,0.0717,0.0679,1.2624,0
0.9890,0.3602,-0.4268,-1.4025,-1.9738,-0.4786,0
-1.6310,-4.9170,-1.6358,-0.2179,3.3914,1.6620,1
-1.5564,-3.0614,-0.9921,2.4494,3.4439,-0.3425,1
1.1068,0.8704,0.9481,-1.4655,1.2342,1.3021,0
-2.1459,-3.3885,-1.4512,-0.7600,3.2568,1.8386,1
2.2111,0.9425,-0.2945,-1.7948,-0.0385,0.0130,0
-0.7384,-3.0499,-0.3858,0.0181,5.2453,1.4449,1
1.0274,-0.3083,0.3199,0.1183,-1.7674,0.1405,0
0.5385,-2.6316,-0.9186,1.6168,4.8690,0.2162,1
-2.1440,-3.3333,-0.5173,2.6137,3.4920,-1.7364,1
1.3176,1.2990,0.6316,-0.4847,-0.8019,0.7671,0
-2.4814,-4.5112,-0.9112,-0.3886,4.6724,0.4112,1
2.4620,-0.4713,-0.9257,-0.1294,-2.7212,-0.1574,0
-3.3958,-2.5815,-2.0085,0.6609,0.5588,0.5988,1
-0.5728,-3.3343,-1.2594,1.5185,3.8308,1.1745,1
2.0391,2.1561,0.3252,-1.2843,-1.7475,0.3837,0
-2.0612,-3.6283,-0.3775,3.5516,1.5244,-0.0196,1
0.6154,-0.0993,0.9941,-1.0787,0.0114,-1.2129,0
-1.0269,-3.0776,-1.5254,2.0434,3.4285,0.3032,1
1.4400,-0.2381,1.0667,-1.1330,-0.0832,0.5601,0
1.3340,0.1837,0.2878,-0.7157,0.5487,-0.4220,0
1.9995,0.9770,0.4846,1.7142,0.2231,-0.3108,0
-1.2338,-3.6558,-1.5825,-0.0997,2.0659,1.6656,1
1.7495,-1.6258,0.1349,-1.8693,-0.9842,0.6937,0
-1.5356,-2.8905,-1.2716,2.9444,2.5360,1.4824,1
-2.1072,-2.6025,-1.1513,2.1154,3.0187,0.0059,1
-0.9671,-2.7652,-1.6431,-0.0583,1.5458,1.0376,1
-1.4601,-3.5222,-0.9848,0.5745,-0.3062,0.4041,1
-0.0692,-4.5006,-1.6404,-0.8592,3.0793,-0.5850,1
0.0737,-3.3147,-0.9544,-0.5831,3.1907,1.2811,1
0.8505,1.9093,1.1425,-0.4658,-0.7388,-0.1589,0
-1.4604,-3.4757,0.6766,2.1827,2.2712,-0.0143,1
1.1965,1.5074,0.2672,0.6433,-1.2921,0.7613,0
-1.0793,-3.1242,-0.2535,2.4169,2.5729,1.4929,1
-2.3985,-2.7054,-0.7386,0.2293,3.4687,1.7226,1
-1.7473,-2.7008,0.4704,-0.0422,3.7807,-0.6056,1
-0.9570,1.0792,0.1039,-1.5429,-3.6425,0.9751,0
0.5154,-0.0947,-0.1252,-2.4208,-1.4975,-0.5165,0
-0.7033,-3.2314,0.4204,-0.0715,1.1479,2.2375,1
-0.6212,1.9797,-0.9288,0.0408,-1.6381,1.7201,0
0.4281,-2.1437,-0.6284,0.4225,4.0129,2.1680,1
-2.1386,-4.1110,0.8392,0.6414,3.6864,0.3704,1
1.1011,0.4548,-0.1927,-3.1561,-1.0914,-0.5848,0
-0.3876,-3.3838,-0.4490,-1.4223,3.2316,1.7550,1
0.8655,1.5298,0.0500,-1.8210,0.1959,-0.2753,0
-2.8726,-3.2951,-0.6834,2.0999,3.5570,-1.0285,1
1.4485,-0.4676,0.0310,-0.0079,-1.3563,-0.1720,0
1.6575,0.6107,-0.9189,1.8526,0.1978,0.5055,0
-1.1494,-2.1254,-0.4867,2.0560,3.0296,0.0592,1
2.1036,0.8415,-0.3224,-1.4128,-3.3994,-1.2884,0
-0.4394,1.3994,0.7808,0.6894,-0.1944,1.8845,0
0.4426,0.3457,-0.7146,-0.4709,-1.4422,-0.4377,0
-2.2225,-2.8341,-1.7055,1.0279,2.8086,1.8840,1
0.9491,-0.6971,0.2784,-0.5897,-2.2774,-2.9812,0
1.9804,0.5806,-0.2537,-1.0387,0.8280,1.8313,0
-2.3273,-1.8793,-0.6701,0.7651,2.6840,0.3205,1
0.8534,-0.0288,0.0351,-2.4786,-0.2626,-0.2591,0
-1.2422,-3.3608,-2.0366,2.6251,2.8447,0.0643,1
-2.1347,-1.6512,-1.0416,2.0628,2.9978,-0.8752,1
1.6910,-0.6573,0.5231,-0.3290,-0.5478,-0.4374,0
0.0553,-1.9957,-1.4677,0.6374,4.3878,-0.2276,1
1.8847,-0.2966,-0.3281,-0.8676,-0.4158,-1.0520,0
-2.9326,-2.5442,0.4297,1.4960,2.7300,0.9805,1
-2.7786,-2.7646,0.2436,1.5243,1.4511,-0.3239,1
1.9429,-0.5099,-0.6144,1.0276,-2.0231,-0.2982,0
1.6658,1.4198,0.1204,-3.0449,-1.2300,0.4395,0
-2.6192,-4.1571,0.3551,1.3918,3.4418,1.3137,1
-0.0960,1.0801,0.8435,0.0769,-2.1765,-1.3549,0
-0.0681,0.9816,0.0093,-0.6594,-2.3282,0.9053,0
0.2861,1.6819,0.1217,-5.4323,-1.1083,-0.7418,0
-0.0056,0.9497,0.9728,0.3252,0.8619,0.3413,0
-3.6590,-3.4173,-1.1716,-0.2106,5.9726,0.6995,1
-0.0516,1.4326,-0.0449,-2.6369,0.4847,-0.3591,0
0.8964,2.6896,-1.0095,0.4674,-0.9898,-1.0703,0
-1.9893,-3.1664,-0.3629,-1.5940,3.4408,-0.4528,1
1.2459,0.9085,-0.3212,-0.0928,-1.6480,-0.5184,0
-0.5695,-0.7321,-0.6900,-3.7926,-1.4937,-0.3558,0
2.7440,-0.3906,0.9155,-0.4114,-0.2138,-0.2043,0
-0.2445,0.4559,-0.0214,-0.3510,-1.5395,1.4637,0
-0.1728,-5.4087,-0.3470,0.5689,1.5551,-2.1148,1
-3.8121,-3.1978,-0.2344,1.2326,3.2542,0.0455,1
1.8391,1.1713,1.0357,-1.6361,-1.3226,-0.8942,0
-0.0530,-3.4776,-1.4077,-2.3573,3.3110,-0.9234,1
-1.6363,-2.8356,0.5287,-0.1149,0.6004,1.3717,1
-1.4091,-3.7637,-0.7463,3.4216,2.5246,-0.2672,1
-1.8308,-2.5346,-0.0982,1.3305,3.0776,-0.6967,1
1.4020,1.6171,0.8892,-0.8883,-0.8880,0.4328,0
-1.5514,-4.3664,-0.5273,2.3101,2.3795,-0.0509,1
-1.0946,-3.0143,-1.2682,0.9825,4.6611,1.9535,1
-1.6585,-3.1955,0.4154,1.2568,3.6648,-0.1086,1
-3.0041,-4.4080,-0.5952,-0.6253,3.6832,1.2703,1
2.4235,1.0085,1.6091,1.1045,-0.3439,0.9983,0
0.4212,-1.9066,0.8700,-0.2189,1.3054,0.5296,0
0.7485,0.1306,-0.4774,-0.5791,-3.0498,-0.6636,0
-0.8135,-4.9871,-2.0008,0.1286,2.4446,0.6070,1
-1.0358,-2.7165,0.1996,0.2232,2.7584,-0.1477,1
-1.7643,-2.6794,-0.2508,-2.1007,1.4010,2.0582,1
-1.1503,0.9926,-0.7905,-1.2493,-1.4801,0.4716,0
-3.0727,-1.9856,1.1410,-2.7104,1.8929,-1.3090,1
0.9194,1.9681,1.3798,1.0079,-0.4801,-0.4193,0
2.0636,0.0029,-0.5380,-0.8826,-2.2357,0.1557,0
-0.3647,0.8145,0.9190,-1.8265,-0.0444,1.0417,0
-2.5635,-3.2725,-1.2920,3.4086,2.0065,0.7826,1
-3.2535,-4.0938,0.1248,0.3272,3.4424,0.3608,1
3.9124,0.7725,0.8481,-1.8978,-1.0709,-1.2761,0
3.7168,-1.0377,0.5371,-1.2740,0.1892,-0.3976,0
0.2938,-2.1695,-0.3208,1.5434,4.1050,0.7441,1
-0.0259,-2.4648,-0.5621,1.5345,3.0218,1.3031,1
0.5924,0.6335,-0.9162,-0.0302,-0.2340,-0.4430,0
2.7715,1.1205,-0.8503,0.8393,-0.8181,-2.5402,0
1.3361,0.8517,0.2070,-0.9703,-1.5924,0.6089,0
-3.2890,-3.1882,0.2184,2.2137,2.2587,2.2862,1
-1.5906,-3.2067,-0.5895,-0.2290,3.8289,-0.6790,1
-2.3618,-4.0008,-1.2054,0.2751,4.9689,0.3347,1
2.4419,0.6345,0.8669,-2.0346,-1.8588,1.9547,0
1.1272,-0.3680,0.6500,-1.1802,-0.7902,1.0121,0
-0.1548,1.4539,0.3109,-1.2645,-2.1387,1.9379,0
0.4904,-0.2344,0.2824,-0.3231,-0.1870,1.6584,0
-1.0502,-3.1457,1.0905,3.6175,1.4435,1.1425,1
0.4783,1.9649,-0.5596,-0.3988,1.2429,0.2897,0
1.9753,0.1218,-0.8613,-2.4593,0.2065,-0.4799,0
2.2659,0.1750,1.1450,-0.3634,-1.9483,0.3244,0
-1.2750,-2.5438,-0.6467,2.4996,3.7461,1.4287,1
-2.5429,-4.6263,0.0154,-0.2599,2.0465,0.1624,1
-1.4345,-4.3485,-0.6907,2.6213,0.8871,0.2882,1
-0.1174,-2.3568,-0.1878,1.2225,0.9943,0.4810,1
-2.6397,-3.0436,-1.2891,-1.0565,2.9290,1.5319,1
-1.8872,-2.5458,0.1576,1.5479,1.1797,-0.2879,1
1.2308,0.7569,1.5334,0.0094,-1.7866,0.9192,0
1.8644,1.3909,0.5013,-2.8269,-0.5621,0.6093,0
-1.9789,-3.2878,-0.1558,-0.0704,1.6187,0.1913,1
