A,B,C,D,E,F,G,Y
0.49076589,0.52430309,0.64627201,0.43571130,0.77457141,0.12484402,0.89447632,0.68164257
0.37238469,0.03903315,0.69722481,0.23987600,0.15468504,0.10017629,0.85900467,0.18375257
0.47740115,0.79298168,0.73377766,0.76959737,0.48327930,0.99784799,0.69430626,1.37347989
0.36589039,0.05195690,0.87533519,0.20222761,0.81081813,0.35435014,0.52792016,0.18547551
0.83791799,0.82694353,0.41316612,0.03864652,0.85952318,0.06359397,0.17466442,1.26251664
0.76864751,0.00879911,0.14248297,0.70011363,0.51998617,0.51150415,0.93130273,1.06875455
0.31399468,0.67411133,0.26031093,0.74250114,0.10144659,0.69743265,0.85418918,1.27660308
0.57262533,0.16571392,0.38968540,0.23875936,0.21935070,0.46025757,0.52611474,0.79178626
0.27604905,0.34287524,0.05457757,0.17340592,0.02444407,0.13136772,0.75416110,0.59844401
0.45284293,0.95275139,0.70854883,0.58053128,0.16573270,0.51483735,0.89913063,1.21928800
0.35297837,0.48623347,0.06301065,0.91963043,0.06112485,0.06909024,0.30451455,1.15782096
0.65739946,0.65742639,0.05770876,0.25398330,0.70000571,0.73041968,0.57378053,1.38959040
0.37035108,0.74073510,0.93249954,0.54000420,0.70096611,0.93904592,0.95904709,0.89921158
0.45909298,0.10992798,0.80624588,0.26437822,0.44331554,0.04192478,0.22340677,0.40207008
0.71932412,0.83879576,0.25368105,0.74164778,0.88096560,0.57051312,0.15012359,1.60559705
0.41299183,0.91391994,0.34170809,0.46709639,0.14628772,0.83086101,0.94926307,1.33516406
0.90642327,0.15542065,0.82591970,0.37895635,0.19400543,0.64056143,0.87590954,1.00650558
0.18045162,0.54623843,0.61923546,0.65614058,0.61140646,0.14909092,0.04369707,0.68760013
0.74111887,0.28350512,0.26491762,0.53141954,0.52807486,0.06816012,0.58003037,1.04797176
0.42237404,0.74064673,0.44901920,0.20114935,0.12218616,0.45748007,0.64554137,1.08255463
0.42645357,0.02827039,0.85555959,0.41621224,0.90684997,0.04826115,0.71686134,0.11574898
0.63437987,0.51254700,0.00069135,0.95649351,0.62184125,0.83681866,0.61626620,1.62811543
0.52290620,0.79281486,0.99239387,0.80113521,0.60795207,0.51630647,0.56250368,1.13458463
0.41488598,0.73473691,0.56593353,0.51210860,0.37311169,0.31676479,0.60750223,0.98485500
0.00142688,0.10818383,0.18202008,0.66046325,0.60620711,0.77090356,0.61966102,0.49491467
0.09226235,0.83294011,0.80019281,0.14237142,0.07150829,0.21453137,0.09229459,0.52838819
0.70939439,0.23784073,0.07619519,0.41319337,0.30120731,0.51382543,0.17396963,1.22197572
0.52434560,0.80778763,0.41000008,0.89481637,0.63337756,0.50616172,0.28613278,1.46007263
0.69616046,0.49712883,0.57313226,0.18812034,0.59871300,0.10401053,0.92791326,0.84773259
0.95546832,0.16082577,0.24719435,0.98192133,0.52602354,0.80092943,0.46701776,1.67511420
0.68291385,0.73404068,0.88523282,0.84811108,0.05309537,0.69862510,0.61365716,1.33095920
0.05312869,0.80791295,0.69689404,0.68612810,0.32162844,0.19899360,0.96841959,0.57504150
0.30885268,0.69890115,0.16182814,0.37362415,0.98451603,0.43085267,0.10043355,0.91215874
0.59259469,0.96484634,0.15259950,0.09207755,0.94319077,0.30931908,0.19250176,1.19884234
0.23512041,0.25614445,0.06193320,0.29468381,0.82023015,0.93734728,0.28138189,0.72025626
0.96497100,0.23576233,0.57149851,0.74099647,0.06376179,0.66782116,0.91909910,1.48427746
0.94504822,0.14723009,0.18726701,0.42162136,0.07348302,0.94433941,0.71802053,1.39839656
0.84840088,0.53940621,0.54298268,0.80288603,0.21266736,0.76672794,0.13055396,1.71168998
0.47232400,0.39944882,0.81947248,0.21579648,0.82775689,0.79162266,0.07096416,0.62512991
0.84147671,0.35666205,0.87918502,0.82374613,0.20392427,0.31020031,0.16995766,1.23173264
0.13111064,0.46030460,0.11635034,0.86011158,0.22530375,0.84871324,0.91559533,0.97823316
0.30873366,0.27454223,0.33223743,0.72219716,0.26039817,0.33477655,0.42106767,0.86591090
0.46299639,0.00426038,0.41737572,0.20401414,0.73321583,0.82697854,0.86973866,0.45301717
0.74184720,0.47175069,0.38341748,0.22289144,0.52758019,0.70983330,0.84661741,1.10445960
0.48582523,0.27588452,0.41882896,0.06429440,0.86052754,0.50957909,0.96646776,0.41707158
0.13687612,0.44978361,0.45998748,0.05130135,0.07604178,0.17033741,0.54226596,0.50642351
0.34353653,0.92887511,0.75655030,0.73906963,0.05155411,0.60086722,0.27338041,1.24686683
0.32442617,0.17900541,0.30551579,0.49151664,0.84626280,0.62450893,0.51442250,0.60659612
0.30041890,0.63748358,0.34342433,0.76151122,0.10896650,0.68555448,0.89325408,1.12657344
0.16550140,0.64441490,0.39024474,0.28274617,0.71493890,0.06632588,0.94797837,0.45186965
0.41490177,0.28129318,0.15121847,0.34526687,0.60456868,0.24957172,0.39770196,0.69150497
0.44812066,0.47088800,0.63037343,0.89470360,0.20724923,0.56094930,0.48713023,1.19997732
0.77490038,0.96961164,0.40024602,0.99738340,0.26021303,0.85247664,0.79787428,2.03707695
0.79639070,0.34246013,0.91615258,0.10175594,0.73974652,0.23250107,0.39697043,0.67371124
0.52239013,0.71234518,0.82141588,0.77925209,0.02169333,0.89702235,0.23967045,1.37023766
0.46063030,0.84021916,0.23017990,0.55614858,0.95566671,0.97516228,0.27937096,1.39561075
0.77821360,0.36069111,0.24231397,0.00454879,0.04493149,0.08893787,0.48011878,1.06500403
0.88728895,0.98991413,0.78227059,0.61655015,0.16166407,0.72405625,0.23835763,1.82178219
0.67491877,0.62586924,0.55988696,0.27992819,0.63995160,0.39750019,0.76462697,1.07567739
0.80047905,0.50098527,0.01021071,0.35056307,0.11437991,0.13789811,0.66721149,1.19889161
0.93911135,0.71490752,0.62988305,0.96927889,0.99767540,0.22252005,0.93266237,1.57154463
0.04065581,0.42382993,0.39491291,0.74267791,0.43299825,0.36137992,0.74680380,0.62522547
0.87567172,0.71232672,0.78521377,0.05452174,0.06895287,0.01791706,0.45331080,1.19034951
0.27656307,0.27480238,0.74684703,0.68097580,0.16502087,0.69456678,0.18264485,0.62069193
0.47576450,0.92720831,0.92232801,0.01299566,0.54225931,0.45366621,0.23530681,0.81424240
0.79676096,0.54196284,0.69928597,0.88619386,0.87029512,0.34596672,0.88686401,1.26827539
0.71724223,0.24164949,0.91297859,0.59668252,0.25704697,0.86764788,0.63559310,1.02362308
0.14714757,0.43719667,0.28465482,0.63082131,0.39937931,0.96636545,0.10688332,0.91312269
0.65874826,0.89509654,0.33871569,0.01644875,0.56896779,0.45831775,0.49983104,1.25627513
0.06925207,0.80705532,0.05920085,0.08378587,0.65069051,0.31075741,0.76623226,0.61349967
0.35707063,0.48446895,0.86693611,0.52615291,0.72327354,0.60322538,0.80478331,0.63170190
0.81282955,0.35170168,0.15421759,0.38173461,0.32475417,0.40553202,0.83940193,1.21118484
0.42770483,0.37624741,0.55131951,0.81829548,0.37063798,0.89159787,0.91102101,1.07755417
0.59985444,0.98119536,0.50919539,0.28397207,0.87360282,0.28840499,0.48230869,1.19326376
0.72816128,0.11221279,0.81393508,0.39966568,0.90608403,0.12809232,0.66725379,0.55535674
0.82122761,0.88902390,0.38798947,0.11999874,0.41739967,0.01506180,0.07334839,1.32702824
0.76051512,0.85760887,0.14266467,0.50287093,0.99654977,0.17032349,0.66159528,1.31165103
0.00714328,0.22438841,0.38308105,0.95502157,0.17517575,0.09450706,0.51462815,0.61665746
0.42025683,0.34935873,0.04804999,0.26589687,0.82329146,0.91071737,0.21313473,0.81193169
0.46313622,0.56955989,0.30146981,0.79083163,0.90892361,0.67991125,0.25290037,1.22963353
0.05549950,0.80239270,0.63000271,0.16395611,0.56466324,0.58102481,0.70774378,0.48524527
0.54144213,0.95044541,0.05714314,0.88590294,0.69192203,0.94475196,0.22589903,1.77277225
0.60777075,0.99180870,0.98969623,0.51263319,0.06009778,0.61813096,0.34268617,1.27867761
0.82845319,0.28123171,0.53618909,0.12580816,0.84263606,0.70611146,0.37695414,0.99881974
0.94180927,0.19236357,0.30007185,0.78269664,0.68316319,0.15852934,0.76094192,1.24137775
0.12814785,0.48772515,0.83378724,0.88758671,0.57842235,0.28759027,0.19265026,0.53587741
0.23043067,0.55756390,0.13746518,0.14506117,0.58123183,0.61742918,0.07921365,0.76803003
0.65915840,0.65670468,0.32196397,0.11741592,0.15993467,0.83593945,0.18339762,1.41671087
0.13247399,0.10759113,0.93715001,0.25138847,0.84730112,0.28211053,0.71252618,-0.13767163
0.22407864,0.64635602,0.23993308,0.51494844,0.52912479,0.45367552,0.05047495,0.94483954
0.57486259,0.92137908,0.73289193,0.95011035,0.60791618,0.28208035,0.55434273,1.35804800
0.16952372,0.91520107,0.08093038,0.86059918,0.17008193,0.28929678,0.50417469,1.25932208
0.78223015,0.94377400,0.53247464,0.32462598,0.62812817,0.57486799,0.37417646,1.54517307
0.85697563,0.92233960,0.65811111,0.03725998,0.23835449,0.91902593,0.34732121,1.52961594
0.03367420,0.96077783,0.20972305,0.59570786,0.76237276,0.97614085,0.53867124,1.14097865
0.53264480,0.04869254,0.32763012,0.57476207,0.02761897,0.56578423,0.06083919,0.97110452
0.79695136,0.91601819,0.55050908,0.24153774,0.12442171,0.02417213,0.32286542,1.42541552
0.97513968,0.27121281,0.58998496,0.60356066,0.21113495,0.27637708,0.41646089,1.32407485
0.27425859,0.32066574,0.15421756,0.98159430,0.40094805,0.65571031,0.14157274,1.06805403
0.16910106,0.45861424,0.41077465,0.14438695,0.87068288,0.92480960,0.52462349,0.57961155
0.87670093,0.95528040,0.99973301,0.31480237,0.00680273,0.14608112,0.30942271,1.35309811
0.90918246,0.60508890,0.32243494,0.84793355,0.55593848,0.82855024,0.06559515,1.86733900
0.19753289,0.35269322,0.78535606,0.15917489,0.03600575,0.87947134,0.12809161,0.47929166
0.44152974,0.37415765,0.20161392,0.12876880,0.37961859,0.08978792,0.32784927,0.65295280
0.71923214,0.90492849,0.46119396,0.17202186,0.29816377,0.90481543,0.66183041,1.51835017
0.84534516,0.82234757,0.51816955,0.76969755,0.16414112,0.59536998,0.80024291,1.68507713
0.16827531,0.13753772,0.59601829,0.12743003,0.47933419,0.84616498,0.48621975,0.37045856
0.66496896,0.24868187,0.71765297,0.09112458,0.34182099,0.67367788,0.04671257,0.82561132
0.80783546,0.37194520,0.79591038,0.62695713,0.26186508,0.67869845,0.60698683,1.24233839
0.54971412,0.21674199,0.70016572,0.76683018,0.61168558,0.87482362,0.90532062,0.90883060
0.16471666,0.56348175,0.80720052,0.75634643,0.24434826,0.76296834,0.05152655,0.89506594
0.03552880,0.22363876,0.88596170,0.43310290,0.97201067,0.40877424,0.34770308,-0.00529675
0.28153382,0.57492450,0.32611929,0.91660030,0.24948886,0.38246966,0.01685709,1.25708748
0.80787085,0.93602462,0.82730930,0.15087529,0.98855044,0.96870030,0.57729685,1.34149562
0.04476626,0.84867598,0.51997819,0.44152155,0.16137214,0.26395301,0.10428672,0.72021470
0.00821651,0.09926346,0.25942787,0.36928716,0.94990369,0.37674529,0.94093667,0.10379283
0.36161665,0.20690480,0.17307370,0.54618603,0.06273483,0.14394780,0.40738481,0.75269095
0.06362229,0.41274924,0.76444901,0.19326226,0.00742487,0.33911043,0.62135723,0.24847792
0.14948630,0.64612758,0.63663283,0.14712289,0.09748426,0.58419153,0.32870000,0.64353224
0.02319037,0.38656636,0.07073137,0.98335833,0.70717637,0.19384016,0.33592618,0.67978918
0.52471984,0.25161237,0.58745373,0.30212618,0.23265012,0.42585848,0.01153923,0.80508048
0.69669590,0.34465904,0.04454662,0.49970189,0.27562851,0.60871956,0.86664962,1.27488181
0.42705349,0.20401359,0.39125605,0.91626835,0.67332245,0.38533283,0.26972395,0.96047542
0.13457046,0.86186672,0.57116124,0.30265186,0.02949969,0.75517198,0.24835926,0.93428349
0.33135721,0.69725171,0.65019465,0.36659602,0.54026311,0.51537639,0.35993789,0.79695672
0.59034585,0.41102910,0.15785276,0.56315513,0.40033892,0.32509383,0.18411820,1.12066658
0.94066139,0.70043143,0.04483664,0.06806238,0.16135828,0.72477892,0.31232599,1.65484680
0.99255772,0.51972932,0.57602376,0.02337713,0.91173567,0.55398375,0.28111419,1.25188619
0.24160292,0.52626221,0.81878426,0.63275858,0.36037685,0.45163357,0.97495664,0.71374504
0.01057991,0.36735561,0.79661163,0.37088131,0.29133951,0.16110501,0.87627556,0.04244955
0.83064033,0.48821836,0.35965989,0.07950123,0.69450415,0.98689352,0.28240042,1.31071677
0.92661294,0.98551624,0.57695112,0.28663774,0.85547430,0.17393133,0.83918711,1.42299647
0.45860348,0.78446487,0.71869788,0.69345643,0.22803283,0.38461349,0.03813052,1.19449244
0.77144234,0.82770029,0.87318839,0.75960664,0.12716594,0.58556586,0.56860384,1.54756649
0.86619903,0.12437185,0.49162729,0.50539614,0.96003135,0.93328357,0.86351042,1.10738423
0.60961480,0.50427398,0.87550011,0.22076415,0.42744037,0.30143295,0.21689489,0.75037762
0.87262718,0.36690094,0.31772888,0.83949604,0.53499103,0.11459958,0.16094814,1.39834822
0.02390303,0.08890697,0.21925214,0.20769302,0.45694001,0.70672095,0.79412168,0.24517432
0.27159522,0.39527703,0.29412328,0.75691555,0.82795235,0.95095501,0.65330009,1.01899000
0.27721958,0.07418767,0.72976742,0.15322398,0.42893015,0.45195914,0.97414627,0.22637692
0.12063243,0.23401971,0.88514041,0.93485313,0.75706210,0.99800764,0.15878507,0.55471589
0.91071345,0.79876271,0.47118219,0.77337078,0.52275665,0.32194419,0.14843409,1.70190332
0.03043927,0.68621748,0.69591773,0.50123976,0.07968849,0.88058411,0.05538560,0.79954847
0.67256103,0.69854664,0.13881375,0.43417130,0.50933049,0.00144684,0.32428646,1.21426406
0.07133969,0.07935788,0.50742929,0.57297575,0.85559876,0.67957457,0.04772729,0.39142273
0.36078049,0.16398228,0.43484114,0.66111433,0.53111696,0.88519280,0.61395882,0.80820675
0.41809954,0.02158414,0.43160426,0.55788266,0.39279101,0.27993195,0.08586695,0.64307258
0.18140429,0.09751453,0.18804466,0.69581718,0.02564157,0.84774377,0.45423938,0.74185317
0.52101410,0.10121880,0.62278104,0.08768105,0.70129485,0.59945085,0.51506886,0.47317085
0.53499176,0.96014469,0.67207231,0.41716965,0.39260018,0.32019355,0.08635172,1.25840388
0.31704388,0.89395126,0.63632381,0.75348220,0.32334305,0.04303738,0.69189487,1.13146292
0.73708806,0.20425398,0.74275632,0.43835199,0.36977033,0.66163252,0.99055129,0.86737695
0.16020241,0.25381295,0.45822331,0.97066428,0.41770215,0.37536963,0.38928021,0.76864099
0.19250822,0.96087785,0.85259949,0.53398481,0.33576190,0.54369040,0.51680788,0.80370084
0.35451102,0.56999765,0.57121220,0.31095293,0.29168620,0.19862703,0.37525697,0.70227890
0.37837613,0.36852329,0.88181000,0.89208426,0.46049913,0.01935262,0.97980001,0.54531565
0.20628586,0.46654429,0.41015475,0.42221953,0.04662612,0.09685752,0.85048636,0.59611984
0.91870921,0.27220995,0.70013862,0.54618572,0.22576062,0.64091828,0.96870089,1.25806977
0.82809357,0.58357728,0.19680503,0.64137418,0.43813101,0.12744094,0.38641095,1.50600229
0.10687674,0.72527182,0.08306700,0.85600816,0.88477344,0.29754110,0.31633158,0.85861869
0.36948592,0.51544826,0.93150239,0.20943869,0.42813101,0.59193234,0.01613931,0.60326847
0.23267110,0.82066633,0.37083774,0.87380054,0.55589281,0.27302973,0.07686307,1.10030606
0.45107860,0.11321054,0.04569852,0.57373169,0.89359276,0.47274564,0.95632382,0.77665283
0.27631719,0.60365297,0.61845351,0.36644443,0.80582387,0.41249803,0.58435005,0.67007061
0.50180689,0.98960230,0.93326123,0.33524514,0.71229629,0.77728557,0.44608488,1.08908303
0.92260315,0.14907905,0.76900900,0.98178080,0.61945710,0.40340785,0.15783665,1.26394087
0.38251114,0.49503607,0.98724711,0.94707984,0.59588200,0.28305514,0.93802745,0.68564228
0.65012833,0.63014528,0.93511693,0.54560335,0.19052751,0.98597131,0.03935344,1.26873648
0.59562111,0.33752942,0.45553348,0.34636874,0.13513840,0.17280850,0.64858169,0.86709581
0.75195356,0.96461732,0.23390975,0.97387850,0.05567899,0.64033366,0.59895228,2.07146802
0.06166533,0.48541041,0.06523848,0.01634097,0.09381732,0.62370814,0.73122045,0.53310522
0.74482367,0.47869869,0.27212372,0.04892525,0.61498157,0.34958949,0.74370991,1.03559701
0.94627593,0.90266370,0.63215214,0.48660690,0.60847985,0.74365772,0.67449816,1.71125547
0.60355955,0.01591041,0.91089133,0.58699111,0.03728547,0.75376000,0.55346214,0.79514818
0.28757994,0.86888516,0.00170788,0.00654782,0.83833242,0.47636193,0.43365475,0.81446013
0.67236922,0.12907340,0.81748447,0.18749488,0.44152860,0.32306310,0.80185419,0.70847535
0.71204879,0.37916842,0.76446479,0.08620462,0.53843913,0.11325133,0.13277689,0.67262956
0.65645029,0.48845617,0.69098255,0.24980233,0.07352314,0.86990387,0.28248880,1.14509233
0.14693032,0.47655870,0.12787716,0.18287683,0.85848349,0.98384574,0.78179454,0.67267687
0.97347557,0.03940856,0.05325557,0.12428370,0.08006695,0.28045807,0.88908063,1.10960012
0.95538345,0.31710713,0.73675422,0.12945903,0.21100159,0.32010545,0.66213951,0.99197213
0.42462553,0.35679469,0.64140924,0.37139214,0.46516315,0.64578623,0.04986428,0.70963190
0.59363733,0.95617933,0.36989807,0.12873742,0.49764913,0.77882641,0.83047489,1.26464488
0.03962857,0.91698537,0.34550807,0.77342188,0.53322317,0.84534380,0.96845379,1.02076956
0.98863433,0.58434863,0.03264336,0.40278279,0.93604217,0.76787581,0.46037049,1.57815237
0.81874499,0.93336770,0.99343427,0.11682512,0.03497306,0.68041522,0.39036702,1.30618942
0.63650234,0.86371240,0.83664215,0.65134984,0.67622220,0.62199772,0.35230909,1.37398479
0.76108474,0.37572270,0.97419076,0.78818405,0.42978265,0.01442743,0.60656140,0.97090128
0.18802993,0.11696685,0.81803747,0.35965384,0.81223880,0.48974670,0.16972249,0.12985838
0.30765459,0.60713755,0.45885291,0.00613461,0.66751183,0.70854266,0.13461947,0.75246639
0.24639364,0.32300944,0.84516480,0.65016801,0.81260742,0.30272720,0.99084109,0.38281010
0.59604912,0.00974250,0.19835750,0.75398992,0.86352815,0.24690576,0.50103713,0.90731923
0.09190485,0.98117935,0.67247466,0.88929120,0.78040178,0.41279699,0.51476959,0.97250307
0.89560999,0.96927610,0.23721935,0.71315143,0.13225543,0.54428297,0.30139445,1.99546432
0.46227594,0.53680645,0.39247747,0.59684484,0.53722297,0.01102406,0.04467186,1.00467128
0.44481236,0.61818570,0.87168010,0.34308430,0.77329615,0.75156960,0.06452373,0.88798364
0.10471130,0.66886680,0.42495109,0.24383393,0.77440384,0.70865201,0.05895168,0.65042683
0.68490404,0.92653871,0.89371604,0.06487459,0.92706135,0.22478609,0.70308690,0.97311652
0.81689399,0.46750868,0.59955938,0.81930363,0.41590725,0.24859104,0.77971898,1.42322305
0.62955017,0.58287818,0.29374614,0.56030388,0.00896525,0.17448628,0.95123194,1.22680189
0.24202261,0.22653966,0.26035696,0.28789623,0.72723823,0.41182877,0.98064212,0.31761242
0.78542072,0.24239824,0.00337406,0.12464982,0.27816356,0.95985454,0.15119226,1.21427751
0.14567943,0.52211219,0.57209804,0.28836150,0.65560706,0.39062592,0.01510444,0.48951569
0.82727633,0.22920495,0.83856957,0.75778350,0.04898466,0.92597133,0.68438925,1.32971611
0.58070537,0.03025279,0.22471847,0.21579062,0.35537396,0.18125066,0.29208707,0.57746548
0.28937281,0.36840796,0.47924309,0.05210269,0.63315767,0.23937556,0.92256390,0.45969850
0.51324340,0.74994514,0.98389607,0.38004775,0.12605144,0.50693436,0.48765285,1.05776002
0.62885140,0.27707018,0.39338735,0.33580987,0.31713451,0.15107433,0.43822847,0.85194625
0.25858950,0.86270394,0.93844683,0.69703962,0.14504051,0.11331674,0.42057657,0.74955893
0.84690656,0.70250238,0.82659071,0.55600080,0.89107110,0.67000849,0.30697589,1.34486164
0.42125371,0.65331911,0.49461258,0.47271063,0.77431289,0.34239269,0.56397832,0.95091709
0.89233746,0.89248314,0.63536416,0.97607445,0.63850692,0.69876897,0.18481842,1.98604746
0.83546856,0.07381103,0.06558311,0.84412178,0.51993653,0.22724683,0.97716367,1.20833634
0.09934751,0.17876540,0.51643261,0.12815208,0.97760495,0.29981020,0.80655692,-0.00229022
0.64625411,0.90927022,0.75993358,0.24839466,0.25858716,0.89283917,0.85335621,1.21738116
0.31049457,0.90703738,0.23036659,0.41936396,0.70551651,0.57965250,0.94589591,1.09924777
0.75405320,0.07826726,0.05148670,0.07152340,0.08624398,0.12261668,0.68272866,0.85512227
0.54263166,0.77423155,0.02940119,0.75814196,0.62162100,0.42066138,0.90185019,1.36485001
0.45759887,0.01543242,0.16031574,0.76817383,0.19532737,0.10007430,0.73848052,0.78886310
0.89536678,0.13523555,0.23776700,0.29242467,0.00941369,0.06623716,0.47419516,1.11578405
0.05725356,0.10976057,0.80540169,0.90535542,0.90920843,0.56416122,0.02096495,0.29895754
0.55731763,0.29399558,0.45911454,0.55248407,0.27935102,0.11174130,0.51532563,0.84479235
0.32791110,0.38826842,0.53555838,0.22361364,0.99029899,0.21436803,0.53948876,0.44748273
0.03527334,0.91087386,0.31310106,0.62149402,0.67981489,0.07259752,0.73638088,0.70154365
0.75351852,0.43639781,0.29882833,0.67256941,0.67086659,0.11127661,0.86886212,1.24979544
0.56174066,0.12384908,0.55348549,0.71754867,0.67342427,0.44842647,0.62869192,0.79648373
0.89414534,0.27234875,0.74578901,0.97134362,0.99236433,0.16565953,0.08716970,1.21948268
0.59826123,0.00637683,0.18069017,0.91364366,0.22472340,0.31439715,0.09161204,1.05489222
0.33703428,0.02804940,0.43464945,0.41327638,0.98763901,0.43516267,0.87102136,0.36023541
0.98521966,0.43106832,0.64408695,0.43182565,0.32166325,0.19411456,0.88094305,1.23906601
0.11571405,0.51218827,0.96009388,0.02345263,0.09426441,0.13488516,0.40057888,0.14582708
0.05260174,0.24996158,0.26940369,0.41749900,0.92224859,0.14780355,0.06827705,0.22353454
0.73262191,0.37989242,0.39286404,0.17714866,0.09727724,0.94127136,0.10736771,1.20198497
0.37087490,0.10336897,0.56930230,0.12016828,0.47529221,0.34870825,0.11434315,0.36419646
0.36146508,0.65882156,0.14189756,0.81584577,0.83405132,0.45561124,0.91370318,1.08764790
0.87653216,0.39260557,0.61158297,0.02181316,0.27660585,0.75294399,0.40636671,1.08780443
0.32729365,0.16152560,0.97445725,0.12905765,0.72023588,0.78717431,0.46373931,0.15746105
0.88898860,0.49739363,0.27342026,0.66436461,0.64190389,0.69572365,0.81902964,1.46531821
0.64398798,0.20837484,0.48058156,0.56718502,0.69109848,0.89194584,0.24340103,1.10651409
0.32904954,0.29212928,0.11763826,0.42902897,0.15071702,0.53265769,0.53263969,0.82138485
0.05953265,0.12417043,0.51806025,0.80758204,0.70297547,0.16599469,0.57826822,0.31565868
0.24510935,0.78073049,0.97157692,0.23812627,0.83968589,0.61222457,0.41505913,0.65800360
0.96841320,0.27931523,0.54237626,0.20661949,0.14133907,0.45241121,0.12053281,1.25976303
0.40526764,0.95567666,0.21350145,0.51368282,0.96068323,0.82960161,0.42381065,1.36658378
0.16003346,0.40543191,0.31075724,0.10665326,0.95178672,0.24296070,0.11204267,0.36743980
0.29801325,0.15519449,0.62640744,0.68907829,0.31887179,0.67711138,0.31741159,0.71282952
0.89957578,0.70521297,0.85702344,0.93501210,0.95535278,0.01007315,0.40034530,1.32957128
0.16497672,0.73355815,0.45343769,0.81142408,0.93844392,0.38306262,0.19034193,0.96571127
0.77786007,0.88131965,0.49012012,0.88120861,0.11655166,0.34610013,0.99737051,1.76806463
0.13486463,0.13151248,0.80935532,0.07295092,0.74403297,0.09436336,0.68987713,-0.31628402
0.96139371,0.78988596,0.10529372,0.42403434,0.96245092,0.82087194,0.93142437,1.67704924
0.53020539,0.85975909,0.95124561,0.90294013,0.82360701,0.82686868,0.93202833,1.19728211
0.04316994,0.30451830,0.46476506,0.84136373,0.13270507,0.25038621,0.28692939,0.59895003
0.93095468,0.45448218,0.33164986,0.59379201,0.40791120,0.71157048,0.14499885,1.69007973
0.35822554,0.61964196,0.77854489,0.65441825,0.56400550,0.90208581,0.99172982,0.90566120
0.73142128,0.24551314,0.25647262,0.26601153,0.37139675,0.58008572,0.51018828,1.12305185
0.52370801,0.87135592,0.14643663,0.26523239,0.38579823,0.36876474,0.67696190,1.21435076
0.09258180,0.69919425,0.25812168,0.06671166,0.09641091,0.68230144,0.86646639,0.67482062
0.10605922,0.85668305,0.67253087,0.90193043,0.00710300,0.39547829,0.33989906,1.11401811
