m3,m0,m5,m1,m4,m2
-1.891996,-0.267033,1.026054,0.124909,0.856007,0.184454
-0.106958,0.246498,-1.572962,1.235012,0.896441,0.363531
0.232059,-0.086734,2.417397,0.296251,-1.152418,0.717003
2.352622,2.156210,2.851781,0.660751,1.767700,3.175374
-1.205229,-0.170514,-0.724413,-0.170854,0.805052,-0.106920
-1.344022,-2.029158,-0.348278,-2.122353,-2.348800,-1.706978
0.933520,-2.123326,0.808517,-1.833372,0.353778,-1.801600
0.812236,0.657169,-0.121949,0.854522,0.438421,-0.286199
-0.124932,0.388972,-0.417163,-0.452406,0.213999,-0.204127
3.034020,0.724440,1.526152,2.874019,3.551058,0.418348
0.396060,1.483316,-0.409910,0.176183,0.215800,0.022669
-1.541485,-2.187066,-2.370372,-2.054869,0.995436,-2.490556
-2.665406,-1.201172,-0.366968,-2.359078,-2.379205,-0.558710
0.256356,0.849576,0.346604,1.672046,0.174442,2.366522
-0.401592,-0.664162,0.398147,-0.255561,0.369958,-1.026057
1.465639,0.654543,1.024617,0.487760,1.646005,1.597738
0.633912,0.917235,0.034082,0.895186,1.050689,-0.409286
2.328163,-1.024210,-1.810710,-0.071604,-0.607733,-1.344887
0.126337,-1.634185,0.643492,-1.975397,-2.496535,0.022026
-1.995431,-0.880176,-0.651487,-2.386302,-0.791172,-0.864844
-0.463668,-0.884974,0.135981,-1.078028,0.075458,-1.419588
0.414522,-0.148239,2.017034,-0.316008,1.769752,1.192020
1.788716,0.962275,0.124155,0.869598,0.372484,0.748707
-1.750635,-0.217401,0.154172,-1.664151,-0.541852,-0.674124
-0.729138,0.793168,1.652531,0.667743,0.563755,2.153224
-0.475621,0.233083,-1.474902,0.023933,1.531093,0.526314
2.143507,0.555059,-0.219642,2.184726,0.456678,0.639476
-2.370370,-1.270402,0.247897,-2.671749,-1.070588,-1.626956
-0.045905,-0.754053,0.003404,-0.181871,-1.749991,-0.078808
-0.960250,0.182911,-2.323487,-0.545312,-0.926554,0.628980
1.475458,-0.770767,0.769454,0.654182,0.576889,0.482305
1.829589,0.627377,1.166418,1.262324,-0.141114,0.524409
-0.059605,0.922755,0.869863,1.105516,-0.415871,1.195713
0.694898,0.309575,0.574927,0.565355,0.587502,0.171559
-2.009191,-1.244216,-0.102159,-2.680068,-3.005855,-0.692236
-0.626894,0.393391,1.796298,0.226552,0.763556,0.739626
0.699405,-0.294618,0.546134,0.752755,-1.075879,0.565823
3.534579,2.191572,1.054232,3.338817,2.428884,2.455563
0.112955,0.483335,-1.340101,1.271945,0.062527,-1.653860
-0.336877,1.359164,0.177955,-0.084331,0.842645,0.965973
-0.629821,-1.445812,0.776293,-1.447695,-0.645128,0.673811
0.285177,1.168331,2.044790,-0.418270,0.550649,2.507147
1.048850,0.055733,-0.768191,-0.527984,1.208107,-0.657585
-0.275992,0.470907,0.468506,0.130293,-0.835775,0.330832
0.644650,0.978297,0.134729,0.257602,0.008619,-0.141298
-0.024985,-0.803704,-2.256133,-0.923883,1.005864,-0.989303
-0.264535,0.739126,0.491133,-0.604003,-1.099601,0.667191
0.889446,0.412058,-1.331696,1.455573,0.169476,0.396236
1.032601,0.414384,0.077222,0.785941,0.192179,-0.658929
-0.991099,-0.960351,-1.257193,-1.395723,-1.262702,-0.955759
0.637338,-0.191560,0.550332,0.636005,-0.192886,-0.790811
2.268967,1.133155,-0.166884,1.317500,-0.140128,1.780184
1.154951,0.295675,1.506534,0.483008,-0.378078,2.455233
0.380509,0.461624,-0.584068,1.243249,0.966942,-0.727670
-0.189707,0.848190,0.570746,1.162088,0.481586,1.542591
1.849929,0.840718,1.012482,2.406896,1.163951,0.368111
2.449217,0.016482,1.928635,0.905116,0.704680,-0.337695
-2.147253,-1.315043,-0.642296,-1.534365,-0.865023,-0.877538
-1.026003,-0.570961,2.688709,-0.943448,0.178232,2.166465
-0.348473,-0.559313,-0.341230,-1.626454,-1.172957,0.729533
-2.041913,-0.324900,-1.968880,-1.200113,-1.602633,-2.127951
0.758843,0.303806,1.187725,0.089814,1.932774,0.550445
0.092605,-0.320316,0.960011,0.462187,0.472725,0.074480
0.931060,0.115273,-0.777307,0.999201,0.495251,0.777888
2.115311,1.334509,0.537232,2.046543,2.415291,0.760064
-3.027588,0.952056,0.460034,-3.055036,-2.471322,0.720660
-0.931893,-0.096904,0.005126,-0.817813,-3.321211,0.303111
-1.254791,-0.252812,1.920890,-1.047634,1.266503,0.202843
1.063744,0.135055,0.616646,0.802924,0.325037,-0.666290
-1.977942,0.156508,0.023888,-0.853946,-0.969962,-0.736169
-0.101566,-0.090865,-0.868082,-1.099428,-0.652023,-0.244360
-1.254554,0.142773,-1.217762,-1.080370,1.413362,-1.090910
-0.468642,1.196967,-0.411241,-0.890686,-0.043362,-0.380259
-1.123923,-1.018157,-1.971412,-1.585579,-2.490157,-2.452353
-1.118069,-0.384984,-1.765122,0.569671,0.157291,-0.131147
-2.059628,0.400811,-0.026145,-1.606664,-1.383713,1.312717
0.954603,0.750280,-0.442179,0.043897,1.031637,0.323999
0.265340,1.176830,-0.178031,0.718110,-0.161101,0.213524
0.213126,0.353035,-1.126649,0.419849,-0.257124,0.341691
0.238487,-1.165277,-2.337649,0.666401,0.490787,-2.325055
1.043820,-1.131050,-1.813314,0.275287,-0.031381,-1.735245
-0.597803,0.977326,-2.702245,0.874728,2.168961,0.007982
1.532187,-0.855132,-0.183904,0.285773,-0.609522,0.491900
-0.609836,-0.469427,0.362891,-0.941744,-0.719958,0.138827
-1.113556,-0.341361,0.393697,-2.239909,-0.882756,0.193720
1.379012,0.199086,2.609135,0.093451,1.230267,0.697624
-0.271498,0.329164,0.426431,0.181103,1.185288,0.375920
-0.980979,-0.267667,0.621001,0.299812,1.189032,-0.260059
0.922551,0.791279,-1.888746,1.206865,1.964490,-0.535355
1.847421,0.544464,1.975539,1.609713,0.172858,1.295951
1.808391,0.364617,-0.033240,-0.025471,0.365345,1.756760
-0.587383,-0.161747,-0.865565,-0.474109,0.374674,-1.402334
0.186591,1.507109,1.035592,1.484586,1.580946,0.242255
1.068745,1.140300,0.028080,0.805488,-1.126973,1.106282
0.512614,-1.062813,-3.084407,-0.363560,-0.455977,-1.825482
0.331085,-1.403181,-0.794140,-0.162220,-0.522240,-1.012397
0.675824,0.207741,-2.914067,0.115574,0.413666,-1.289292
0.203785,-1.048156,-3.104074,0.375644,-0.449203,-1.488646
-1.322649,0.681959,-0.711461,0.358714,-0.411971,0.533649
-1.255191,-1.113767,-1.226969,-1.677596,-2.490308,-0.126117
-2.817229,-0.731310,-0.336591,-2.376826,-0.736923,-1.396279
-1.615297,0.105180,0.024477,0.305546,0.913503,-0.077080
0.411122,-0.065762,-0.559760,-0.529346,0.697039,0.580715
-1.314260,0.378543,-0.364497,-0.275696,0.093275,-0.319801
1.443843,0.172179,0.740674,2.808147,0.977773,0.378614
2.411042,0.103520,0.694606,0.772916,0.874453,-0.204433
-1.669481,-0.661621,-1.308423,-0.958132,-1.556218,-1.279362
1.724470,1.830720,0.518326,1.230403,1.311649,0.422155
0.763119,0.823816,1.053573,0.524657,-0.638323,1.691750
0.155900,-1.058021,-1.084788,0.128994,0.639384,-1.457033
-0.161681,0.403736,2.020259,0.104925,0.914540,1.546890
2.781011,1.184362,0.611916,2.311682,1.822496,1.978656
0.403719,0.474915,0.803311,1.414936,1.826136,-0.412460
0.229625,-0.027793,1.010292,-0.548737,-1.440751,0.609450
-0.491920,-0.657638,0.287170,-0.870745,0.497934,0.147967
1.626884,-0.526108,0.824649,1.138145,0.108530,-1.795235
-0.381447,-0.173108,0.127235,-1.129213,-0.316319,-0.840934
-0.206131,-0.072007,-0.228169,-0.398236,-0.978540,1.020176
0.783050,-0.374354,-1.287429,0.657696,2.068484,-0.310378
-0.362303,2.119579,2.362741,-0.146633,0.282522,1.860405
0.615959,0.805606,0.919382,0.309575,0.030952,-0.400750
-2.773066,0.055679,-0.819493,0.540043,0.984298,-1.718912
0.297654,0.138345,0.570686,1.055547,0.390241,-0.477184
1.765332,1.441946,2.171619,1.392958,1.245840,3.116102
-0.516992,-0.521430,-0.772726,-0.813126,0.653463,1.218289
-0.793354,0.604843,-2.135629,0.593568,0.437860,0.724571
0.498405,-1.281879,-0.036841,-0.812859,-1.118862,-0.035998
-1.146626,-1.763326,-0.676556,-0.962596,-1.063528,-0.175239
0.454527,0.099552,-0.336891,-0.268622,0.933279,-0.449767
-0.031066,-0.116411,0.500924,0.140644,0.443346,1.170483
-2.484201,-0.207696,0.581509,-0.555148,0.572393,-0.057103
-0.726348,-0.730071,-0.633371,-0.132488,2.242796,-0.322997
0.047177,-1.461418,-0.641669,-1.078515,0.005587,-1.765965
1.687632,0.572236,0.641483,0.883850,2.976594,1.527882
-0.207352,0.302314,-2.700079,-0.330104,0.474528,-1.540506
2.145737,-0.323036,3.063946,0.814675,-1.628463,1.192786
1.321708,1.067738,2.080789,-0.060780,-0.217211,2.114325
0.468108,-0.472554,-1.213476,0.292106,0.278808,-0.544466
0.509717,0.456535,-0.474584,-0.073680,0.780568,-0.783386
-2.013777,-0.533647,-1.850812,-0.618411,-0.401417,-0.452866
-2.754759,-0.671258,-1.497767,-2.139637,-1.528577,-2.514512
-0.183268,-1.046199,0.469132,-0.483415,-0.163742,-1.362071
-0.164991,-1.289658,-0.818805,-1.197622,-1.444635,-1.876174
0.237012,-0.209298,0.045704,-0.977002,-2.141805,-0.609874
0.863423,0.496210,1.329576,0.269598,-0.555787,0.594543
0.790244,-0.232272,-0.318581,1.407079,0.811411,-1.188083
2.543211,1.018514,1.412884,2.250902,3.393652,0.716704
0.547827,1.788081,-0.202401,0.131590,-0.274776,1.655843
-1.076144,-0.270164,-2.226659,-0.965509,-0.690548,-3.009136
-2.255082,-1.520893,-0.906835,-0.244221,-0.440262,-1.072635
-1.927915,-0.356945,-0.211413,-0.883936,-1.808978,-1.093414
-0.124689,0.259443,0.155281,0.204339,-0.830731,0.575100
-1.549064,-1.002688,-2.578398,-0.953919,-1.493893,-2.244887
-0.617708,-0.156882,0.173963,0.811484,1.232937,0.004689
-0.527533,-0.237969,0.044699,0.599672,1.907140,1.811733
0.692138,0.949116,-0.008049,0.277401,-0.717790,1.149939
0.379956,0.508042,0.524862,0.086398,0.092834,1.675407
0.349587,0.250951,-0.705198,0.509113,-0.544063,-1.713073
0.888728,0.558491,-0.249738,0.048474,0.209679,-0.227701
-0.247084,0.139241,-0.573450,0.655472,-1.516868,0.359340
0.678862,1.505707,0.214700,0.144296,-1.003702,0.978166
0.408589,1.472951,1.384539,-0.564133,0.777512,1.542192
-1.948678,-1.983732,-1.016624,-2.230556,-0.975434,-0.632689
-2.329040,0.170243,0.835949,0.537385,-0.288052,0.506602
-0.871749,-0.171205,-0.677917,-1.024599,-1.828300,-0.290816
-0.551850,-0.602010,0.427192,-0.746833,0.460971,-0.464305
-0.233244,-1.049205,-0.207467,-0.597269,0.448459,-0.934625
-0.292146,1.348084,-0.535539,1.084016,0.124435,-0.599320
0.286869,0.813821,2.458155,-0.537105,0.537902,0.711814
1.479979,1.403347,-0.272858,0.002861,0.697387,1.236611
-0.525805,-1.999570,0.705806,-1.051911,-1.286117,0.577662
-1.783420,-0.180937,-1.680187,-0.733019,-0.611210,-0.128466
0.780976,1.042818,-1.082623,0.221347,0.332174,-0.363723
-0.358089,0.900362,1.290604,0.617253,0.270771,3.309120
-0.569133,-0.308258,-1.190641,-1.620884,-2.292766,0.601689
0.578959,-0.852184,-0.656635,-0.186053,0.979213,-0.029068
-0.689921,0.794022,2.330959,-1.778067,-0.028134,1.473167
-0.794902,-0.536766,0.614303,0.204556,1.142965,1.008669
-0.527409,1.124226,2.489105,0.979339,-0.535664,0.393834
-0.919901,-0.233689,-3.109405,-0.780604,-0.053362,-0.412872
-0.361908,-0.762743,-0.464496,-1.636405,-0.113529,-1.887438
0.595869,0.480542,-0.324244,-0.053500,0.373991,1.359777
-0.509842,0.394668,-1.920359,-0.971166,-0.928476,-1.068505
1.398109,0.223345,-0.890291,-0.190282,0.983915,-0.364855
0.499835,0.066763,2.119628,-0.161972,-0.589425,1.362944
1.562400,-0.813954,-2.832831,-0.167399,-0.506616,-0.107381
-3.408275,-1.861940,-2.547491,-2.168295,-1.855228,-1.615184
0.870695,0.251560,-0.947476,0.740925,-0.032667,0.431689
1.057178,1.147318,0.007271,1.689534,0.353160,1.016676
1.249605,0.695406,-1.439145,0.865615,0.287646,0.566245
0.690614,-0.393948,-0.413832,1.072044,1.017186,-0.385914
-2.064327,-0.408221,-0.709766,-1.479514,-0.564214,-0.433791
-0.102633,-0.379494,0.922203,-1.531602,0.164054,-0.872963
0.074562,0.082469,-0.240291,1.636647,1.428197,0.021371
2.159683,1.572744,-0.929507,2.435478,2.960729,2.725826
-0.855364,-2.221385,-1.300730,-1.511289,-1.445687,-2.426813
-0.386012,-1.056798,-0.128581,-0.241996,0.273597,-1.280991
1.409560,1.016188,-0.723308,-0.686106,-1.644317,0.926344
-4.158166,-1.452422,-0.676908,-2.996723,-2.210853,-1.010926
2.771697,1.415036,0.097400,0.930649,0.734606,0.900647
0.345027,0.720624,0.688261,0.565047,2.708820,1.323450
1.858974,-0.537172,-1.269765,1.542614,-0.770674,-0.451149
0.730937,2.799463,0.014807,1.470199,0.364797,1.213347
-2.731987,0.481455,-0.626204,-1.402735,-1.011447,0.096810
3.465057,0.729996,1.186233,2.279409,2.446208,1.302197
-1.377573,-0.087838,2.247927,0.046975,0.770630,1.536640
-1.113578,0.148647,0.747365,-0.850198,-2.117156,1.067443
0.447323,0.952605,0.586853,0.158419,0.470789,0.103993
1.012511,-0.436461,-0.927937,0.670901,2.051835,-1.975836
1.844764,-0.312658,-0.050916,0.390543,3.498626,0.935864
0.558368,-0.312097,-0.366569,0.428156,-0.443228,-0.469449
-1.950396,0.642793,0.407650,-3.146436,-2.492050,0.293963
0.215821,0.676200,0.086291,0.467517,1.829888,-0.683838
-1.228032,-1.727607,-0.230909,-2.708232,-0.356671,-1.065391
1.219164,0.566323,-1.893129,1.360388,0.064676,-0.994146
1.950559,-0.686550,-0.415469,0.960440,0.289102,-1.327437
-2.103672,-0.591638,-2.178581,-2.396193,-2.492040,-0.115232
-2.634201,-0.492822,0.103116,-0.656126,-0.779901,-0.574217
-1.441294,-0.948525,-2.008970,-2.239454,-1.864890,-2.122521
-2.080468,-0.609951,-0.113088,-0.370105,0.013182,-0.129348
2.659577,1.158138,0.987334,0.929123,-0.430513,1.483985
2.010507,0.834234,-0.651316,0.804203,-1.773804,0.400002
1.249757,-0.339365,-0.162176,1.217260,1.061860,-0.588181
1.663118,1.207609,1.776809,1.623723,1.184938,0.777708
0.776707,0.113194,2.344692,-0.695002,-1.287553,1.470204
-0.059629,1.223168,-0.898564,0.053223,-1.731890,-0.041372
-0.281769,-1.032104,-1.883369,-0.240519,-0.210215,-0.730448
0.018181,-0.299024,-1.310395,-0.121666,0.949001,-1.415043
-2.172855,-1.169241,-2.683755,-0.120862,-0.045924,-1.622734
0.069219,1.042236,-1.188825,1.291525,1.091302,0.645770
-1.282849,0.425749,-1.543871,-1.108838,0.494557,-1.924147
-1.178866,-0.851026,-3.326480,-0.484154,-0.570798,-2.584892
-1.598589,1.231720,0.911165,-0.309579,0.489567,0.524246
-0.796493,-1.518847,-1.466169,-0.289668,0.529767,-0.962890
-2.041108,-2.173813,0.609726,-2.460294,-2.445439,-2.505115
1.043782,0.780622,-0.114982,0.908235,0.949241,0.917155
-0.376278,-0.308194,-0.700211,-1.675676,0.648297,0.017751
-0.034603,-0.303656,0.214174,-1.960194,-0.487379,-2.040349
0.956372,-0.479828,-0.074719,-1.388929,-0.280602,0.050976
2.091054,-0.054107,-0.996365,0.356707,0.584140,-1.780668
-0.762857,0.138061,0.642922,-0.256320,1.661342,0.641349
-0.337131,-0.448212,0.236220,-0.679953,-1.354502,0.770019
-1.387645,-0.250506,1.619812,-0.635809,-1.014084,0.752377
-0.379014,-0.237616,-1.461384,-0.339158,0.682486,-0.571029
-0.015387,-0.666996,-0.354976,0.092545,0.942816,-1.412967
-0.165533,0.505990,-0.765036,1.033270,0.360597,-1.224286
1.876489,1.811105,0.046304,1.032671,1.838594,-0.702951
-0.100538,-0.536153,1.823700,-0.212128,-1.837241,0.763462
1.266774,0.520078,-0.137412,0.963654,1.915609,0.695696
-0.897944,-1.150407,-0.133178,-2.149798,-1.915745,-1.718118
-0.412231,-0.047009,0.218079,-1.140551,-1.586253,-0.741360
1.154484,0.521162,-0.334216,1.523651,0.537165,-0.314996
2.509397,0.648594,-0.891331,2.219875,1.528803,0.663613
-2.886672,-0.696562,0.643298,-2.509084,-3.179941,0.352826
-0.558802,-0.506465,-0.458689,-0.828084,-0.773089,-0.564398
0.044957,-0.134255,0.735442,-0.777112,0.249320,1.632114
0.826568,0.349710,0.490170,0.195468,-1.096146,0.721528
-0.454129,1.142838,1.574535,0.069845,-0.771265,1.837212
-1.151272,-0.443401,1.562989,-1.461473,-0.651839,1.534042
-2.042216,-1.504062,-1.636206,-1.515258,-1.535279,-1.513215
-1.450939,0.742560,0.862842,0.493963,0.553381,2.495831
-1.674635,-1.292369,-2.696243,-1.371401,-2.040187,-2.813241
0.652544,0.046527,0.720975,-0.323880,0.441065,0.405264
3.132789,-0.619978,-0.309556,0.936214,0.076352,-0.017679
1.425753,1.342905,2.491889,0.609100,1.953692,1.044944
-5.037555,-0.722083,-0.295111,-2.144674,-0.879654,0.254607
-1.388956,-0.036766,-0.459131,-1.497824,-2.999232,0.092127
2.416853,1.085953,1.837329,0.824926,-1.414019,-0.623515
-0.523980,0.048466,-1.742072,-0.634292,-0.773398,-0.074072
2.153997,-0.082724,-2.273328,1.922764,2.299755,-1.328676
0.390496,-0.939507,-0.289385,1.219581,-1.007984,-1.878243
-0.759750,-0.939659,0.501216,1.271003,1.931395,-0.401273
-0.476745,0.925542,2.461266,-1.812266,-1.924181,2.342577
1.247092,-0.181049,-0.084479,0.322422,2.476166,1.263114
-2.990201,-0.015456,-0.454572,-1.820290,-1.893206,-0.950710
3.014219,0.791392,-0.231909,2.925291,2.526470,-1.582934
0.329594,1.509058,3.467843,2.018118,1.827023,1.479040
1.584551,1.670309,-1.478470,1.440659,1.499894,1.491217
-0.059054,-0.197137,0.563153,1.016172,-1.237391,-0.711259
0.379537,0.293776,0.053529,-0.599542,-1.085185,0.058554
2.112711,1.677760,0.074273,1.639119,0.889296,0.458769
1.009107,0.281657,-0.952509,2.085832,0.662195,-0.659363
0.665470,1.001226,0.174687,0.585065,-0.331530,1.133651
-0.940369,0.615921,0.717460,-1.114333,0.247035,0.479208
0.097368,-0.367205,1.651908,0.644242,0.433841,0.631260
-1.932736,0.358337,0.057049,-3.169383,-0.965713,0.968337
0.224962,0.792241,0.762310,0.222975,1.113924,0.203450
2.282450,0.100039,0.288786,0.354733,-0.995017,-0.329752
1.027300,1.188789,0.714049,2.051536,1.729602,1.857639
3.748242,1.468308,1.425363,2.302139,2.504355,1.476334
-1.214708,-1.369987,-1.085356,-0.022047,-1.355001,-1.591547
3.081614,0.625077,1.384880,2.721310,2.135662,0.599639
-2.423166,-0.426711,-0.666535,-1.743064,-0.519714,-0.640128
1.385680,0.433435,2.573563,1.954527,2.891721,1.927005
1.937156,1.624889,-1.295887,2.255448,1.467291,0.808390
-0.755487,1.554638,2.198480,-0.549360,0.553274,0.567924
0.770696,-0.648632,0.466338,-0.124305,0.011607,0.735546
1.427612,-0.965190,0.402231,0.694555,2.034827,-1.857024
1.490295,0.164523,-0.727593,0.567485,1.262590,-0.451518
0.249024,-0.099750,-0.070273,-0.455239,-0.205692,-0.252439
1.384870,1.564198,2.625372,0.766243,3.048194,2.249941
-1.498021,-0.603307,-0.405726,-1.773460,-1.031632,-1.008433
0.195851,-1.545093,-0.933778,-0.270359,-0.769496,-1.472515
0.905931,0.126466,1.104695,1.359051,-0.115163,-0.419265
-0.578430,-0.630571,0.629420,0.436667,-0.500318,-1.304582
-0.385061,-0.717458,-0.764656,0.440333,-0.893722,-0.614891
0.074777,-0.725405,-0.025266,-2.144357,-2.378348,-1.058547
0.486272,0.014938,2.024148,0.956775,-0.134091,1.134048
0.758399,1.181651,2.773163,1.729621,-0.171502,2.814797
-0.145935,-0.089766,-0.441073,0.400443,-0.312483,-0.893258
-1.462665,1.105466,-0.919143,-0.078583,0.634589,0.520228
-1.291756,-0.446229,-0.638289,-0.238983,0.626328,0.125771
2.432907,1.392864,1.319417,3.487369,2.637883,0.577319
-0.594229,0.568822,-1.546954,1.519743,0.467665,-1.591357
0.432182,-0.245014,-0.004315,-0.340576,-0.570602,0.642256
0.264096,-1.063513,-0.150855,-0.570488,0.318217,-1.911351
0.433963,0.936551,0.834146,0.514118,-0.811876,-0.994714
0.033625,0.571542,-3.473894,0.203842,-0.090253,0.063722
1.330962,-0.323347,-0.870496,0.322045,1.157181,-0.402751
2.315789,0.131054,-0.779329,0.714570,1.647217,-0.061588
-1.839903,-0.501335,0.749926,-1.608716,-2.050260,-0.038966
0.016857,0.999171,-0.901033,0.732392,0.337788,-0.528681
0.961555,-0.006507,1.444601,0.518759,1.804087,2.363418
-0.364144,0.863906,1.799545,0.125199,1.861162,1.701318
1.463697,1.454766,1.157183,-0.131246,-0.451415,0.677758
0.535536,-1.494365,-2.654015,0.237727,-0.362829,-0.845619
-0.241966,-0.390691,-0.413837,-0.555620,-1.606894,-1.150032
-0.607926,1.425152,0.149046,0.543221,0.811564,2.243896
1.367214,0.726737,0.688094,0.439104,-1.714389,1.829501
1.175829,0.082646,-0.746279,0.361936,-0.658711,0.579701
-0.819552,-1.477575,-0.676192,-2.097608,-0.826801,-2.915794
0.325396,0.803636,0.322245,1.452274,0.589403,0.476528
-2.335395,0.165674,1.098787,-1.533813,0.367625,-1.612602
0.435095,0.842632,-0.755732,-0.478281,-1.044470,1.278686
-0.505112,-0.229860,0.275669,0.000987,-1.532023,1.732862
1.627366,1.272291,0.590186,2.095178,-0.079193,1.313421
-1.430405,-0.594380,-0.635292,-1.722469,-2.394201,-0.293115
1.669357,2.014302,1.757957,1.033769,0.253746,1.721489
-2.114227,-1.860417,-1.223079,-1.475277,0.544173,-1.575777
-1.785965,-0.524875,-2.358000,-1.537239,0.619312,-1.406422
0.385516,-0.584535,-0.348839,0.351487,0.160668,-2.121235
-1.249696,0.744470,0.148484,0.592719,-0.170497,1.356073
1.678568,1.153288,1.113393,1.824192,1.349376,0.625658
-1.096916,-1.052200,-0.951833,0.145538,-0.806971,-0.632325
-1.683492,-1.568477,-1.875537,-1.120675,-1.065015,-2.418286
-1.410375,-1.227258,-0.739234,-1.362609,-0.894074,0.608023
-0.749439,-0.832173,-1.349344,0.417855,-1.100767,-0.464641
-3.101318,-0.744968,-1.910551,-1.522885,-0.509182,-1.250618
-3.888539,-1.463390,-0.215223,-3.769424,-1.560622,-1.885629
0.773002,0.517779,1.276313,-0.217768,-1.506186,0.681620
-0.343060,1.529156,0.272376,0.295102,-2.330172,0.016949
-1.158223,-0.204783,1.045178,-0.088622,1.830166,-0.717751
-0.353603,-0.837707,-1.511459,-1.325966,-1.689076,-0.902562
0.414103,2.278525,1.721844,2.802001,0.761862,2.266766
-1.829166,0.541999,-0.412741,0.250117,0.697098,0.889045
1.236779,0.179904,-0.144259,0.953664,0.994933,0.842802
2.140839,1.408183,0.487920,0.716833,0.427240,2.293259
-0.160029,-1.604066,-2.676601,-1.070759,-0.055938,-1.928274
-1.005685,0.407719,-0.542293,-1.169898,-1.473123,1.199378
-0.886076,-0.659640,-0.070643,-1.134735,-3.006355,-0.528522
-0.114513,0.698785,1.305568,0.544292,1.554888,-0.407020
-0.530837,-0.297287,0.614561,-1.412196,-1.465095,0.305327
0.459741,1.590402,0.886351,1.702630,0.744837,0.974616
1.097309,0.145956,0.742296,1.441073,0.605849,-0.553421
1.958038,-1.071664,0.254123,0.040345,0.030356,0.605331
2.342080,1.713611,-0.264626,0.940255,-1.541021,0.431030
0.843588,-0.584211,-1.012269,0.260779,0.116100,0.123502
-1.315091,-2.388295,-1.118143,-2.090057,-2.115875,-2.416343
-0.266215,-0.010128,3.784772,-1.260338,0.495601,1.961867
-0.783441,0.798082,0.222329,-0.510461,-1.995064,0.527406
0.021943,-0.743835,-1.485974,0.497997,1.184321,0.224642
-2.235850,-1.136463,0.253500,-1.267999,-0.094360,-1.107135
-0.877646,-0.295827,-1.916643,0.328628,1.255247,-1.522026
0.025683,0.859287,1.656001,-0.046052,-0.094541,1.221927
-1.679406,-0.897172,-0.747786,-1.907650,-1.603264,-1.345870
0.395587,-0.104441,0.757063,0.154298,-2.895171,0.785149
0.519435,0.047789,0.573424,-0.620628,1.058611,0.499009
0.981816,0.844548,0.017647,2.280666,0.799280,0.570044
-1.477532,0.231475,0.524945,-0.323767,-0.084524,1.092043
1.911955,0.094741,0.106541,2.227218,0.043421,-0.147161
0.529504,-0.943901,1.343350,-1.224183,-0.984645,-0.566296
-0.702960,-1.118746,-2.080096,-1.046124,-1.258003,-0.674683
-1.195649,-0.819214,-2.035244,-0.002706,0.201490,-1.581275
-0.890250,0.026085,-0.405921,-1.450846,-1.959510,-0.597098
-2.660803,-0.803446,-0.452609,-2.170705,-1.182665,-0.082817
1.033659,0.863829,0.382088,0.364470,0.350394,-0.373741
-2.551089,-0.169826,-0.154696,-1.983677,-1.177727,-0.258438
