id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
51,6.9009,8.0046,7.3485,7.5341,8.0365,7.9062,5.8645,10.8968,5.4901,6.4610,2
52,7.9746,6.5199,5.6314,7.8706,8.2804,5.2264,6.5494,7.9632,8.6910,5.6551,2
53,-6.1212,-4.8321,-7.3635,-9.4984,-7.3804,-8.5483,-6.6960,-7.0097,-5.4822,-5.9692,0
54,7.2912,7.6359,5.6012,7.2823,9.0371,5.2337,6.5730,7.9130,8.0627,6.5405,2
55,8.4303,7.0256,7.5541,7.9465,7.1237,5.2669,6.0769,6.3267,7.5433,5.4902,2
56,8.2864,8.7762,7.2960,6.1991,7.2183,6.5280,6.5215,5.7148,8.3781,8.0577,2
57,-6.5505,-6.0258,-7.2597,-7.8288,-6.0991,-5.7477,-8.3086,-7.0160,-7.5457,-5.9155,0
58,6.5921,8.0491,6.0372,5.9736,8.8210,6.0894,6.7674,8.0894,8.0494,6.8897,2
59,-7.3624,-7.1038,-9.0483,-8.5744,-5.5141,-5.6917,-4.5962,-7.1719,-4.4631,-7.6916,0
60,-7.9918,-7.2159,-8.4043,-7.3340,-6.1438,-6.6327,-7.5279,-6.6383,-4.6682,-7.6381,0
61,1.1465,1.9621,-0.6739,0.1041,1.9572,-0.2175,-0.4277,0.3001,1.2579,0.8793,1
62,8.1188,8.0958,6.6321,6.5248,6.5592,6.1986,6.8848,5.3809,7.5817,5.5418,2
63,-7.3298,-7.1443,-6.1667,-7.4552,-7.3849,-5.8533,-6.9272,-7.6065,-5.8622,-6.6024,0
64,-7.1776,-6.5741,-5.9220,-7.2733,-6.1625,-4.9786,-7.8250,-7.9886,-5.2082,-5.7434,0
65,-6.1973,-6.1238,-5.8510,-6.4573,-6.6809,-5.0557,-10.1029,-5.0643,-6.0705,-7.3004,0
66,-0.9422,-0.6643,0.4435,0.4978,1.0431,-0.9025,-1.2652,0.1347,-1.4630,0.5352,1
67,0.3937,-0.1841,-2.3800,0.2045,1.1937,-0.1232,-2.7282,-0.4835,2.3033,-0.3194,1
68,-0.8157,-0.0718,-0.6634,-0.4922,1.2571,0.0893,-0.8454,-0.4323,0.8971,-0.5194,1
69,-7.2419,-4.6828,-9.3590,-7.0331,-4.9712,-6.1774,-7.4937,-8.6520,-5.9295,-5.9401,0
70,1.3616,0.8755,-0.5503,0.3749,1.5975,-0.9625,-2.8026,0.5634,0.1248,1.1150,1
71,8.0885,6.9876,6.4743,7.3720,7.1829,6.3073,8.3994,7.4945,7.1889,4.7075,2
72,-6.2292,-5.3940,-7.6836,-7.5694,-5.7153,-5.7879,-7.0667,-8.3582,-6.9517,-5.3055,0
73,-0.6507,-1.5991,-1.3692,-0.7039,-0.0082,0.2899,-1.2296,0.5367,1.7482,0.0059,1
74,5.3573,5.3476,7.2309,8.0813,6.8936,7.4772,6.1520,9.3368,6.4766,6.7010,2
75,1.8529,1.0481,-2.1800,-0.7280,0.5685,1.8656,-1.5304,-0.1884,0.7215,-0.5969,1
76,9.9873,6.9324,5.8014,7.8858,6.0999,6.1892,6.8738,8.8552,5.9194,5.5393,2
77,8.0426,7.3337,5.2833,6.5186,7.9716,7.7930,7.5580,10.1223,6.2176,6.3918,2
78,7.3370,6.5649,3.9390,8.2435,6.3803,5.6874,5.7880,6.5777,7.6866,5.6492,2
79,0.8700,0.8325,-0.4104,-1.1553,-0.4608,-0.7400,0.1569,0.0795,-0.3804,-3.0496,1
80,-5.3825,-5.4642,-7.8087,-9.3001,-8.6659,-7.6645,-7.8809,-8.3023,-7.0358,-8.0129,0
81,-8.8032,-4.4959,-7.0616,-7.8675,-6.2860,-5.7513,-6.0170,-8.7925,-6.1006,-7.4223,0
82,2.0720,1.4905,-2.1103,-0.9780,0.8450,1.7092,-2.3521,0.1915,0.1545,-3.0599,1
83,7.9082,5.8421,5.7946,7.0229,6.2614,5.0937,6.9905,6.9769,6.6184,5.2217,2
84,0.9547,0.5443,-0.2366,-0.0899,1.0737,-0.2370,0.5667,0.5399,1.7884,-1.6025,1
85,-5.2073,-7.0786,-7.6575,-7.3790,-7.7808,-6.0035,-5.7913,-6.0722,-4.0888,-4.9741,0
86,7.9753,8.2186,6.4376,8.4466,7.8162,6.4618,7.0283,6.6775,5.7552,7.6813,2
87,1.2158,1.3569,-1.1741,-0.4504,-0.8713,-0.6491,-2.6573,-1.0094,1.1201,-2.8930,1
88,-7.6093,-5.4053,-8.4757,-6.7557,-5.8953,-6.3239,-7.1767,-8.3562,-7.0409,-5.4529,0
89,-6.9146,-7.2162,-7.4568,-5.8699,-7.5382,-6.9888,-8.1765,-6.0924,-5.7705,-6.7032,0
90,1.2821,0.7623,-2.2342,1.2644,-0.8949,-0.5909,0.2693,1.6830,-0.3988,0.0844,1
91,1.1431,0.4223,-1.0987,-0.3836,0.9195,-0.4487,-3.5176,1.6173,-0.7796,-1.3775,1
92,7.8271,5.0479,7.2143,9.0679,6.3430,6.8878,5.7415,8.4936,8.5648,5.4967,2
93,-5.6995,-5.8447,-6.7964,-9.3361,-5.9571,-6.4700,-7.9114,-7.5485,-6.2792,-4.3228,0
94,-7.1775,-6.1757,-6.5858,-8.5354,-4.8339,-7.0768,-7.0477,-6.3487,-6.6970,-6.7554,0
95,6.2765,5.6526,7.3693,8.0374,7.0462,5.3629,8.2673,6.5493,6.5755,6.2069,2
96,2.4519,-0.0630,-2.1429,-2.2623,0.5585,-1.1489,0.8296,-0.1525,-0.6180,-0.0982,1
97,-6.0064,-7.4164,-7.2091,-8.6259,-8.2807,-7.0616,-7.5793,-5.4931,-4.5625,-8.1921,0
98,-6.0649,-4.7732,-6.7764,-7.6702,-5.8991,-7.6059,-7.4156,-6.5710,-6.1123,-7.4036,0
99,5.9368,6.2465,5.6641,7.0079,6.6822,5.7565,4.4444,7.6718,6.7535,5.5536,2
100,9.2457,7.3797,5.2469,8.8520,10.1948,8.6895,5.0335,7.1878,6.6797,6.1545,2
101,-6.6988,-4.9482,-5.2334,-9.1597,-7.0613,-6.2366,-7.5217,-8.3982,-7.5086,-6.3891,0
102,7.4245,4.9946,5.5952,7.6258,7.3602,7.7055,6.0250,7.4386,9.5970,5.5124,2
103,-0.1542,0.7551,-2.1796,-0.0344,0.8240,1.9642,-0.7102,-0.1014,-0.3800,-1.1011,1
104,9.7967,5.5057,6.8936,8.5537,6.8711,6.3993,8.3079,8.2913,7.5221,7.0272,2
105,-7.5043,-8.4574,-5.8171,-9.0995,-8.0755,-5.9281,-6.2398,-6.6904,-7.1703,-7.8154,0
106,7.5874,6.2467,4.8267,9.0196,8.1513,5.9956,6.1508,8.1479,8.4149,6.7233,2
107,-6.0929,-6.8032,-8.1706,-7.8969,-5.5801,-8.9852,-7.8475,-8.0546,-6.0763,-5.5859,0
108,-6.7879,-6.7236,-7.4412,-6.4878,-6.1250,-6.9452,-9.2097,-8.2332,-5.2158,-7.0777,0
109,-7.2992,-5.0790,-8.2349,-7.8635,-8.9127,-6.4965,-7.1080,-9.9689,-5.9799,-7.0568,0
110,-5.9644,-6.3126,-7.9406,-6.6937,-5.2706,-6.7594,-8.5994,-7.4231,-8.1571,-6.5221,0
111,8.7681,5.9697,7.4098,6.5525,6.7570,5.7701,7.2260,7.3542,8.0189,6.3245,2
112,7.2213,8.2688,5.9918,6.4311,7.2420,8.6613,6.9715,7.4167,6.9113,6.3596,2
113,0.4348,1.7938,-0.4688,-1.7713,0.9848,0.7850,-1.4910,1.8317,1.2674,-1.6976,1
114,-6.4699,-6.1525,-7.0435,-7.5032,-7.9365,-5.7503,-8.0956,-7.4163,-4.7125,-6.3836,0
115,7.7898,4.9168,7.2878,6.5009,7.8876,4.6928,7.4835,8.0576,7.4733,6.0284,2
116,-6.3800,-5.1164,-8.4642,-9.0707,-4.4132,-7.5044,-8.6534,-8.3948,-5.8900,-6.4186,0
117,-0.5081,1.9890,1.0711,0.3101,-0.2937,0.4959,-3.2316,0.5762,2.4266,-0.7359,1
118,-7.1706,-2.9513,-7.2360,-6.6717,-5.7061,-7.0009,-6.6111,-7.4263,-6.1779,-5.7730,0
119,-0.4402,2.6550,-1.4861,0.4932,1.1947,2.6934,-0.0664,0.5111,0.2943,0.6444,1
120,-6.3121,-6.6211,-7.9663,-6.9969,-5.9785,-5.8020,-6.8958,-6.7909,-7.3314,-5.4471,0
121,-6.0007,-8.0028,-7.6907,-7.3515,-5.5134,-4.4989,-8.0516,-7.9146,-4.7284,-9.3127,0
122,-8.0224,-6.7229,-7.4067,-6.4036,-9.1365,-6.4308,-7.1717,-6.8800,-6.1307,-6.5500,0
123,-7.6829,-6.4587,-6.5490,-7.6730,-6.7157,-6.9028,-7.7565,-7.3701,-5.7590,-6.6226,0
124,8.3945,5.6936,6.3785,6.7284,7.3835,5.5505,7.4988,8.3307,6.5558,5.1987,2
125,8.2543,5.9252,5.5821,9.8051,6.8582,6.8110,6.7883,9.2734,9.3216,4.7779,2
126,-7.0043,-7.4404,-5.4477,-8.5476,-7.3800,-6.9915,-7.1922,-9.1746,-6.5654,-6.2247,0
127,-7.5374,-6.3426,-6.7307,-9.1078,-6.2283,-5.4518,-8.1714,-7.9089,-7.0309,-7.8255,0
128,-6.4146,-4.8905,-6.9857,-6.4439,-6.8012,-5.7957,-7.6448,-6.5829,-7.0536,-5.9493,0
129,-4.7035,-8.1983,-7.7630,-6.6713,-6.3876,-7.4818,-6.3057,-7.8732,-5.3561,-6.3121,0
130,7.3120,7.6047,6.5387,7.5417,6.5562,7.9337,7.4350,8.2446,5.3665,7.3629,2
131,-6.3897,-6.1612,-7.2963,-7.2543,-6.9564,-4.9959,-7.8436,-8.3175,-5.5160,-6.4681,0
132,9.1165,7.5599,6.3224,7.4625,7.1885,5.9381,7.1851,8.7029,6.3609,7.2953,2
133,-4.9217,-7.7750,-8.3354,-8.8846,-6.2350,-7.1727,-8.8466,-6.5610,-4.9777,-6.5495,0
134,8.4250,6.1237,7.1212,7.9745,8.4790,4.4732,8.9173,8.5362,7.9599,6.7493,2
135,-0.4582,1.0746,-1.6763,-0.5717,-0.1062,-1.3872,-0.4218,-0.5641,1.1964,-0.5747,1
136,9.6311,5.9971,6.1488,7.2739,6.3666,5.5727,6.1747,7.3139,6.6524,5.1264,2
137,-5.2766,-6.5203,-8.5171,-8.1693,-6.4179,-7.0354,-8.8358,-5.9461,-4.9134,-5.7696,0
138,-6.5601,-6.8813,-6.7054,-9.3655,-4.2587,-4.4915,-6.6012,-7.5522,-6.6926,-7.0619,0
139,-8.1353,-6.9097,-7.7338,-8.4974,-7.7087,-7.2569,-7.1210,-7.9218,-6.7351,-9.2238,0
140,-7.5885,-6.2282,-7.9171,-8.1026,-6.6414,-5.9564,-5.9967,-8.1576,-7.2689,-7.7360,0
141,-5.0626,-6.3043,-4.9509,-7.8325,-7.0744,-6.5128,-9.0025,-7.0335,-7.6606,-6.4880,0
142,7.9976,8.0000,4.4293,8.3034,6.3099,5.1180,7.7720,8.0227,6.0088,9.1824,2
143,-0.2158,0.8261,0.6717,-0.0379,-0.3905,1.5049,-0.9743,0.2769,0.1270,-0.6011,1
144,-6.9759,-7.7827,-7.2599,-6.4253,-7.1382,-7.2190,-6.6276,-8.8447,-6.6565,-7.8570,0
145,-8.5074,-7.2875,-7.8344,-8.0569,-7.2303,-6.1129,-8.2185,-8.2965,-6.0405,-8.0915,0
146,0.4113,-0.2186,-2.9655,-0.8684,1.4165,0.9364,-0.3994,0.0056,1.9480,-1.0808,1
147,-7.5000,-6.8568,-6.8811,-7.6222,-6.7573,-6.8825,-8.9798,-7.1337,-6.0258,-6.7559,0
148,-5.5446,-6.2679,-8.6448,-8.0253,-7.9005,-8.0462,-8.9271,-8.2049,-6.8146,-6.2632,0
149,7.5090,6.6440,4.7381,7.1329,7.3984,6.7804,8.5345,6.7367,6.9785,6.9298,2
150,1.3665,0.0081,-1.1710,0.5143,0.1062,-2.0394,-0.7186,0.6149,0.2869,-0.3372,1
151,2.5102,-0.6198,-0.3312,-0.6090,1.1486,0.6507,-1.0435,1.4977,0.6562,-0.8602,1
152,1.7079,0.0811,-0.6923,0.7115,2.9333,1.0039,0.0134,-1.1374,0.5280,0.7575,1
153,8.7232,5.6771,6.6919,6.7244,8.0418,6.7851,5.4419,8.9571,6.4803,9.3636,2
154,8.8095,7.1396,7.3871,8.6667,7.6907,6.4144,5.9090,7.3739,7.7037,5.6191,2
155,6.5084,6.4842,5.8320,7.4559,6.7168,7.8404,6.3632,7.5437,7.5468,6.5986,2
156,-6.3324,-6.1479,-5.9561,-7.7411,-5.8587,-6.5657,-6.5580,-5.3462,-5.4860,-5.2990,0
157,-5.6841,-6.5515,-7.6724,-6.5529,-5.8999,-5.9116,-8.8411,-7.2922,-6.1365,-5.3871,0
158,-5.9341,-5.2840,-7.4186,-8.0700,-5.1333,-6.7384,-7.7301,-6.6394,-6.0429,-5.5006,0
159,-0.3034,0.1343,-0.4841,-0.4422,2.1354,1.7464,-0.3791,1.5057,1.3301,-0.3341,1
160,1.5465,-0.5012,-0.3418,-0.7080,0.1203,0.3592,-1.7258,1.1790,2.2890,0.4826,1
161,0.1431,-0.6937,-0.4671,-0.3177,0.7115,-0.2797,0.6888,-0.0366,-0.9781,-1.5726,1
162,1.3322,0.9537,1.1914,0.4889,0.6145,0.3033,-1.4229,0.7533,2.9558,-0.7806,1
163,1.0422,0.6739,-3.3531,1.6031,-0.2124,0.8691,-0.7066,-0.8649,0.0986,1.6499,1
164,7.8889,6.9729,6.6512,9.0914,7.7926,5.4483,6.5551,8.6670,6.1342,5.6715,2
165,-6.1340,-6.2507,-7.8638,-7.2233,-5.7605,-7.4033,-8.3676,-7.8033,-6.2543,-5.0519,0
166,0.2107,0.7133,1.7804,1.1401,0.0634,-0.9361,-1.1379,0.2289,1.4660,-0.0028,1
167,0.7863,1.1152,-0.7964,-0.8851,1.2587,-0.2562,1.9734,-0.4032,0.0801,-0.2741,1
168,-8.2433,-5.3492,-5.9771,-9.7063,-5.6174,-5.5234,-7.9857,-7.3939,-6.4846,-5.0724,0
169,1.0895,0.2504,-0.5769,-1.2045,-0.1010,-2.4759,-0.7160,0.8778,-0.5695,-0.9976,1
170,-7.7513,-7.1132,-7.2468,-8.7252,-6.4374,-8.5557,-7.8148,-7.2429,-5.2108,-7.3255,0
171,2.0265,0.1639,-0.1882,-0.3478,0.7526,0.0566,-0.6939,-1.2562,1.4717,-0.8122,1
172,8.7330,7.0333,5.3700,7.8401,7.8718,7.0222,7.3590,9.7989,6.6652,5.1096,2
173,0.8175,-0.5333,-0.4729,0.6952,0.9016,-1.1021,-1.6779,1.1771,0.5759,0.6975,1
174,6.9507,6.9531,8.8760,7.9219,8.3899,6.2373,8.6027,9.0860,5.9993,6.7453,2
175,2.2926,-2.0512,-1.4106,-0.0834,0.9867,-1.2358,-0.8445,0.2056,0.9774,-1.4201,1
176,-0.7745,0.2610,0.8698,0.5990,0.4567,0.8655,-1.7895,-0.6315,1.4751,-0.7520,1
177,6.8146,6.9879,6.8494,8.4375,8.7341,6.9898,6.3301,7.3346,8.0406,6.9974,2
178,6.3145,5.4066,7.4604,8.1661,6.7848,6.5684,8.3130,8.4997,7.4289,4.6002,2
179,-6.6970,-6.6113,-6.7305,-8.7639,-7.3789,-6.2247,-8.6826,-8.0499,-6.7647,-6.4317,0
180,2.2067,0.6533,1.3694,-2.1067,1.7002,1.0334,-1.2728,-0.0985,-0.3428,-2.1341,1
181,9.1473,8.6749,4.0773,7.0367,8.6499,7.2353,6.7560,9.1270,7.1811,7.9370,2
182,1.0251,1.2069,-0.8838,-1.4598,0.1482,-2.3755,-0.9055,-0.5924,1.3957,-0.5540,1
183,10.2376,6.9353,7.7149,8.7937,7.4343,5.4722,6.4323,7.6633,7.7909,6.0322,2
184,8.3501,7.5761,6.1202,8.1013,7.9619,5.7701,6.4906,7.5465,6.3590,6.7908,2
185,7.1929,7.8988,6.5210,7.9426,8.8431,6.0632,6.0601,7.9799,6.6702,6.8722,2
186,7.7728,6.4504,5.9602,8.6369,7.4446,6.7585,6.1393,5.5521,6.3700,6.1620,2
187,-6.6569,-4.0278,-6.6027,-7.2363,-7.3587,-5.4890,-6.6792,-6.3288,-6.4395,-7.0665,0
188,0.3588,1.4468,0.3730,1.9214,0.7169,1.1397,-0.3922,0.1498,-1.2481,-1.7667,1
189,-1.0350,0.5326,-0.6192,0.2148,2.7589,0.9085,-0.4511,0.1424,1.3332,0.3029,1
190,7.5410,7.6075,5.6888,5.5257,8.4929,7.3424,8.4034,9.3285,6.1058,5.6104,2
191,-5.9383,-5.1719,-8.7548,-9.6325,-6.8344,-4.7775,-6.9271,-6.3108,-4.9844,-8.0253,0
192,8.3945,6.9251,7.3823,5.6637,8.6102,5.8788,7.7100,6.5199,6.8657,4.9591,2
193,-7.6152,-7.1897,-6.7747,-7.9678,-6.8373,-7.0667,-5.8168,-7.1378,-5.5187,-5.5655,0
194,-6.1183,-6.4281,-6.3214,-9.2989,-9.4642,-6.8367,-7.0171,-8.1774,-6.7069,-6.6719,0
195,8.1659,6.7811,6.7925,7.0283,6.4665,4.0505,5.6748,7.9430,6.5456,4.7416,2
196,-0.2379,0.1552,0.2612,0.9857,0.3119,-1.7545,-3.0745,0.7306,0.6640,-0.4083,1
197,-5.4024,-4.9978,-6.9169,-7.9382,-6.0791,-4.6574,-7.8287,-7.4847,-5.7411,-6.5584,0
198,-9.0104,-5.0799,-7.2644,-7.1743,-7.0007,-5.9943,-8.6501,-9.2850,-6.3386,-7.2519,0
199,6.2522,7.8438,4.0184,7.0390,8.4217,6.3652,5.8006,7.4668,8.7743,6.3216,2
200,7.0022,6.5713,5.2966,8.0968,7.4515,7.1882,7.0401,4.5115,5.4050,5.7129,2
201,-0.2000,1.6540,-0.0609,-2.1073,0.1934,-0.4576,-1.9440,0.2305,1.6174,-0.7295,1
202,6.2997,7.1154,7.8332,8.3745,5.8608,6.8682,6.7267,7.4546,6.5532,7.2365,2
203,0.9509,-1.3099,-0.3623,0.2682,3.1255,-1.4046,-0.4119,-1.4723,0.9820,-1.6942,1
204,8.2659,4.1259,5.8213,8.2828,7.2016,5.8505,6.8941,7.0817,6.4787,7.1741,2
205,1.6771,-0.4331,-0.5296,-1.8993,0.4537,0.3157,-2.3743,-0.2518,0.6237,-3.2002,1
206,-7.4173,-3.8477,-6.8480,-5.7068,-5.2030,-7.9492,-8.9394,-8.1578,-7.2663,-9.6200,0
207,0.7631,1.5884,-1.8491,0.7220,1.8209,1.2191,-0.4205,0.2195,-1.5120,-0.2552,1
208,7.5498,8.2369,7.9153,7.3846,8.7989,5.1946,6.3313,7.2035,8.7088,6.8196,2
209,7.6714,6.0993,6.5897,8.7662,6.9614,5.4819,5.9117,8.9313,7.8477,4.5242,2
210,-6.4495,-6.8369,-9.4115,-5.4008,-5.6340,-4.5651,-7.2670,-7.2259,-8.0696,-5.9882,0
211,-7.5532,-4.7118,-7.1772,-9.2061,-6.1731,-6.7158,-7.1665,-7.4219,-7.3012,-7.1020,0
212,-7.2395,-5.6831,-6.9360,-7.0606,-6.2472,-6.6328,-8.6817,-6.0092,-7.7574,-5.9815,0
213,-8.5878,-5.8706,-8.6219,-7.8610,-5.6900,-5.3517,-6.5074,-8.4285,-5.2039,-6.8174,0
214,1.4025,0.5890,-0.9106,0.3028,0.6691,-0.6344,-1.6914,-0.1917,1.0951,-0.7202,1
215,-7.8831,-6.0425,-6.7790,-7.4099,-7.8242,-5.7765,-6.6848,-5.2786,-7.0912,-6.8422,0
216,-6.3857,-6.5214,-7.1432,-8.5225,-7.2399,-6.4887,-6.3635,-4.9912,-6.5554,-8.1030,0
217,0.1496,-0.1922,-1.7949,0.7217,1.1283,0.8699,-1.0343,-0.5894,0.7278,-0.2372,1
218,-0.4218,1.6133,-1.3649,1.6822,1.7600,-0.8543,-0.1095,2.2239,1.6572,-0.5167,1
219,9.1787,6.1426,6.1706,8.5804,7.5296,6.4134,5.7969,7.2005,8.4830,6.3453,2
220,-5.9025,-6.4743,-8.1118,-7.6155,-5.3381,-5.9695,-6.5857,-5.5945,-6.5672,-6.6474,0
221,0.5211,0.1821,-0.3735,0.4288,0.6848,0.7021,-1.4242,0.1584,1.4043,0.3706,1
222,-5.3423,-6.1448,-7.5817,-7.4129,-6.1377,-5.6330,-6.4515,-8.1470,-6.8547,-6.6170,0
223,-6.3377,-4.6862,-9.2584,-7.2935,-6.8435,-7.5220,-8.0802,-7.9155,-5.5509,-6.4479,0
224,-6.0237,-5.7656,-7.8889,-7.9955,-6.0710,-6.7552,-7.7837,-6.4703,-6.8396,-5.4854,0
225,-8.5570,-7.8201,-7.3321,-9.5026,-7.4273,-5.2793,-7.8279,-7.2216,-7.2496,-7.6046,0
226,6.7199,6.3527,5.8061,8.9578,6.7932,5.9639,6.5406,6.0827,6.7376,6.5595,2
227,8.0878,6.1622,5.0704,7.3627,6.7120,5.5321,5.7617,8.3059,7.1214,4.7086,2
228,8.2243,6.9199,6.2058,6.0599,8.0588,4.8720,6.4514,8.2648,8.2132,5.1365,2
229,-7.1582,-8.1114,-7.4871,-6.5179,-5.1302,-5.7088,-7.6241,-8.4764,-7.0390,-7.0395,0
230,0.9375,1.4039,-0.9837,-1.1605,1.4385,0.9341,-1.9700,0.6330,-1.4480,-0.8421,1
231,0.3354,0.7122,-0.3455,-1.4554,0.6923,0.1499,-0.2200,0.5896,2.5328,-2.1612,1
232,1.5659,-0.8764,-1.4447,-0.3634,0.5875,-0.1865,-0.4093,0.7161,1.3870,-1.6106,1
233,-5.7032,-7.3830,-6.8679,-6.4178,-6.2592,-5.8260,-7.2993,-7.3410,-6.5223,-6.3013,0
234,6.5803,8.9867,6.4524,6.0662,7.5817,6.9688,5.9461,6.8591,4.1603,6.6721,2
