wavelength nm; relative intensity
501,62703; 0,97060
501,82728; 0,95092
502,02753; 0,92944
502,22778; 0,90633
502,42804; 0,88174
502,62829; 0,85584
502,82854; 0,82879
503,02879; 0,80076
503,22904; 0,77193
503,42929; 0,74246
503,62954; 0,71254
503,82979; 0,68232
504,03004; 0,65198
504,23029; 0,62165
504,43054; 0,59149
504,63079; 0,56164
504,83104; 0,53223
505,03129; 0,50336
505,23154; 0,47516
505,43179; 0,44772
505,63204; 0,42111
505,83229; 0,39542
506,03254; 0,37070
506,23279; 0,34701
506,43304; 0,32438
506,63329; 0,30284
506,83354; 0,28240
507,03379; 0,26308
507,23404; 0,24488
507,43429; 0,22779
507,63454; 0,21179
507,83479; 0,19686
508,03504; 0,18298
508,23529; 0,17011
508,43554; 0,15821
508,63579; 0,14724
508,83605; 0,13717
509,03630; 0,12795
509,23655; 0,11953
509,43680; 0,11186
509,63705; 0,10490
509,83730; 0,09860
510,03755; 0,09292
510,23780; 0,08780
510,43805; 0,08321
510,63830; 0,07911
510,83855; 0,07545
511,03880; 0,07219
511,23905; 0,06931
511,43930; 0,06675
511,63955; 0,06450
511,83980; 0,06252
512,04005; 0,06078
512,24030; 0,05926
512,44055; 0,05793
512,64080; 0,05678
512,84105; 0,05578
513,04130; 0,05492
513,24155; 0,05417
513,44180; 0,05353
513,64205; 0,05298
513,84230; 0,05251
514,04255; 0,05211
514,24280; 0,05177
514,44305; 0,05148
514,64330; 0,05123
514,84355; 0,05102
515,04380; 0,05085
515,24406; 0,05070
515,44431; 0,05058
515,64456; 0,05048
515,84481; 0,05039
516,04506; 0,05032
516,24531; 0,05026
516,44556; 0,05021
516,64581; 0,05017
516,84606; 0,05014
517,04631; 0,05011
517,24656; 0,05009
517,44681; 0,05007
517,64706; 0,05006
517,84731; 0,05005
518,04756; 0,05004
518,24781; 0,05003
518,44806; 0,05002
518,64831; 0,05002
518,84856; 0,05002
519,04881; 0,05001
519,24906; 0,05001
519,44931; 0,05001
519,64956; 0,05001
519,84981; 0,05000
520,05006; 0,05000
520,25031; 0,05000
520,45056; 0,05000
520,65081; 0,05000
520,85106; 0,05000
521,05131; 0,05000
521,25156; 0,05000
521,45181; 0,05000
521,65207; 0,05000
521,85232; 0,05000
522,05257; 0,05000
522,25282; 0,05000
522,45307; 0,05000
522,65332; 0,05000
522,85357; 0,05000
523,05382; 0,05000
523,25407; 0,05000
523,45432; 0,05000
523,65457; 0,05000
523,85482; 0,05000
524,05507; 0,05000
524,25532; 0,05000
524,45557; 0,05000
524,65582; 0,05000
524,85607; 0,05000
525,05632; 0,05000
525,25657; 0,05000
525,45682; 0,05000
525,65707; 0,05001
525,85732; 0,05001
526,05757; 0,05001
526,25782; 0,05001
526,45807; 0,05001
526,65832; 0,05001
526,85857; 0,05002
527,05882; 0,05002
527,25907; 0,05003
527,45932; 0,05003
527,65957; 0,05004
527,85982; 0,05004
528,06008; 0,05005
528,26033; 0,05006
528,46058; 0,05007
528,66083; 0,05009
528,86108; 0,05011
529,06133; 0,05012
529,26158; 0,05015
529,46183; 0,05017
529,66208; 0,05020
529,86233; 0,05024
530,06258; 0,05028
530,26283; 0,05033
530,46308; 0,05039
530,66333; 0,05045
530,86358; 0,05053
531,06383; 0,05061
531,26408; 0,05071
531,46433; 0,05083
531,66458; 0,05096
531,86483; 0,05111
532,06508; 0,05129
532,26533; 0,05148
532,46558; 0,05171
532,66583; 0,05196
532,86608; 0,05226
533,06633; 0,05258
533,26658; 0,05296
533,46683; 0,05338
533,66708; 0,05385
533,86733; 0,05439
534,06758; 0,05499
534,26783; 0,05567
534,46809; 0,05642
534,66834; 0,05727
534,86859; 0,05821
535,06884; 0,05926
535,26909; 0,06043
535,46934; 0,06173
535,66959; 0,06316
535,86984; 0,06475
536,07009; 0,06651
536,27034; 0,06844
536,47059; 0,07057
536,67084; 0,07290
536,87109; 0,07546
537,07134; 0,07826
537,27159; 0,08132
537,47184; 0,08466
537,67209; 0,08829
537,87234; 0,09222
538,07259; 0,09650
538,27284; 0,10112
538,47309; 0,10610
538,67334; 0,11148
538,87359; 0,11727
539,07384; 0,12348
539,27409; 0,13013
539,47434; 0,13725
539,67459; 0,14485
539,87484; 0,15295
540,07509; 0,16156
540,27534; 0,17069
540,47559; 0,18036
540,67584; 0,19059
540,87610; 0,20137
541,07635; 0,21271
541,27660; 0,22463
541,47685; 0,23712
541,67710; 0,25018
541,87735; 0,26380
542,07760; 0,27799
542,27785; 0,29274
542,47810; 0,30802
542,67835; 0,32382
542,87860; 0,34013
543,07885; 0,35691
543,27910; 0,37415
543,47935; 0,39180
543,67960; 0,40984
543,87985; 0,42822
544,08010; 0,44691
544,28035; 0,46585
544,48060; 0,48500
544,68085; 0,50429
544,88110; 0,52369
545,08135; 0,54312
545,28160; 0,56252
545,48185; 0,58184
545,68210; 0,60100
545,88235; 0,61993
546,08260; 0,63857
546,28285; 0,65684
546,48310; 0,67468
546,68335; 0,69201
546,88360; 0,70877
547,08385; 0,72488
547,28411; 0,74027
547,48436; 0,75489
547,68461; 0,76866
547,88486; 0,78153
548,08511; 0,79343
548,28536; 0,80432
548,48561; 0,81413
548,68586; 0,82284
548,88611; 0,83039
549,08636; 0,83676
549,28661; 0,84190
549,48686; 0,84580
549,68711; 0,84844
549,88736; 0,84980
550,08761; 0,84988
550,28786; 0,84868
550,48811; 0,84620
550,68836; 0,84245
550,88861; 0,83747
551,08886; 0,83125
551,28911; 0,82385
551,48936; 0,81528
551,68961; 0,80560
551,88986; 0,79485
552,09011; 0,78307
552,29036; 0,77032
552,49061; 0,75666
552,69086; 0,74215
552,89111; 0,72684
553,09136; 0,71082
553,29161; 0,69414
553,49186; 0,67688
553,69212; 0,65910
553,89237; 0,64087
554,09262; 0,62228
554,29287; 0,60338
554,49312; 0,58424
554,69337; 0,56494
554,89362; 0,54555
555,09387; 0,52612
555,29412; 0,50671
555,49437; 0,48740
555,69462; 0,46823
555,89487; 0,44926
556,09512; 0,43054
556,29537; 0,41212
556,49562; 0,39404
556,69587; 0,37633
556,89612; 0,35904
557,09637; 0,34220
557,29662; 0,32583
557,49687; 0,30997
557,69712; 0,29462
557,89737; 0,27981
558,09762; 0,26555
558,29787; 0,25185
558,49812; 0,23872
558,69837; 0,22616
558,89862; 0,21417
559,09887; 0,20275
559,29912; 0,19190
559,49937; 0,18161
559,69962; 0,17187
559,89987; 0,16267
560,10013; 0,15400
560,30038; 0,14584
560,50063; 0,13818
560,70088; 0,13100
560,90113; 0,12429
561,10138; 0,11802
561,30163; 0,11218
561,50188; 0,10676
561,70213; 0,10172
561,90238; 0,09705
562,10263; 0,09274
562,30288; 0,08876
562,50313; 0,08509
562,70338; 0,08172
562,90363; 0,07863
563,10388; 0,07580
563,30413; 0,07321
563,50438; 0,07085
563,70463; 0,06870
563,90488; 0,06674
564,10513; 0,06496
564,30538; 0,06335
564,50563; 0,06190
564,70588; 0,06058
564,90613; 0,05940
565,10638; 0,05834
565,30663; 0,05738
565,50688; 0,05652
565,70713; 0,05576
565,90738; 0,05507
566,10763; 0,05446
566,30788; 0,05392
566,50814; 0,05344
566,70839; 0,05301
566,90864; 0,05263
567,10889; 0,05229
567,30914; 0,05200
567,50939; 0,05174
567,70964; 0,05151
567,90989; 0,05131
568,11014; 0,05113
568,31039; 0,05098
568,51064; 0,05085
568,71089; 0,05073
568,91114; 0,05063
569,11139; 0,05054
569,31164; 0,05046
569,51189; 0,05039
569,71214; 0,05034
569,91239; 0,05029
570,11264; 0,05025
570,31289; 0,05021
570,51314; 0,05018
570,71339; 0,05015
570,91364; 0,05013
571,11389; 0,05011
571,31414; 0,05009
571,51439; 0,05008
571,71464; 0,05006
571,91489; 0,05005
572,11514; 0,05005
572,31539; 0,05004
572,51564; 0,05003
572,71589; 0,05003
572,91615; 0,05002
573,11640; 0,05002
573,31665; 0,05002
573,51690; 0,05001
573,71715; 0,05001
573,91740; 0,05001
574,11765; 0,05001
574,31790; 0,05001
574,51815; 0,05000
574,71840; 0,05000
574,91865; 0,05000
575,11890; 0,05000
575,31915; 0,05000
575,51940; 0,05000
575,71965; 0,05000
575,91990; 0,05000
576,12015; 0,05000
576,32040; 0,05000
576,52065; 0,05000
576,72090; 0,05000
576,92115; 0,05000
577,12140; 0,05000
577,32165; 0,05000
577,52190; 0,05000
577,72215; 0,05001
577,92240; 0,05001
578,12265; 0,05001
578,32290; 0,05001
578,52315; 0,05001
578,72340; 0,05002
578,92365; 0,05002
579,12390; 0,05003
579,32416; 0,05003
579,52441; 0,05004
579,72466; 0,05005
579,92491; 0,05006
580,12516; 0,05007
580,32541; 0,05008
580,52566; 0,05010
580,72591; 0,05012
580,92616; 0,05015
581,12641; 0,05018
581,32666; 0,05022
581,52691; 0,05026
581,72716; 0,05032
581,92741; 0,05038
582,12766; 0,05045
582,32791; 0,05054
582,52816; 0,05064
582,72841; 0,05076
582,92866; 0,05090
583,12891; 0,05106
583,32916; 0,05126
583,52941; 0,05148
583,72966; 0,05174
583,92991; 0,05204
584,13016; 0,05239
584,33041; 0,05279
584,53066; 0,05326
584,73091; 0,05379
584,93116; 0,05441
585,13141; 0,05511
585,33166; 0,05591
585,53191; 0,05683
585,73217; 0,05787
585,93242; 0,05906
586,13267; 0,06040
586,33292; 0,06192
586,53317; 0,06363
586,73342; 0,06555
586,93367; 0,06772
587,13392; 0,07014
587,33417; 0,07285
587,53442; 0,07587
587,73467; 0,07924
587,93492; 0,08298
588,13517; 0,08712
588,33542; 0,09170
588,53567; 0,09675
588,73592; 0,10231
588,93617; 0,10842
589,13642; 0,11511
589,33667; 0,12242
589,53692; 0,13040
589,73717; 0,13907
589,93742; 0,14849
590,13767; 0,15869
590,33792; 0,16970
590,53817; 0,18157
590,73842; 0,19433
590,93867; 0,20802
591,13892; 0,22266
591,33917; 0,23829
591,53942; 0,25492
591,73967; 0,27259
591,93992; 0,29129
592,14018; 0,31105
592,34043; 0,33187
592,54068; 0,35375
592,74093; 0,37668
592,94118; 0,40065
593,14143; 0,42563
593,34168; 0,45159
593,54193; 0,47850
593,74218; 0,50630
593,94243; 0,53495
594,14268; 0,56438
594,34293; 0,59451
594,54318; 0,62527
594,74343; 0,65657
594,94368; 0,68830
595,14393; 0,72036
595,34418; 0,75264
595,54443; 0,78502
595,74468; 0,81737
595,94493; 0,84956
596,14518; 0,88145
596,34543; 0,91290
596,54568; 0,94377
596,74593; 0,97392
596,94618; 1,00319
597,14643; 1,03144
597,34668; 1,05853
597,54693; 1,08432
597,74718; 1,10866
597,94743; 1,13144
598,14768; 1,15253
598,34793; 1,17180
598,54819; 1,18914
598,74844; 1,20447
598,94869; 1,21769
599,14894; 1,22873
599,34919; 1,23752
599,54944; 1,24400
599,74969; 1,24814
599,94994; 1,24993
600,15019; 1,24933
600,35044; 1,24637
600,55069; 1,24105
600,75094; 1,23341
600,95119; 1,22349
601,15144; 1,21135
601,35169; 1,19707
601,55194; 1,18072
601,75219; 1,16239
601,95244; 1,14220
602,15269; 1,12026
602,35294; 1,09668
602,55319; 1,07159
602,75344; 1,04514
602,95369; 1,01745
603,15394; 0,98867
603,35419; 0,95894
603,55444; 0,92842
603,75469; 0,89724
603,95494; 0,86555
604,15519; 0,83350
604,35544; 0,80121
604,55569; 0,76883
604,75594; 0,73648
604,95620; 0,70430
605,15645; 0,67239
605,35670; 0,64086
605,55695; 0,60982
605,75720; 0,57936
605,95745; 0,54957
606,15770; 0,52052
606,35795; 0,49229
606,55820; 0,46493
606,75845; 0,43849
606,95870; 0,41301
607,15895; 0,38854
607,35920; 0,36509
607,55945; 0,34268
607,75970; 0,32133
607,95995; 0,30104
608,16020; 0,28181
608,36045; 0,26362
608,56070; 0,24648
608,76095; 0,23035
608,96120; 0,21522
609,16145; 0,20106
609,36170; 0,18784
609,56195; 0,17553
609,76220; 0,16409
609,96245; 0,15349
610,16270; 0,14369
610,36295; 0,13464
610,56320; 0,12632
610,76345; 0,11869
610,96370; 0,11169
611,16395; 0,10530
611,36421; 0,09947
611,56446; 0,09417
611,76471; 0,08935
611,96496; 0,08500
612,16521; 0,08106
612,36546; 0,07751
612,56571; 0,07432
612,76596; 0,07146
612,96621; 0,06890
613,16646; 0,06660
613,36671; 0,06456
613,56696; 0,06275
613,76721; 0,06114
613,96746; 0,05971
614,16771; 0,05845
614,36796; 0,05734
614,56821; 0,05636
614,76846; 0,05550
614,96871; 0,05475
615,16896; 0,05409
615,36921; 0,05352
615,56946; 0,05302
615,76971; 0,05259
615,96996; 0,05221
616,17021; 0,05188
616,37046; 0,05160
616,57071; 0,05136
616,77096; 0,05116
616,97121; 0,05098
617,17146; 0,05083
617,37171; 0,05070
617,57196; 0,05059
617,77222; 0,05049
617,97247; 0,05041
618,17272; 0,05035
618,37297; 0,05029
618,57322; 0,05024
618,77347; 0,05020
618,97372; 0,05017
619,17397; 0,05014
619,37422; 0,05011
619,57447; 0,05009
619,77472; 0,05008
619,97497; 0,05006
620,17522; 0,05005
620,37547; 0,05004
620,57572; 0,05003
620,77597; 0,05003
620,97622; 0,05002
621,17647; 0,05002
621,37672; 0,05002
621,57697; 0,05001
621,77722; 0,05001
621,97747; 0,05001
622,17772; 0,05001
622,37797; 0,05001
622,57822; 0,05000
622,77847; 0,05000
622,97872; 0,05000
623,17897; 0,05000
623,37922; 0,05000
623,57947; 0,05000
623,77972; 0,05000
623,97997; 0,05000
624,18023; 0,05000
624,38048; 0,05000
624,58073; 0,05000
624,78098; 0,05000
624,98123; 0,05000
625,18148; 0,05000
625,38173; 0,05000
625,58198; 0,05000
625,78223; 0,05000
625,98248; 0,05000
626,18273; 0,05000
626,38298; 0,05000
626,58323; 0,05000
626,78348; 0,05000
626,98373; 0,05000
627,18398; 0,05000
627,38423; 0,05000
627,58448; 0,05000
627,78473; 0,05000
627,98498; 0,05000
628,18523; 0,05000
628,38548; 0,05000
628,58573; 0,05000
628,78598; 0,05000
628,98623; 0,05000
629,18648; 0,05000
629,38673; 0,05000
629,58698; 0,05000
629,78723; 0,05000
629,98748; 0,05000
630,18773; 0,05000
630,38798; 0,05000
630,58824; 0,05000
630,78849; 0,05000
630,98874; 0,05000
631,18899; 0,05000
631,38924; 0,05000
631,58949; 0,05000
631,78974; 0,05000
631,98999; 0,05000
632,19024; 0,05000
632,39049; 0,05000
632,59074; 0,05000
632,79099; 0,05000
632,99124; 0,05000
633,19149; 0,05000
633,39174; 0,05000
633,59199; 0,05000
633,79224; 0,05000
633,99249; 0,05000
634,19274; 0,05000
634,39299; 0,05000
634,59324; 0,05000
634,79349; 0,05000
634,99374; 0,05000
635,19399; 0,05000
635,39424; 0,05000
635,59449; 0,05000
635,79474; 0,05000
635,99499; 0,05000
636,19524; 0,05000
636,39549; 0,05000
636,59574; 0,05000
636,79599; 0,05000
636,99625; 0,05000
637,19650; 0,05000
637,39675; 0,05000
637,59700; 0,05000
637,79725; 0,05000
637,99750; 0,05000
638,19775; 0,05000
638,39800; 0,05000
638,59825; 0,05000
638,79850; 0,05000
638,99875; 0,05000
639,19900; 0,05000
639,39925; 0,05000
639,59950; 0,05000
639,79975; 0,05000
640,00000; 0,05000
