# kedd workload - one event per line: ordinal,payload,width
# visible sample: uniform widths, 9 events per 10
# seed=271828 n=900 (deterministic)

443,bar-443,1144
444,spar-444,954
445,toll-445,980
446,holm-446,816
447,reef-447,267
448,swell-448,885
449,spar-449,909
450,bell-450,1463
451,_floe-451,1444
452,raven-452,856
453,tide-453,1740
454,keel-454,308
455,boom-455,1060
456,gale-456,1263
457,raven-457,1511
458,toll-458,620
459,fog-459,1749
460,bell-460,702
461,light-461,823
462,_course-462,489
463,reef-463,548
464,reef-464,740
465,bar-465,826
466,dune-466,502
467,keel-467,518
468,holm-468,479
469,dune-469,1431
470,keel-470,1309
471,skerry-471,601
472,bluff-472,1394
473,_raven-473,1508
474,bar-474,1157
475,raven-475,646
476,holm-476,1205
477,spar-477,996
478,bell-478,1537
479,cove-479,287
480,bar-480,1229
481,boom-481,1638
482,bar-482,1747
483,fog-483,1262
484,_light-484,1544
485,spar-485,164
486,toll-486,1684
487,reef-487,1095
488,bluff-488,925
489,swell-489,623
490,gale-490,1699
491,swell-491,551
492,toll-492,1159
493,keel-493,156
494,dune-494,1656
495,_bar-495,1115
496,floe-496,1353
497,spar-497,783
498,skerry-498,961
499,raven-499,1360
500,bar-500,1070
501,holm-501,295
502,tide-502,560
503,boom-503,1060
504,spar-504,833
505,keel-505,975
506,_tide-506,161
507,toll-507,920
508,cove-508,1170
509,tide-509,1484
510,light-510,459
511,tide-511,558
512,course-512,791
513,course-513,1687
514,gale-514,443
515,tide-515,551
516,skerry-516,1715
517,_tide-517,404
518,bluff-518,947
519,light-519,668
520,gale-520,1408
521,tide-521,1294
522,holm-522,478
523,spar-523,1644
524,bar-524,370
525,raven-525,1162
526,holm-526,712
527,bluff-527,1152
528,_light-528,1410
529,floe-529,1271
530,keel-530,620
531,floe-531,529
532,bell-532,948
533,swell-533,972
534,floe-534,1082
535,spar-535,113
536,toll-536,584
537,dune-537,1714
538,spar-538,970
539,_gale-539,514
540,holm-540,671
541,fog-541,846
542,swell-542,1018
543,toll-543,1643
544,raven-544,595
545,skerry-545,1002
546,cove-546,440
547,skerry-547,1113
548,keel-548,1339
549,cove-549,563
550,_gale-550,631
551,skerry-551,1250
552,holm-552,240
553,holm-553,245
554,skerry-554,1485
555,bar-555,1243
556,dune-556,1141
557,raven-557,379
558,swell-558,906
559,skerry-559,852
560,dune-560,1388
561,_gale-561,923
562,bell-562,1139
563,bar-563,943
564,swell-564,716
565,swell-565,435
566,light-566,1271
567,cove-567,633
568,skerry-568,1668
569,floe-569,413
570,course-570,1365
571,spar-571,1319
572,_spar-572,167
573,course-573,295
574,holm-574,117
575,toll-575,189
576,gale-576,291
577,gale-577,310
578,spar-578,1722
579,skerry-579,826
580,light-580,966
581,spar-581,321
582,bell-582,795
583,_boom-583,642
584,light-584,1589
585,keel-585,316
586,dune-586,1720
587,floe-587,610
588,keel-588,1498
589,holm-589,671
590,bell-590,139
591,raven-591,837
592,dune-592,197
593,tide-593,1412
594,_keel-594,1274
595,toll-595,842
596,dune-596,253
597,holm-597,513
598,gale-598,1470
599,bell-599,1303
600,bluff-600,815
601,bar-601,1600
602,boom-602,1526
603,dune-603,1332
604,light-604,1702
605,_holm-605,879
606,floe-606,828
607,gale-607,361
608,course-608,759
609,swell-609,1221
610,fog-610,449
611,gale-611,439
612,light-612,413
613,raven-613,292
614,tide-614,788
615,cove-615,765
616,_swell-616,220
617,holm-617,712
618,dune-618,236
619,tide-619,1144
620,floe-620,1688
621,gale-621,491
622,floe-622,500
623,swell-623,620
624,holm-624,1690
625,skerry-625,1123
626,bell-626,1255
627,_raven-627,1743
628,tide-628,1587
629,toll-629,1363
630,gale-630,997
631,spar-631,360
632,tide-632,420
633,reef-633,1302
634,keel-634,1056
635,skerry-635,228
636,floe-636,394
637,light-637,243
638,_tide-638,718
639,keel-639,762
640,skerry-640,1276
641,course-641,227
642,holm-642,491
643,skerry-643,1222
644,cove-644,314
645,tide-645,632
646,toll-646,522
647,swell-647,410
648,dune-648,565
649,_bell-649,874
650,holm-650,1440
651,floe-651,1672
652,swell-652,1551
653,light-653,1743
654,spar-654,1568
655,boom-655,1708
656,bar-656,1473
657,course-657,481
658,skerry-658,1345
659,dune-659,280
660,_keel-660,1414
661,bar-661,683
662,holm-662,1390
663,course-663,906
664,raven-664,1639
665,bell-665,1744
666,cove-666,1300
667,dune-667,1208
668,boom-668,477
669,spar-669,744
670,course-670,1388
671,_keel-671,1125
672,keel-672,472
673,reef-673,1466
674,spar-674,694
675,skerry-675,1317
676,bell-676,525
677,keel-677,1247
678,floe-678,184
679,skerry-679,390
680,swell-680,645
681,gale-681,1703
682,_boom-682,1586
683,raven-683,148
684,toll-684,392
685,holm-685,1087
686,fog-686,882
687,reef-687,1505
688,dune-688,1035
689,gale-689,423
690,light-690,1059
691,light-691,289
692,boom-692,1190
693,_gale-693,1598
694,reef-694,110
695,toll-695,1186
696,skerry-696,685
697,bluff-697,167
698,holm-698,638
699,toll-699,661
700,bell-700,174
701,spar-701,601
702,spar-702,1415
703,reef-703,1215
704,_raven-704,303
705,fog-705,364
706,reef-706,1491
707,dune-707,150
708,holm-708,1735
709,bar-709,851
710,floe-710,1541
711,holm-711,271
712,tide-712,833
713,spar-713,899
714,tide-714,905
715,_gale-715,750
716,raven-716,1589
717,bluff-717,629
718,tide-718,585
719,bar-719,894
720,reef-720,365
721,swell-721,756
722,course-722,124
723,swell-723,1550
724,fog-724,205
725,tide-725,464
726,_reef-726,862
727,boom-727,1186
728,course-728,1508
729,tide-729,875
730,floe-730,929
731,tide-731,992
732,course-732,1713
733,skerry-733,567
734,floe-734,1129
735,raven-735,1505
736,toll-736,1463
737,_cove-737,872
738,keel-738,680
739,cove-739,211
740,fog-740,353
741,light-741,251
742,boom-742,755
743,boom-743,1607
744,toll-744,1072
745,boom-745,653
746,reef-746,1601
747,cove-747,1501
748,_swell-748,287
749,bar-749,429
750,tide-750,1591
751,dune-751,547
752,cove-752,506
753,course-753,139
754,bluff-754,808
755,reef-755,792
756,gale-756,913
757,spar-757,845
758,fog-758,1641
759,_reef-759,1472
760,cove-760,1529
761,raven-761,926
762,boom-762,435
763,bluff-763,1024
764,bluff-764,666
765,keel-765,533
766,floe-766,1530
767,tide-767,1729
768,spar-768,848
769,boom-769,852
770,_reef-770,593
771,fog-771,1662
772,cove-772,435
773,tide-773,196
774,fog-774,137
775,fog-775,492
776,bluff-776,818
777,tide-777,948
778,swell-778,168
779,gale-779,416
780,raven-780,266
781,_tide-781,955
782,light-782,1328
783,course-783,1532
784,gale-784,1642
785,floe-785,1712
786,tide-786,473
787,skerry-787,670
788,light-788,330
789,fog-789,1410
790,swell-790,1706
791,bell-791,250
792,_fog-792,548
793,floe-793,439
794,holm-794,1510
795,bell-795,110
796,swell-796,677
797,keel-797,461
798,gale-798,1126
799,swell-799,544
800,dune-800,1332
801,bar-801,438
802,boom-802,1691
803,_swell-803,1161
804,bluff-804,1115
805,swell-805,1694
806,bluff-806,1466
807,cove-807,1160
808,floe-808,677
809,bluff-809,508
810,holm-810,672
811,reef-811,1624
812,boom-812,208
813,raven-813,339
814,_swell-814,566
815,reef-815,598
816,swell-816,863
817,skerry-817,823
818,gale-818,471
819,bluff-819,630
820,light-820,1614
821,fog-821,1384
822,skerry-822,1154
823,floe-823,1598
824,swell-824,911
825,_dune-825,766
826,reef-826,1511
827,holm-827,1389
828,reef-828,770
829,floe-829,477
830,bluff-830,744
831,tide-831,1218
832,bluff-832,1601
833,cove-833,1357
834,gale-834,710
835,fog-835,1459
836,_raven-836,1066
837,course-837,404
838,spar-838,1401
839,tide-839,1552
840,toll-840,1519
841,bar-841,247
842,swell-842,257
843,bluff-843,595
844,fog-844,1533
845,floe-845,1601
846,raven-846,524
847,_cove-847,1040
848,skerry-848,483
849,swell-849,775
850,floe-850,390
851,gale-851,793
852,bar-852,153
853,raven-853,1694
854,floe-854,1258
855,bluff-855,1565
856,reef-856,1655
857,bar-857,1347
858,_bluff-858,757
859,cove-859,1727
860,tide-860,647
861,reef-861,1516
862,reef-862,1201
863,swell-863,1571
864,boom-864,1212
865,tide-865,769
866,keel-866,557
867,boom-867,652
868,floe-868,601
869,_gale-869,376
870,bar-870,933
871,fog-871,1149
872,toll-872,1191
873,bar-873,520
874,skerry-874,756
875,skerry-875,1702
876,keel-876,732
877,keel-877,1049
878,dune-878,1726
879,light-879,928
880,_fog-880,1068
881,spar-881,764
882,boom-882,1247
883,reef-883,602
884,course-884,1677
885,bar-885,1491
886,bar-886,1293
887,floe-887,1195
888,gale-888,1709
889,toll-889,805
890,skerry-890,892
891,_tide-891,1283
892,toll-892,341
893,dune-893,1438
894,swell-894,1507
895,light-895,897
896,fog-896,754
897,keel-897,1030
898,toll-898,686
899,keel-899,1597
