wavelength,intensity
4.620000,0.527285
4.640000,0.527829
4.660000,0.528376
4.680000,0.528927
4.700000,0.529482
4.720000,0.530040
4.740000,0.530603
4.760000,0.531170
4.780000,0.531741
4.800000,0.532316
4.820000,0.532895
4.840000,0.533478
4.860000,0.534066
4.880000,0.534658
4.900000,0.535254
4.920000,0.535855
4.940000,0.536460
4.960000,0.537069
4.980000,0.537683
5.000000,0.538301
5.020000,0.538925
5.040000,0.539552
5.060000,0.540185
5.080000,0.540822
5.100000,0.541464
5.120000,0.542111
5.140000,0.542762
5.160000,0.543419
5.180000,0.544081
5.200000,0.544747
5.220000,0.545419
5.240000,0.546096
5.260000,0.546778
5.280000,0.547465
5.300000,0.548158
5.320000,0.548856
5.340000,0.549560
5.360000,0.550269
5.380000,0.550984
5.400000,0.551704
5.420000,0.552430
5.440000,0.553162
5.460000,0.553899
5.480000,0.554643
5.500000,0.555392
5.520000,0.556147
5.540000,0.556909
5.560000,0.557676
5.580000,0.558450
5.600000,0.559230
5.620000,0.560017
5.640000,0.560809
5.660000,0.561609
5.680000,0.562415
5.700000,0.563227
5.720000,0.564047
5.740000,0.564873
5.760000,0.565706
5.780000,0.566546
5.800000,0.567393
5.820000,0.568247
5.840000,0.569108
5.860000,0.569977
5.880000,0.570853
5.900000,0.571736
5.920000,0.572627
5.940000,0.573526
5.960000,0.574432
5.980000,0.575347
6.000000,0.576269
6.020000,0.577199
6.040000,0.578137
6.060000,0.579084
6.080000,0.580039
6.100000,0.581002
6.120000,0.581974
6.140000,0.582954
6.160000,0.583943
6.180000,0.584941
6.200000,0.585948
6.220000,0.586964
6.240000,0.587989
6.260000,0.589024
6.280000,0.590067
6.300000,0.591121
6.320000,0.592184
6.340000,0.593256
6.360000,0.594339
6.380000,0.595432
6.400000,0.596534
6.420000,0.597648
6.440000,0.598771
6.460000,0.599905
6.480000,0.601050
6.500000,0.602205
6.520000,0.603372
6.540000,0.604549
6.560000,0.605738
6.580000,0.606938
6.600000,0.608150
6.620000,0.609373
6.640000,0.610608
6.660000,0.611856
6.680000,0.613115
6.700000,0.614387
6.720000,0.615671
6.740000,0.616968
6.760000,0.618278
6.780000,0.619601
6.800000,0.620937
6.820000,0.622286
6.840000,0.623649
6.860000,0.625026
6.880000,0.626417
6.900000,0.627821
6.920000,0.629240
6.940000,0.630674
6.960000,0.632122
6.980000,0.633586
7.000000,0.635064
7.020000,0.636558
7.040000,0.638067
7.060000,0.639593
7.080000,0.641134
7.100000,0.642691
7.120000,0.644266
7.140000,0.645856
7.160000,0.647464
7.180000,0.649089
7.200000,0.650732
7.220000,0.652392
7.240000,0.654070
7.260000,0.655767
7.280000,0.657482
7.300000,0.659216
7.320000,0.660969
7.340000,0.662741
7.360000,0.664533
7.380000,0.666345
7.400000,0.668178
7.420000,0.670031
7.440000,0.671904
7.460000,0.673800
7.480000,0.675716
7.500000,0.677655
7.520000,0.679615
7.540000,0.681599
7.560000,0.683605
7.580000,0.685635
7.600000,0.687688
7.620000,0.689765
7.640000,0.691867
7.660000,0.693993
7.680000,0.696145
7.700000,0.698322
7.720000,0.700526
7.740000,0.702755
7.760000,0.705012
7.780000,0.707296
7.800000,0.709607
7.820000,0.711947
7.840000,0.714316
7.860000,0.716713
7.880000,0.719141
7.900000,0.721598
7.920000,0.724086
7.940000,0.726605
7.960000,0.729156
7.980000,0.731739
8.000000,0.734355
8.020000,0.737004
8.040000,0.739686
8.060000,0.742404
8.080000,0.745156
8.100000,0.747944
8.120000,0.750768
8.140000,0.753629
8.160000,0.756528
8.180000,0.759465
8.200000,0.762440
8.220000,0.765456
8.240000,0.768511
8.260000,0.771607
8.280000,0.774745
8.300000,0.777926
8.320000,0.781150
8.340000,0.784417
8.360000,0.787730
8.380000,0.791088
8.400000,0.794493
8.420000,0.797944
8.440000,0.801444
8.460000,0.804993
8.480000,0.808592
8.500000,0.812242
8.520000,0.815944
8.540000,0.819698
8.560000,0.823506
8.580000,0.827369
8.600000,0.831288
8.620000,0.835264
8.640000,0.839297
8.660000,0.843390
8.680000,0.847543
8.700000,0.851757
8.720000,0.856034
8.740000,0.860375
8.760000,0.864781
8.780000,0.869253
8.800000,0.873793
8.820000,0.878401
8.840000,0.883080
8.860000,0.887831
8.880000,0.892654
8.900000,0.897553
8.920000,0.902527
8.940000,0.907579
8.960000,0.912710
8.980000,0.917922
9.000000,0.923216
9.020000,0.928595
9.040000,0.934059
9.060000,0.939610
9.080000,0.945251
9.100000,0.950984
9.120000,0.956809
9.140000,0.962729
9.160000,0.968747
9.180000,0.974863
9.200000,0.981081
9.220000,0.987401
9.240000,0.993827
9.260000,1.000361
9.280000,1.007004
9.300000,1.013760
9.320000,1.020631
9.340000,1.027618
9.360000,1.034725
9.380000,1.041954
9.400000,1.049308
9.420000,1.056789
9.440000,1.064400
9.460000,1.072144
9.480000,1.080025
9.500000,1.088044
9.520000,1.096204
9.540000,1.104510
9.560000,1.112964
9.580000,1.121569
9.600000,1.130329
9.620000,1.139246
9.640000,1.148326
9.660000,1.157570
9.680000,1.166983
9.700000,1.176568
9.720000,1.186329
9.740000,1.196270
9.760000,1.206395
9.780000,1.216709
9.800000,1.227214
9.820000,1.237916
9.840000,1.248818
9.860000,1.259925
9.880000,1.271242
9.900000,1.282773
9.920000,1.294523
9.940000,1.306497
9.960000,1.318699
9.980000,1.331134
10.000000,1.343808
10.020000,1.356725
10.040000,1.369891
10.060000,1.383312
10.080000,1.396992
10.100000,1.410937
10.120000,1.425152
10.140000,1.439644
10.160000,1.454418
10.180000,1.469480
10.200000,1.484835
10.220000,1.500490
10.240000,1.516451
10.260000,1.532724
10.280000,1.549314
10.300000,1.566229
10.320000,1.583474
10.340000,1.601055
10.360000,1.618980
10.380000,1.637253
10.400000,1.655881
10.420000,1.674871
10.440000,1.694229
10.460000,1.713960
10.480000,1.734071
10.500000,1.754568
10.520000,1.775457
10.540000,1.796743
10.560000,1.818433
10.580000,1.840530
10.600000,1.863042
10.620000,1.885972
10.640000,1.909325
10.660000,1.933106
10.680000,1.957319
10.700000,1.981967
10.720000,2.007054
10.740000,2.032582
10.760000,2.058554
10.780000,2.084971
10.800000,2.111834
10.820000,2.139145
10.840000,2.166901
10.860000,2.195103
10.880000,2.223748
10.900000,2.252833
10.920000,2.282355
10.940000,2.312307
10.960000,2.342685
10.980000,2.373480
11.000000,2.404683
11.020000,2.436285
11.040000,2.468273
11.060000,2.500634
11.080000,2.533354
11.100000,2.566415
11.120000,2.599799
11.140000,2.633486
11.160000,2.667452
11.180000,2.701673
11.200000,2.736123
11.220000,2.770772
11.240000,2.805589
11.260000,2.840539
11.280000,2.875588
11.300000,2.910696
11.320000,2.945822
11.340000,2.980922
11.360000,3.015950
11.380000,3.050858
11.400000,3.085595
11.420000,3.120107
11.440000,3.154339
11.460000,3.188232
11.480000,3.221727
11.500000,3.254762
11.520000,3.287272
11.540000,3.319193
11.560000,3.350459
11.580000,3.381001
11.600000,3.410751
11.620000,3.439641
11.640000,3.467600
11.660000,3.494561
11.680000,3.520455
11.700000,3.545214
11.720000,3.568772
11.740000,3.591065
11.760000,3.612031
11.780000,3.631610
11.800000,3.649745
11.820000,3.666383
11.840000,3.681473
11.860000,3.694972
11.880000,3.706837
11.900000,3.717032
11.920000,3.725527
11.940000,3.732295
11.960000,3.737316
11.980000,3.740575
12.000000,3.742063
12.020000,3.741778
12.040000,3.739723
12.060000,3.735906
12.080000,3.730342
12.100000,3.723051
12.120000,3.714060
12.140000,3.703400
12.160000,3.691107
12.180000,3.677222
12.200000,3.661791
12.220000,3.644863
12.240000,3.626492
12.260000,3.606735
12.280000,3.585651
12.300000,3.563303
12.320000,3.539755
12.340000,3.515074
12.360000,3.489326
12.380000,3.462581
12.400000,3.434907
12.420000,3.406374
12.440000,3.377051
12.460000,3.347005
12.480000,3.316305
12.500000,3.285017
12.520000,3.253207
12.540000,3.220939
12.560000,3.188274
12.580000,3.155272
12.600000,3.121991
12.620000,3.088488
12.640000,3.054816
12.660000,3.021025
12.680000,2.987165
12.700000,2.953281
12.720000,2.919418
12.740000,2.885616
12.760000,2.851915
12.780000,2.818350
12.800000,2.784956
12.820000,2.751763
12.840000,2.718802
12.860000,2.686098
12.880000,2.653677
12.900000,2.621562
12.920000,2.589772
12.940000,2.558327
12.960000,2.527243
12.980000,2.496536
13.000000,2.466218
13.020000,2.436303
13.040000,2.406799
13.060000,2.377716
13.080000,2.349062
13.100000,2.320843
13.120000,2.293063
13.140000,2.265728
13.160000,2.238839
13.180000,2.212400
13.200000,2.186412
13.220000,2.160874
13.240000,2.135787
13.260000,2.111149
13.280000,2.086960
13.300000,2.063216
13.320000,2.039916
13.340000,2.017056
13.360000,1.994632
13.380000,1.972641
13.400000,1.951078
13.420000,1.929938
13.440000,1.909218
13.460000,1.888910
13.480000,1.869012
13.500000,1.849516
13.520000,1.830417
13.540000,1.811709
13.560000,1.793387
13.580000,1.775445
13.600000,1.757876
13.620000,1.740674
13.640000,1.723834
13.660000,1.707348
13.680000,1.691212
13.700000,1.675418
13.720000,1.659962
13.740000,1.644835
13.760000,1.630033
13.780000,1.615550
13.800000,1.601379
13.820000,1.587514
13.840000,1.573951
13.860000,1.560682
13.880000,1.547703
13.900000,1.535007
13.920000,1.522589
13.940000,1.510443
13.960000,1.498565
13.980000,1.486949
14.000000,1.475589
14.020000,1.464481
14.040000,1.453620
14.060000,1.443000
14.080000,1.432617
14.100000,1.422466
14.120000,1.412542
14.140000,1.402841
14.160000,1.393359
14.180000,1.384090
14.200000,1.375031
14.220000,1.366178
14.240000,1.357526
14.260000,1.349071
14.280000,1.340810
14.300000,1.332739
14.320000,1.324854
14.340000,1.317151
14.360000,1.309626
14.380000,1.302277
14.400000,1.295100
14.420000,1.288091
14.440000,1.281248
14.460000,1.274567
14.480000,1.268044
14.500000,1.261678
14.520000,1.255465
14.540000,1.249402
14.560000,1.243487
14.580000,1.237716
14.600000,1.232087
14.620000,1.226598
14.640000,1.221245
14.660000,1.216027
14.680000,1.210942
14.700000,1.205985
14.720000,1.201157
14.740000,1.196453
14.760000,1.191873
14.780000,1.187414
14.800000,1.183074
14.820000,1.178850
14.840000,1.174742
14.860000,1.170747
14.880000,1.166863
14.900000,1.163089
14.920000,1.159422
14.940000,1.155862
14.960000,1.152406
14.980000,1.149053
15.000000,1.145801
15.020000,1.142649
15.040000,1.139596
15.060000,1.136639
15.080000,1.133778
15.100000,1.131011
15.120000,1.128336
15.140000,1.125754
15.160000,1.123262
15.180000,1.120858
15.200000,1.118543
15.220000,1.116315
15.240000,1.114173
15.260000,1.112115
15.280000,1.110142
15.300000,1.108250
15.320000,1.106441
15.340000,1.104713
15.360000,1.103064
15.380000,1.101495
15.400000,1.100003
15.420000,1.098590
15.440000,1.097252
15.460000,1.095991
15.480000,1.094805
15.500000,1.093694
15.520000,1.092656
15.540000,1.091691
15.560000,1.090799
15.580000,1.089979
15.600000,1.089230
15.620000,1.088552
15.640000,1.087944
15.660000,1.087406
15.680000,1.086937
15.700000,1.086537
15.720000,1.086205
15.740000,1.085942
15.760000,1.085746
15.780000,1.085617
15.800000,1.085555
15.820000,1.085559
15.840000,1.085630
15.860000,1.085766
15.880000,1.085969
15.900000,1.086236
15.920000,1.086569
15.940000,1.086967
15.960000,1.087430
15.980000,1.087957
16.000000,1.088548
16.020000,1.089204
16.040000,1.089924
16.060000,1.090708
16.080000,1.091557
16.100000,1.092469
16.120000,1.093445
16.140000,1.094484
16.160000,1.095588
16.180000,1.096756
16.200000,1.097987
16.220000,1.099283
16.240000,1.100642
16.260000,1.102066
16.280000,1.103553
16.300000,1.105105
16.320000,1.106722
16.340000,1.108403
16.360000,1.110148
16.380000,1.111959
16.400000,1.113834
16.420000,1.115775
16.440000,1.117782
16.460000,1.119854
16.480000,1.121993
16.500000,1.124198
16.520000,1.126469
16.540000,1.128808
16.560000,1.131213
16.580000,1.133687
16.600000,1.136228
16.620000,1.138839
16.640000,1.141517
16.660000,1.144266
16.680000,1.147083
16.700000,1.149972
16.720000,1.152930
16.740000,1.155960
16.760000,1.159062
16.780000,1.162236
16.800000,1.165483
16.820000,1.168803
16.840000,1.172197
16.860000,1.175665
16.880000,1.179209
16.900000,1.182829
16.920000,1.186525
16.940000,1.190299
16.960000,1.194150
16.980000,1.198081
17.000000,1.202090
17.020000,1.206180
17.040000,1.210351
17.060000,1.214604
17.080000,1.218940
17.100000,1.223359
17.120000,1.227862
17.140000,1.232451
17.160000,1.237126
17.180000,1.241889
17.200000,1.246739
17.220000,1.251679
17.240000,1.256710
17.260000,1.261831
17.280000,1.267045
17.300000,1.272352
17.320000,1.277754
17.340000,1.283252
17.360000,1.288847
17.380000,1.294540
17.400000,1.300333
17.420000,1.306226
17.440000,1.312221
17.460000,1.318319
17.480000,1.324522
17.500000,1.330831
17.520000,1.337248
17.540000,1.343773
17.560000,1.350409
17.580000,1.357156
17.600000,1.364017
17.620000,1.370993
17.640000,1.378085
17.660000,1.385295
17.680000,1.392625
17.700000,1.400077
17.720000,1.407651
17.740000,1.415351
17.760000,1.423177
17.780000,1.431132
17.800000,1.439218
17.820000,1.447436
17.840000,1.455787
17.860000,1.464276
17.880000,1.472902
17.900000,1.481669
17.920000,1.490578
17.940000,1.499632
17.960000,1.508832
17.980000,1.518181
18.000000,1.527681
18.020000,1.537335
18.040000,1.547144
18.060000,1.557111
18.080000,1.567239
18.100000,1.577530
18.120000,1.587986
18.140000,1.598610
18.160000,1.609404
18.180000,1.620372
18.200000,1.631515
18.220000,1.642836
18.240000,1.654339
18.260000,1.666026
18.280000,1.677900
18.300000,1.689963
18.320000,1.702219
18.340000,1.714670
18.360000,1.727320
18.380000,1.740171
18.400000,1.753227
18.420000,1.766490
18.440000,1.779964
18.460000,1.793653
18.480000,1.807558
18.500000,1.821684
18.520000,1.836034
18.540000,1.850611
18.560000,1.865419
18.580000,1.880461
18.600000,1.895740
18.620000,1.911260
18.640000,1.927024
18.660000,1.943036
18.680000,1.959300
18.700000,1.975819
18.720000,1.992596
18.740000,2.009636
18.760000,2.026941
18.780000,2.044516
18.800000,2.062364
18.820000,2.080488
18.840000,2.098894
18.860000,2.117583
18.880000,2.136560
18.900000,2.155828
18.920000,2.175391
18.940000,2.195253
18.960000,2.215417
18.980000,2.235886
19.000000,2.256664
19.020000,2.277755
19.040000,2.299162
19.060000,2.320887
19.080000,2.342936
19.100000,2.365309
19.120000,2.388011
19.140000,2.411045
19.160000,2.434413
19.180000,2.458118
19.200000,2.482162
19.220000,2.506549
19.240000,2.531280
19.260000,2.556358
19.280000,2.581783
19.300000,2.607559
19.320000,2.633686
19.340000,2.660166
19.360000,2.687000
19.380000,2.714188
19.400000,2.741731
19.420000,2.769630
19.440000,2.797883
19.460000,2.826490
19.480000,2.855450
19.500000,2.884763
19.520000,2.914426
19.540000,2.944437
19.560000,2.974794
19.580000,3.005492
19.600000,3.036530
19.620000,3.067902
19.640000,3.099604
19.660000,3.131630
19.680000,3.163974
19.700000,3.196630
19.720000,3.229590
19.740000,3.262846
19.760000,3.296390
19.780000,3.330212
19.800000,3.364301
19.820000,3.398647
19.840000,3.433237
19.860000,3.468058
19.880000,3.503096
19.900000,3.538337
19.920000,3.573764
19.940000,3.609362
19.960000,3.645111
19.980000,3.680994
20.000000,3.716990
20.020000,3.753079
20.040000,3.789238
20.060000,3.825444
20.080000,3.861673
20.100000,3.897900
20.120000,3.934098
20.140000,3.970240
20.160000,4.006296
20.180000,4.042238
20.200000,4.078034
20.220000,4.113652
20.240000,4.149059
20.260000,4.184222
20.280000,4.219106
20.300000,4.253674
20.320000,4.287891
20.340000,4.321718
20.360000,4.355118
20.380000,4.388052
20.400000,4.420480
20.420000,4.452363
20.440000,4.483659
20.460000,4.514329
20.480000,4.544331
20.500000,4.573624
20.520000,4.602168
20.540000,4.629922
20.560000,4.656844
20.580000,4.682894
20.600000,4.708034
20.620000,4.732222
20.640000,4.755422
20.660000,4.777596
20.680000,4.798707
20.700000,4.818720
20.720000,4.837601
20.740000,4.855317
20.760000,4.871838
20.780000,4.887135
20.800000,4.901180
20.820000,4.913947
20.840000,4.925414
20.860000,4.935558
20.880000,4.944362
20.900000,4.951809
20.920000,4.957884
20.940000,4.962575
20.960000,4.965875
20.980000,4.967775
21.000000,4.968273
21.020000,4.967366
21.040000,4.965056
21.060000,4.961347
21.080000,4.956246
21.100000,4.949761
21.120000,4.941905
21.140000,4.932691
21.160000,4.922137
21.180000,4.910260
21.200000,4.897082
21.220000,4.882627
21.240000,4.866919
21.260000,4.849987
21.280000,4.831858
21.300000,4.812565
21.320000,4.792140
21.340000,4.770616
21.360000,4.748030
21.380000,4.724416
21.400000,4.699813
21.420000,4.674259
21.440000,4.647793
21.460000,4.620455
21.480000,4.592286
21.500000,4.563325
21.520000,4.533614
21.540000,4.503194
21.560000,4.472105
21.580000,4.440389
21.600000,4.408086
21.620000,4.375237
21.640000,4.341881
21.660000,4.308058
21.680000,4.273807
21.700000,4.239166
21.720000,4.204172
21.740000,4.168862
21.760000,4.133272
21.780000,4.097436
21.800000,4.061389
21.820000,4.025163
21.840000,3.988790
21.860000,3.952301
21.880000,3.915726
21.900000,3.879093
21.920000,3.842430
21.940000,3.805764
21.960000,3.769119
21.980000,3.732521
22.000000,3.695991
22.020000,3.659552
22.040000,3.623226
22.060000,3.587031
22.080000,3.550987
22.100000,3.515112
22.120000,3.479422
22.140000,3.443933
22.160000,3.408659
22.180000,3.373616
22.200000,3.338814
22.220000,3.304268
22.240000,3.269987
22.260000,3.235983
22.280000,3.202264
22.300000,3.168839
22.320000,3.135718
22.340000,3.102905
22.360000,3.070410
22.380000,3.038237
22.400000,3.006391
22.420000,2.974878
22.440000,2.943702
22.460000,2.912866
22.480000,2.882373
22.500000,2.852227
22.520000,2.822428
22.540000,2.792980
22.560000,2.763882
22.580000,2.735137
22.600000,2.706744
22.620000,2.678703
22.640000,2.651016
22.660000,2.623680
22.680000,2.596695
22.700000,2.570061
22.720000,2.543776
22.740000,2.517838
22.760000,2.492246
22.780000,2.466998
22.800000,2.442092
22.820000,2.417524
22.840000,2.393294
22.860000,2.369398
22.880000,2.345833
22.900000,2.322597
22.920000,2.299686
22.940000,2.277098
22.960000,2.254829
22.980000,2.232876
23.000000,2.211236
23.020000,2.189906
23.040000,2.168881
23.060000,2.148158
23.080000,2.127734
23.100000,2.107605
23.120000,2.087768
23.140000,2.068218
23.160000,2.048953
23.180000,2.029968
23.200000,2.011260
23.220000,1.992825
23.240000,1.974659
23.260000,1.956759
23.280000,1.939121
23.300000,1.921742
23.320000,1.904617
23.340000,1.887743
23.360000,1.871116
23.380000,1.854733
23.400000,1.838591
23.420000,1.822685
23.440000,1.807012
23.460000,1.791568
23.480000,1.776351
23.500000,1.761357
23.520000,1.746581
23.540000,1.732022
23.560000,1.717675
23.580000,1.703538
23.600000,1.689606
23.620000,1.675877
23.640000,1.662348
23.660000,1.649015
23.680000,1.635876
23.700000,1.622927
23.720000,1.610165
23.740000,1.597588
23.760000,1.585192
23.780000,1.572974
23.800000,1.560932
23.820000,1.549063
23.840000,1.537364
23.860000,1.525832
23.880000,1.514465
23.900000,1.503259
23.920000,1.492213
23.940000,1.481324
23.960000,1.470589
23.980000,1.460006
24.000000,1.449572
24.020000,1.439284
24.040000,1.429142
24.060000,1.419141
24.080000,1.409281
24.100000,1.399558
24.120000,1.389970
24.140000,1.380516
24.160000,1.371193
24.180000,1.361998
24.200000,1.352931
24.220000,1.343988
24.240000,1.335168
24.260000,1.326470
24.280000,1.317890
24.300000,1.309427
24.320000,1.301079
24.340000,1.292844
24.360000,1.284721
24.380000,1.276708
24.400000,1.268803
24.420000,1.261004
24.440000,1.253309
24.460000,1.245718
24.480000,1.238228
24.500000,1.230837
24.520000,1.223545
24.540000,1.216349
24.560000,1.209248
24.580000,1.202241
24.600000,1.195326
24.620000,1.188502
24.640000,1.181767
24.660000,1.175119
24.680000,1.168559
24.700000,1.162083
24.720000,1.155692
24.740000,1.149383
24.760000,1.143155
24.780000,1.137008
24.800000,1.130939
24.820000,1.124948
24.840000,1.119033
24.860000,1.113194
24.880000,1.107429
24.900000,1.101736
24.920000,1.096116
24.940000,1.090567
24.960000,1.085088
24.980000,1.079677
25.000000,1.074334
25.020000,1.069058
25.040000,1.063847
25.060000,1.058701
25.080000,1.053620
25.100000,1.048601
25.120000,1.043644
25.140000,1.038748
25.160000,1.033912
25.180000,1.029135
25.200000,1.024417
25.220000,1.019757
25.240000,1.015154
25.260000,1.010606
25.280000,1.006113
25.300000,1.001675
25.320000,0.997291
25.340000,0.992959
25.360000,0.988680
25.380000,0.984452
25.400000,0.980274
25.420000,0.976147
25.440000,0.972069
25.460000,0.968039
25.480000,0.964057
25.500000,0.960123
25.520000,0.956235
25.540000,0.952393
25.560000,0.948596
25.580000,0.944845
25.600000,0.941137
25.620000,0.937473
25.640000,0.933852
25.660000,0.930273
25.680000,0.926736
25.700000,0.923240
25.720000,0.919785
25.740000,0.916370
25.760000,0.912995
25.780000,0.909659
25.800000,0.906361
25.820000,0.903102
25.840000,0.899880
25.860000,0.896696
25.880000,0.893548
25.900000,0.890436
25.920000,0.887360
25.940000,0.884320
25.960000,0.881314
25.980000,0.878343
26.000000,0.875405
26.020000,0.872502
26.040000,0.869631
26.060000,0.866793
26.080000,0.863988
26.100000,0.861214
26.120000,0.858472
26.140000,0.855762
26.160000,0.853082
26.180000,0.850433
26.200000,0.847813
26.220000,0.845224
26.240000,0.842664
26.260000,0.840132
26.280000,0.837630
26.300000,0.835156
26.320000,0.832710
26.340000,0.830292
26.360000,0.827901
26.380000,0.825538
26.400000,0.823201
26.420000,0.820890
26.440000,0.818606
26.460000,0.816348
26.480000,0.814116
26.500000,0.811908
26.520000,0.809726
26.540000,0.807569
26.560000,0.805437
26.580000,0.803328
26.600000,0.801244
26.620000,0.799183
26.640000,0.797146
26.660000,0.795133
26.680000,0.793142
26.700000,0.791174
26.720000,0.789229
26.740000,0.787306
26.760000,0.785406
26.780000,0.783527
26.800000,0.781670
26.820000,0.779835
26.840000,0.778021
26.860000,0.776228
26.880000,0.774456
26.900000,0.772704
26.920000,0.770973
26.940000,0.769263
26.960000,0.767572
26.980000,0.765902
27.000000,0.764251
27.020000,0.762620
27.040000,0.761009
27.060000,0.759416
27.080000,0.757843
27.100000,0.756289
27.120000,0.754754
27.140000,0.753237
27.160000,0.751738
27.180000,0.750258
27.200000,0.748797
27.220000,0.747353
27.240000,0.745927
27.260000,0.744519
27.280000,0.743129
27.300000,0.741756
27.320000,0.740400
27.340000,0.739062
27.360000,0.737741
27.380000,0.736437
27.400000,0.735150
27.420000,0.733879
27.440000,0.732625
27.460000,0.731388
27.480000,0.730167
27.500000,0.728963
27.520000,0.727775
27.540000,0.726603
27.560000,0.725447
27.580000,0.724307
27.600000,0.723183
27.620000,0.722074
27.640000,0.720982
27.660000,0.719905
27.680000,0.718843
27.700000,0.717797
27.720000,0.716767
27.740000,0.715751
27.760000,0.714751
27.780000,0.713766
27.800000,0.712797
27.820000,0.711842
27.840000,0.710902
27.860000,0.709977
27.880000,0.709067
27.900000,0.708172
27.920000,0.707292
27.940000,0.706426
