  bearing marks: kite50a kite50b kite50c
  clearance 9000 m ceiling 10000 m datum 20000
  beacon 5050-5050 spiral delta-5050
North Gate Sector 52
  azimuth=102.7 elevation=602.1 wind=102.3 gust=102.9
  bearing marks: kite52a kite52b kite52c
  clearance 9020 m ceiling 10200 m datum 20200
  beacon 5252-5252 spiral delta-5252
North Gate Sector 54
  azimuth=104.7 elevation=604.1 wind=104.3 gust=104.9
  bearing marks: kite54a kite54b kite54c
  clearance 9040 m ceiling 10400 m datum 20400
  beacon 5454-5454 spiral delta-5454
North Gate Sector 56
  azimuth=106.7 elevation=606.1 wind=106.3 gust=106.9
  bearing marks: kite56a kite56b kite56c
  clearance 9060 m ceiling 10600 m datum 20600
  beacon 5656-5656 spiral delta-5656
