step,c0,c1,c2,c3,c4,c5,c6,ambient
28,-0.292257,0.271288,-0.053502,-1.526668,-0.554023,0.074661,-0.475049,-0.919565
29,-2.533506,-2.644882,-2.458978,-1.108455,-2.24852,-1.927576,-0.896128,-0.095972
30,-1.123145,-1.175596,-0.535536,0.036718,-0.969654,0.118973,-1.354562,-1.273494
31,1.48867,0.893404,1.27108,1.353217,0.939596,1.252424,1.155477,0.234338
32,-0.673541,-0.988067,-0.051561,-0.513098,-0.146539,-0.546525,-0.009659,-0.48492
33,0.230552,-0.251249,1.742097,0.522143,0.349413,-0.272254,1.927733,-0.311908
34,-0.773013,0.019901,-0.610415,-0.154151,-0.446081,1.111492,-0.674852,1.113938
35,-1.426649,-0.939503,-1.383493,-0.934954,-1.007595,-0.041336,-1.298699,-0.495406
36,-1.667739,-0.70733,-1.416408,-0.022342,-0.069936,0.914783,-1.844733,-0.095923
37,0.662954,1.230876,0.63417,-0.204977,2.11842,1.809663,0.658797,0.95743
38,-0.577163,-0.884478,0.136013,0.337833,-1.621034,-0.866107,0.214767,2.145326
39,0.252361,0.238577,-0.075539,0.106023,0.250643,0.08065,0.14183,-1.216371
40,-0.263856,0.372619,1.271743,0.95126,0.921881,0.614973,1.568435,-0.182296
41,0.641259,0.193057,0.009098,0.83095,0.999385,0.341709,1.087735,0.215323
42,-0.90116,-1.419967,-0.271202,-0.693391,-0.743943,-1.228225,0.550921,0.410013
43,-1.015947,-0.805242,-0.797334,-0.815794,-0.046494,-0.790063,0.095672,1.138509
44,-0.064856,0.030175,0.715305,0.852594,1.231234,0.678781,0.521422,-0.766788
45,-0.509777,-0.565462,0.918037,-0.390913,-0.026576,-0.038895,-0.109626,1.002549
46,0.607143,1.515816,0.684436,0.362296,1.564696,0.834526,0.360772,-0.953277
47,-0.419049,-1.07653,0.174529,0.601908,0.171238,-0.91048,0.37583,1.771594
48,-0.345221,0.311483,-0.199996,-0.191289,0.86863,0.349068,-0.866094,-1.786134
49,0.736142,1.481786,1.158065,1.206652,1.255888,2.102834,1.393871,0.770977
50,-0.102753,1.04512,0.236464,-0.215454,0.533104,0.857429,0.630299,2.162284
51,-2.49264,-1.897292,-1.451618,-2.062566,-0.090946,-1.329167,-0.644449,0.319664
52,-0.048492,-0.405053,-0.662766,0.664479,0.580094,-1.079487,-1.325991,-1.894773
53,-1.903177,-2.529136,-1.493239,-0.552912,-1.728049,-0.739001,-1.408643,1.002974
54,0.902285,0.869538,1.090702,1.959625,1.969747,1.143493,0.858189,0.118327
55,0.285189,0.768746,0.773274,0.883568,1.308975,0.434558,0.338852,0.122204
56,-0.775138,-0.002875,-0.345865,-0.296788,-0.24419,0.751116,-0.120472,-1.054747
57,1.321601,1.483501,0.60184,1.114869,1.083984,1.616271,0.388688,0.123594
58,-0.554865,-0.725943,0.139262,-0.297482,0.356177,-0.33745,1.316719,2.381792
59,-1.699938,-1.203528,-0.113264,-0.334146,-0.470734,-1.325194,0.768668,0.97705
60,0.506309,0.327588,-1.160464,1.56678,1.879988,0.334494,-0.833107,-0.126491
61,-0.23273,0.63571,1.078474,0.091695,0.960346,1.056184,1.58776,0.947563
62,0.406502,0.174646,-0.197978,-0.118304,0.472844,0.96278,-0.180176,-0.348214
63,1.17135,1.87952,1.171837,0.871945,1.8698,1.859076,0.660883,2.547517
64,-1.550539,-1.917294,-0.965952,-1.477536,-0.304346,-1.296996,-0.368349,-0.385807
65,2.366636,2.728401,2.346686,1.842181,2.422369,2.9758,2.263758,1.199859
66,-0.748888,0.793071,-0.890605,-0.205778,1.13908,-0.081362,-0.562721,-0.364342
67,-0.010274,-0.43889,0.575896,0.351756,0.552606,0.083515,0.610439,1.821326
68,-0.707189,0.754599,-0.274848,0.163208,-0.201182,0.926197,0.500314,-0.972395
69,-1.131741,-0.386854,0.391911,-1.419528,0.602291,0.038556,-0.048966,-0.525214
70,-1.853617,-1.892446,-1.675675,-0.445544,-0.349965,-2.273314,-1.610978,1.746724
71,0.988473,0.939773,2.435692,1.424444,0.275245,0.882973,2.373716,-1.014121
72,-0.762848,-0.845044,-0.528978,-0.394352,-0.708365,-0.651004,-0.297221,1.047383
73,0.71408,1.125252,1.032957,1.044998,1.314164,1.158943,2.371166,-2.26777
74,0.49211,0.867162,1.250179,1.014682,0.95094,1.288187,1.919978,1.26237
75,1.605417,1.937934,0.920029,1.62532,2.286148,1.991374,0.73562,-0.825396
76,1.501198,0.852958,1.131759,1.310711,1.18003,1.028849,0.809766,-0.727482
77,-0.095413,0.113637,-0.010124,-0.3079,0.038851,0.08089,-0.217014,0.177936
78,-0.288458,-0.769199,0.124487,0.124027,-0.420844,0.173027,0.982619,-0.171041
79,-0.036763,0.653903,-0.13585,-0.221489,0.399736,0.313853,0.623656,-2.631068
80,-0.205004,0.736716,0.294639,-0.970732,1.779023,0.076766,0.689306,0.66721
81,-0.035687,-0.228358,1.075733,0.783119,-0.38051,0.931266,1.871717,-1.339924
82,-0.379978,-0.219216,0.157463,-0.602758,-0.677379,0.222816,0.509146,1.459435
83,-0.930744,-0.379466,-0.473985,-0.835503,0.346703,0.137591,-0.569997,0.295508
84,-0.689713,-0.412507,0.043204,0.032879,0.22595,-0.674953,-0.031127,0.243011
85,0.421801,1.005741,1.027105,0.208853,0.529808,2.17472,0.327718,1.804564
86,1.571252,1.042887,1.092842,1.179984,0.999734,0.938921,1.048749,-0.846972
87,-0.467988,-1.912335,0.208047,0.152142,-1.199708,-0.909046,-0.012575,-0.34607
88,-0.384139,0.552374,0.286808,0.069835,-0.092887,0.233203,0.543423,-1.049339
89,-1.04224,-1.419476,-0.161908,-0.652274,-1.304833,-1.392434,0.219275,-0.063969
90,-0.146149,-0.080165,-0.075643,-0.580504,-0.745307,0.193832,0.008839,1.502984
91,-1.727502,-1.735207,-1.45163,-0.744829,-1.438934,-0.812866,-0.984689,0.373447
92,0.749529,0.506697,0.793492,0.679882,0.93849,0.772115,2.020614,-0.044779
93,1.245739,1.132602,1.566431,1.18406,0.741812,1.94557,2.229572,0.441075
94,-1.217357,-1.054051,0.103385,-1.424094,-0.092125,-1.10801,0.834429,0.51035
95,-0.903879,-0.459707,0.564025,-0.480399,0.524475,-0.235948,0.470951,2.355227
96,0.238337,0.058255,0.592996,0.205887,0.357309,0.304232,1.060605,0.629472
97,-2.202748,-1.30193,-1.786292,-0.423223,-0.057716,-1.303494,-0.623191,-1.537174
98,0.367203,0.398525,1.134209,0.651352,-0.13972,-0.08558,2.030577,-1.333378
99,0.144146,0.402514,0.267222,0.627322,0.964727,0.276699,-0.594402,-1.960015
100,-0.483641,-1.036341,-0.117181,0.198079,-0.468547,-0.370887,0.166378,-2.742604
101,0.21102,0.827752,0.904221,-0.476675,0.937025,1.495612,1.164601,1.343383
102,-0.375387,-0.186597,-0.678881,0.271184,0.190567,1.305925,-0.945126,-0.350754
103,-1.409986,-1.302157,-1.029865,-0.106493,-0.912518,-1.162441,-0.880542,1.055815
104,0.383411,1.372238,0.567176,0.352153,1.155537,0.964365,1.216922,0.713942
105,-0.113697,0.002959,-0.209431,0.70229,0.15456,0.474296,-0.495084,0.962096
106,1.030221,1.55868,1.191119,1.441516,1.815038,1.913504,1.903259,0.731262
107,1.099447,1.59797,1.546443,1.205286,1.300101,1.002476,2.559762,-0.248772
108,-1.364192,-1.03792,-1.202974,-1.369387,0.1114,-0.83234,0.093856,-0.759503
109,0.789574,2.213056,1.187394,1.360397,2.269847,1.585696,1.638785,1.187874
110,-0.04136,0.602078,1.565326,0.399634,-0.435265,0.668612,1.694586,1.046998
111,-0.077889,1.175219,-0.280373,0.222823,0.873096,0.626522,-0.094349,0.272922
112,-2.252026,-3.145216,-0.986268,-0.685888,-1.635658,-1.829736,-1.452593,-0.027759
113,0.057936,0.251623,0.410736,0.620321,0.422888,0.383953,-0.331648,0.651948
114,0.266867,-0.665401,1.292821,0.816169,-1.217703,0.04251,1.37671,0.614536
115,-0.414788,0.469516,-0.040948,0.07559,0.258116,-0.589376,-0.587039,0.867398
116,0.024277,0.865189,-0.556389,-0.158999,1.941197,1.333838,-1.32322,0.233648
117,0.450731,0.857565,0.093164,0.277557,0.554582,0.914645,0.116878,0.303437
118,-0.678419,0.018526,-0.017007,-0.294334,0.186875,-1.148177,0.005049,-0.178484
119,0.071001,-0.821037,1.570004,-0.748297,-0.138481,-0.674322,1.643292,1.256881
120,-2.629765,-2.138877,-1.678629,-1.615519,-1.40938,-2.009552,-2.659508,-0.266113
121,-0.042822,0.792597,0.328233,0.349309,0.47794,0.590691,0.127166,-0.417818
122,0.554251,0.898491,0.607714,1.015604,0.461719,0.461383,1.054394,0.260255
123,-1.205398,-0.030906,-0.580444,-0.991883,0.888548,0.248148,-1.349297,0.190194
124,0.295136,1.337816,-0.056756,0.190847,0.986292,0.681103,0.52204,1.328583
125,-0.247611,0.224822,0.419658,-0.788212,-0.934063,-0.211787,1.281726,0.965569
126,0.823279,0.761088,1.630086,1.121762,0.959272,1.436559,2.05373,-1.42083
127,0.40658,-0.098631,0.777797,0.259867,-0.704232,0.28529,1.199962,-0.284889
128,-0.220454,-0.542505,-0.569657,0.305336,-0.411059,0.159529,0.523645,0.499404
129,-0.006759,-0.302993,-1.30373,0.007383,-0.141471,0.614425,-0.828039,-0.76234
130,-0.520155,0.32069,0.438744,-0.247804,0.937156,0.592978,1.506564,1.07826
131,0.949438,1.645556,1.654612,0.181507,1.636171,1.229751,1.019,-1.021648
132,-0.802189,-0.439456,-1.699699,0.040784,-0.726717,-0.492973,-1.257686,1.036314
133,0.075645,1.345098,0.058267,0.828894,1.614296,0.853861,-0.404034,-0.345943
134,-0.859098,0.284346,0.839021,-0.513746,0.655972,0.504685,1.555523,0.898599
135,1.314979,0.86802,1.814549,1.038946,1.344613,0.653293,2.358195,0.012058
136,0.406236,0.203331,0.144821,0.43999,1.017819,0.130937,-0.480767,-0.817002
137,-0.501,-0.220527,-0.134275,0.032283,0.094865,0.427072,0.042159,-0.041116
138,-1.217121,-1.051034,-0.271808,-0.427923,-0.456337,-0.695256,-1.308336,0.079762
139,0.666621,0.47239,0.971149,0.672425,1.218746,0.293481,1.492459,1.363984
140,-1.109548,-1.073846,-0.899212,-0.424615,-0.331113,-0.753313,-0.518746,-0.084768
141,-1.916141,-1.405978,-1.994545,-1.693964,-0.768955,-1.284833,-1.008337,-1.309853
142,0.459322,0.939286,0.839522,-0.198991,1.024066,0.655854,0.728445,-0.367693
143,-0.542467,-1.241208,0.741158,-0.432324,-1.224286,-0.399389,0.995057,1.055869
144,-0.073715,-0.138447,-0.759517,-0.53182,0.679781,1.007928,-0.269631,-1.460806
145,0.212778,0.59719,0.7992,0.269902,1.745989,0.360267,1.294036,1.365361
146,-0.519024,-0.23426,-0.319293,0.587545,0.332406,0.340461,-0.53013,0.092649
147,2.249396,2.879745,2.15757,1.587562,2.425001,2.26597,1.066254,0.958228
148,-0.581523,0.28526,0.165559,-0.013761,-0.018159,0.781039,1.115472,0.375711
149,0.216332,-0.658539,0.751366,0.300125,-0.435248,-0.50489,1.523801,0.102261
150,0.884868,1.065828,1.894281,1.002293,0.564104,1.542798,2.447504,0.414772
151,-0.297304,0.594301,-0.176487,-0.760586,0.265456,-0.031895,-0.26324,-1.746698
152,-0.279018,-0.96714,0.048365,0.99353,-1.192042,-0.690258,0.077092,-0.376897
153,-0.085324,1.040155,0.927875,-0.308415,0.575295,1.551152,1.421971,-1.214422
154,-0.381744,-0.640288,-0.068103,0.32562,0.018458,0.179915,0.349586,-0.653613
155,1.351713,1.567301,1.460367,1.195308,1.776328,1.118653,1.978365,-0.222509
156,0.236719,-0.013341,0.130126,0.713297,0.153462,0.498901,0.475621,-0.104202
157,-1.469279,-1.861739,-0.190934,0.695083,-1.655682,-0.849706,-0.043214,-0.899852
158,2.174041,1.041744,2.881233,2.324499,0.575708,0.877814,3.355656,0.131198
159,0.810577,1.157419,2.06927,1.041794,1.276645,1.023121,1.084362,0.314523
160,1.787927,2.639432,1.611459,1.40534,1.568079,3.304715,2.321117,-1.197141
161,-1.379816,-0.905769,-1.004904,-0.196568,-0.816456,-0.777783,-0.035203,0.44936
162,0.562023,0.782794,-0.14951,-0.655203,1.516425,0.805793,-0.021942,2.176863
163,-0.232577,-0.482777,0.125599,0.384867,0.120725,-0.262706,1.867604,-1.520516
164,0.791572,1.751553,1.032917,0.329123,1.786918,1.076666,0.291995,-0.59245
165,0.648679,0.258763,0.686088,0.448072,-0.021665,1.059415,0.71175,-0.833387
166,-0.175197,0.374078,0.980264,-0.15346,-0.406097,0.248197,1.131723,0.166176
167,1.168979,1.648972,1.313249,1.297309,1.77513,1.365262,0.95049,0.493072
168,-0.956636,-0.83862,0.006885,-0.901094,-0.9407,-0.756094,0.012876,-0.369416
169,-0.317648,0.113106,-0.899637,0.546292,-0.376542,1.424569,-1.074957,-1.473477
170,-0.206839,0.863896,0.163841,-0.115877,0.866092,0.742793,1.304703,-0.193216
171,-2.232765,-2.489364,-0.233435,-1.504289,-2.240774,-1.181827,0.122183,-0.215236
172,0.962076,2.231868,0.346441,0.832604,2.340729,2.69679,0.479709,-1.175074
173,0.811928,0.706412,1.151469,1.971415,0.596455,1.279051,0.826745,-0.209537
174,-0.183124,-0.309484,0.912171,1.175766,-0.089034,-0.966622,1.664536,1.554865
175,-0.254465,0.321934,-0.796953,1.240171,-0.10002,0.474705,-0.387158,0.266969
176,0.208222,0.483502,0.856486,0.567085,-0.216068,1.808854,1.036645,0.86195
177,-0.503709,-0.46459,-0.383113,0.476004,-0.233402,0.108631,0.817941,0.671329
178,-0.451372,-0.766618,0.611343,0.536398,-0.227793,0.010633,1.142685,-0.09323
179,0.509237,-0.960813,0.393997,1.171085,-0.04002,-0.894441,1.46107,0.705974
180,-0.176341,0.489898,0.193363,-0.110477,0.87735,-0.347944,0.154223,-1.484391
181,-0.164107,-0.530331,0.514737,0.543496,0.43995,0.206399,1.466595,-0.47249
182,-0.781902,-0.564409,-0.749942,-0.562527,-0.509754,0.034781,1.237048,-1.643782
183,0.49798,1.527269,0.175827,0.991258,1.025351,1.069443,0.074922,0.594373
184,-0.530317,-0.203779,-0.135159,-0.813692,0.136882,-0.319848,-0.001486,0.630783
185,0.147847,0.670249,0.422574,0.54761,1.123369,0.215872,0.511714,0.700966
186,0.316046,0.317286,0.793195,0.996772,0.478684,1.391512,1.099093,1.030915
187,-1.253578,-1.09915,-0.640923,-0.166168,-0.328936,0.360575,-0.147496,-1.134758
188,1.965522,2.54236,1.311773,1.366392,3.157306,2.723153,1.931668,-0.180634
189,-1.097212,-0.732297,-0.994059,0.264164,0.778508,-0.842097,0.08398,0.475137
190,1.30498,1.464659,0.614283,0.151359,1.511852,1.094349,0.37863,-0.723141
191,0.67825,1.21247,1.507257,0.721991,2.171999,0.746401,2.116216,-1.463467
192,-2.350314,-1.998273,-1.266987,-0.872988,-0.356492,-1.658988,-0.798221,0.79829
193,0.700612,1.457852,1.604576,0.725563,1.215389,1.484096,2.157162,-0.959186
194,1.516851,1.918403,1.68791,2.397654,1.21193,2.259923,0.922777,0.011317
195,-1.423991,-0.528681,-0.444841,-1.424341,-0.154745,0.007377,0.585811,1.560208
196,-0.032893,0.1653,0.407469,1.173418,0.109945,-0.581306,0.821288,-0.643807
197,-1.680357,-1.919228,-0.969198,-1.428125,-0.074323,-1.357427,-0.718164,-0.001357
198,-0.713053,-0.868423,-0.134592,-0.795588,-1.519088,0.47855,0.593649,-1.900024
199,-0.514121,0.009478,-0.23728,-0.514667,1.105636,0.951886,0.891914,-0.08714
200,1.717415,1.736983,1.991952,2.036931,2.197686,1.997206,2.011013,-1.373851
201,1.551101,1.570655,1.614819,1.624948,1.3487,2.064158,1.631197,-1.608278
202,0.882434,1.421555,1.683883,0.311285,0.95663,0.721432,2.003924,0.84219
203,-0.065994,0.308563,-0.410428,0.449657,0.3633,0.878537,0.227277,-0.901437
204,-1.496551,-1.017659,-0.864812,-0.939346,-0.670015,-0.752597,0.579488,0.421428
205,-1.402,-1.659988,-0.409609,-1.197866,-0.217338,-0.589962,0.351965,-1.570728
206,-0.757741,-0.326558,-0.150406,0.59063,-0.014788,0.231748,0.54728,-1.528395
207,1.83983,2.270139,1.185913,1.701753,2.324733,2.306097,1.672456,-0.526409
208,-0.653209,-0.836921,-0.276138,0.178334,-0.161225,-0.498135,-0.129243,1.599871
209,-0.962658,-0.206706,-0.557584,-0.998784,0.46523,0.106929,0.085331,0.700877
210,0.004669,-0.280849,0.440553,0.390979,0.932663,-0.198247,0.334162,-0.158019
211,0.833302,0.811492,1.248416,0.869927,1.475781,0.925149,2.219663,0.534607
212,0.148131,1.841572,-0.162766,0.466771,1.13905,1.763409,-0.486675,0.311377
213,1.053545,0.185335,0.407239,-0.204278,1.688711,-0.1252,-0.128958,-0.859217
214,1.863699,2.525299,2.02465,2.274912,1.904688,2.285325,3.307217,0.019378
215,1.189799,1.590744,1.137939,0.907275,1.364005,1.71465,1.321374,-1.221901
216,0.078989,-0.592932,0.185395,-0.736325,-0.798802,0.373149,0.658741,-0.930965
217,-0.45504,-0.195874,0.393853,-0.102546,0.422984,-0.329048,0.663831,0.067614
218,0.312227,1.345063,0.471796,0.713969,1.043535,1.590105,0.843535,0.297363
219,-0.341495,0.037579,0.187156,0.288445,-0.449177,1.646706,0.860705,-2.006804
220,-0.039364,0.197658,0.6974,0.062562,-0.324995,0.616434,0.732545,1.009898
221,-1.363415,-1.085219,-1.341324,-0.001078,-1.025822,-0.962489,-0.715868,1.465369
222,-0.140902,0.416203,0.429966,0.304644,1.281443,-0.571061,1.412716,1.216757
223,-0.160427,-0.199334,-0.330746,0.853061,-0.842193,-0.325101,0.722416,1.332243
224,-0.637837,-0.160801,-1.107663,-1.262811,0.188668,-0.783276,-0.163458,-0.08854
225,-1.983643,-1.767542,-2.049723,-0.986391,-0.835271,-2.362757,-1.151387,-0.898256
226,0.918805,0.892129,1.476327,0.879527,2.118335,1.259241,0.557903,-0.749584
227,-0.0015,0.592421,1.060848,-0.366473,0.37284,-0.421046,1.960912,-0.145754
228,1.037771,1.461683,1.083446,1.68312,1.663799,0.882803,1.623146,-0.331982
229,-1.591127,-1.345096,-0.734337,-1.254551,-1.253056,-0.321424,-0.857658,0.736764
230,-0.357487,0.289048,-0.317288,0.021621,0.405007,0.60717,-0.114188,-0.884643
231,0.925386,2.376225,1.04183,0.548407,2.430313,2.842996,1.343413,0.856837
232,-2.178284,-2.873552,-2.16438,-1.827041,-1.444205,-1.229739,-1.688333,1.720645
233,-0.50288,0.038828,-0.590227,-0.553675,1.251205,0.309531,-0.320926,1.738418
234,1.179222,1.11885,1.474575,-0.138678,1.070325,1.608432,1.3395,-0.257005
235,0.180393,0.670384,1.403109,0.731742,1.897608,0.526625,1.473243,-0.689013
236,0.674624,1.027457,0.914647,0.166713,1.764385,1.452097,1.277324,0.785706
237,-1.864649,-0.779219,-1.804083,-1.183628,0.336687,-0.132225,-1.034639,0.367246
238,-0.566298,-0.346445,0.057054,-0.818967,0.277685,-0.707555,0.647768,0.024992
239,0.074077,0.673488,-0.164616,2.007416,0.899756,1.325266,0.288906,-0.80168
240,1.808047,1.760741,1.13951,2.149435,2.210511,1.072397,1.526399,1.257102
241,-0.074401,0.792381,0.358378,0.104801,0.775845,0.935389,0.348156,1.185823
242,-0.470187,0.226332,-0.601641,-1.944923,0.652031,-0.710597,-1.371491,0.311956
243,-1.150695,-1.135155,-0.329424,0.26132,-0.483008,-0.394676,0.302172,0.057708
244,0.11129,0.461947,0.735826,-0.454361,-0.105739,-0.050205,0.438763,1.006253
245,1.740246,2.741531,1.631893,1.681074,2.839294,1.789427,1.933858,0.015353
246,-0.880319,-0.344684,0.238818,-1.121962,0.125278,-0.115629,0.314089,0.353887
247,0.611066,1.259445,1.438172,0.534587,2.297443,0.619319,2.048833,-0.816391
248,-0.260842,1.34479,0.159208,0.216803,1.058661,1.513071,-0.382746,0.474807
249,0.452676,-0.059633,0.514742,0.382982,0.017593,0.441395,0.909171,-1.867908
250,0.343046,1.456323,0.128313,1.056275,1.156448,1.392408,0.629763,-0.498077
251,-2.249169,-1.705306,-1.924323,-1.384378,-0.860008,-0.276425,-0.74257,-1.417536
252,0.114944,1.882347,0.048825,0.160814,2.021753,1.750702,0.164839,1.295743
253,-0.767098,0.656888,-0.680333,-0.878261,0.724664,1.256434,-0.331092,-0.171429
254,-0.293271,-0.430296,0.460386,0.813515,-0.666991,-0.549791,0.612916,0.793887
255,-0.218517,-0.150867,0.405418,-0.036488,0.262925,0.677522,-0.092061,-2.168896
256,0.07271,0.517777,-0.299698,-0.028519,1.166583,0.512367,-0.243548,-0.895736
257,0.135761,-0.557754,-0.591268,0.710678,-1.090251,-0.864124,-1.15373,-0.154512
258,1.145159,1.216985,1.419625,0.84685,0.815401,1.206166,2.346984,-0.870321
259,-0.452802,0.899191,0.624175,0.214764,0.874031,1.262293,1.038688,-0.932063
260,-0.832204,-1.599249,-0.271343,-0.351485,-1.251574,-1.449793,1.072965,-0.274797
261,0.164887,-0.710327,-0.262426,1.896123,-0.297344,0.59278,-0.112356,1.080538
262,-0.066691,0.577103,-0.165203,-0.522871,-0.064252,-0.158701,-0.542141,1.239445
263,-0.89594,-1.136318,-1.864787,-0.216325,-1.440972,-0.107972,-0.934345,0.437835
264,0.443469,1.189107,0.876593,-0.035159,0.908252,1.341872,0.26693,0.15169
265,0.130726,0.899237,0.097638,0.295423,1.610905,2.061419,-0.125495,-1.248381
266,1.837279,2.228181,1.250881,1.420974,2.191315,1.571356,1.48436,2.247564
267,0.002686,0.03821,0.002377,0.473245,0.139769,0.042743,0.278115,0.499596
268,-0.332626,0.22815,0.432326,-0.177789,0.943274,0.222368,1.181331,0.228954
269,0.527171,1.324472,0.462591,0.670257,2.448093,0.56326,1.310959,0.111468
270,0.74489,1.299335,1.405098,1.188408,1.231553,1.403539,0.363237,0.527478
271,-0.591614,-0.108788,-0.331834,-0.523386,-0.527011,0.247666,0.064559,-0.040463
272,-0.584272,0.144904,-0.964057,-0.992326,0.047327,0.211755,-0.936432,-0.91267
273,-0.875567,0.255434,-0.366731,-0.29283,0.812213,0.228461,-0.806134,-0.980862
274,0.932757,1.298125,0.922885,1.143235,1.779674,1.52412,0.762249,-0.873739
275,1.008716,0.472921,1.243963,1.150931,0.625321,0.999935,1.387456,0.326402
276,-0.831332,0.565925,-0.76502,-1.536936,1.75892,1.007203,-0.433332,0.992263
277,-0.943814,-1.228261,-1.249386,-0.428242,-0.780164,-0.707925,-1.371521,-1.323801
278,-0.439624,0.927349,0.482623,0.258668,1.106348,1.023832,1.205611,-1.457469
279,0.229563,1.424154,0.728598,0.757378,2.377574,2.059981,1.510656,0.254299
280,0.965347,1.860053,0.133992,1.575901,1.849491,1.830261,-0.359207,-0.098889
281,-2.395413,-1.284113,-1.383873,-0.268996,-0.71854,-1.189795,-1.221245,0.212203
282,-0.516675,-0.209189,0.029272,0.007026,0.389202,0.698137,-0.485151,0.005738
283,-0.54141,-0.484209,-1.316112,0.018713,-0.012358,-0.509701,-0.282683,0.279813
284,2.597956,2.714702,3.190957,2.557812,2.378809,2.39121,3.249181,0.143008
285,-1.145289,-0.712411,-0.036767,-0.311279,-1.249581,-0.938361,1.197305,0.860649
286,-0.452216,-0.050357,-0.691405,-0.606971,0.364842,0.346388,-0.50732,1.167231
287,-1.665038,-1.470971,-0.335777,-2.666186,-1.115393,-0.261305,-0.4685,-0.655742
288,-0.412258,-0.05007,0.002881,-0.4472,-0.22885,0.46375,1.149383,0.094725
289,-1.629579,-1.780144,-0.792531,-0.763752,-1.600295,0.087492,-1.176789,-0.687182
290,-0.865258,0.16842,-1.081513,0.036464,0.431756,1.462273,-0.889719,-0.020374
291,1.761977,2.843432,1.55803,1.036242,2.503789,2.810719,1.079509,-0.696515
292,-0.248736,0.415285,-0.230926,0.369276,0.258507,0.467807,-0.326411,2.313453
293,-0.704225,0.276586,-0.756163,0.548087,0.684918,0.384316,-0.456173,0.020369
294,-0.398817,-0.453383,-0.053118,-0.661776,-1.03136,-0.016698,-0.004352,1.663623
295,0.33012,0.57499,0.963634,-0.334492,1.171024,0.647543,0.964053,-1.269747
296,1.722992,1.740901,1.210119,2.15724,2.267331,1.963827,2.011113,0.453628
297,0.329702,0.569212,0.505032,0.992973,0.899834,1.313418,1.246789,0.685318
298,-1.756075,-0.887571,-1.528406,-1.354586,-1.139018,-1.032094,-2.11362,-0.513168
299,0.930642,1.745256,1.27133,0.607624,2.506298,1.126863,0.845004,-1.080209
300,-0.291869,0.252347,0.710948,0.041212,0.655474,1.390267,0.730369,1.266121
301,-0.134802,-0.16424,0.057994,0.414808,-0.240717,1.308012,-0.953499,0.718647
302,-0.461414,0.156159,-0.217327,0.155577,0.905799,0.033263,0.029788,-0.134886
303,-0.904985,-0.619777,-0.390505,0.107322,-0.352656,0.089779,-0.122976,1.673607
304,-0.288345,-0.216613,0.812674,-0.0395,0.218186,0.968855,1.231257,0.145362
305,-0.43487,0.309547,0.512911,-0.73586,0.342118,-0.196946,1.805527,-0.966626
306,1.067706,1.083059,1.856184,1.268643,0.375375,1.479607,1.604665,1.094049
307,1.325432,1.259007,1.856101,1.270575,1.475338,1.876019,2.970412,0.741252
