id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,label
r00026,0.235494,-0.495623,-0.662217,-0.660533,0.084629,0.896417,-0.699366,-0.606935,-0.407952,0.356265,0.704805,-1.261297,0.357935,-1.004025,0.719256,-0.969631,0
r00027,-1.090199,-0.717371,-0.061995,-1.001447,0.212962,0.148672,0.083587,0.271142,0.879040,-0.734140,0.001927,-0.029593,-2.063379,0.391104,-0.773720,-0.721696,0
r00028,-0.447751,0.098392,0.331829,0.486122,-0.696392,0.699602,0.419618,-0.392350,-0.020599,0.805892,0.434049,0.698783,0.106742,1.142062,2.227205,0.455332,1
r00029,-1.602869,1.729215,-0.570959,-1.383683,-2.373617,0.426079,1.096604,1.003050,-0.382611,1.448510,-0.077436,-0.591956,0.068064,0.214150,0.049391,0.400527,1
r00030,-2.191710,1.569951,-0.568695,0.651193,-0.799541,0.162766,-0.176097,-1.581195,0.384197,0.634563,-1.115697,-2.097181,-0.645910,-0.842207,0.110848,-0.017249,0
r00031,1.612690,0.648692,-0.256241,0.162235,-2.883320,-0.905228,-0.921663,-0.110202,0.319530,0.213691,0.935213,-0.690378,0.305713,-0.130618,0.013212,0.321521,1
r00032,-0.281410,0.211789,-0.034899,1.022495,-0.111798,0.304817,2.595011,0.624810,0.511728,1.076683,-1.006595,0.708794,0.748898,0.438840,0.972862,0.784243,1
r00033,1.188796,-0.640933,0.431868,-0.544178,1.238134,0.135969,-1.297102,0.109960,-1.000586,0.980314,-0.336944,-2.184063,-0.386663,1.021120,0.328934,-0.631617,0
r00034,0.645891,0.574402,1.466269,0.900238,0.366082,-0.785153,0.283497,0.301185,0.013581,0.419527,-1.182126,0.568562,0.010322,0.355971,-0.095827,-0.298769,1
r00035,0.254373,0.780442,-0.319557,0.324565,-0.762211,0.415432,0.018555,-1.274322,1.157440,-0.885173,0.079804,-1.305254,-1.722140,0.654670,-1.392709,-2.062065,0
r00036,-0.213970,-1.539488,-0.202875,1.817217,-0.390525,0.355776,0.557674,0.245201,-0.118642,1.496432,-0.080191,0.353314,0.110444,-1.271688,0.317567,0.055367,1
r00037,0.642995,0.685740,1.553828,-1.883113,-0.552743,-0.469102,-0.855649,0.409864,-0.076569,0.138511,-1.615616,-0.947535,-0.064916,-0.442813,-0.601734,-0.116011,0
r00038,-0.274111,-1.052056,1.648626,-0.670325,0.643355,0.590622,0.956931,-0.565996,-0.988175,0.433869,0.257528,-2.332532,-2.588758,-0.537822,-0.385062,-0.265295,0
r00039,0.409713,-0.959020,2.615121,0.891893,1.283885,0.268999,-2.053325,0.233295,-0.544508,0.435011,-0.113339,0.660556,-0.868396,-0.359270,0.005047,-0.743608,1
r00040,-0.450803,0.606177,1.903476,-0.211107,0.814450,-1.123454,-0.451294,0.324184,0.569851,-1.011139,0.592520,0.143213,1.294172,0.924462,0.539874,-0.391301,1
r00041,0.257776,-0.846673,-0.816078,-1.819700,-1.284403,-1.254151,-0.101568,0.099752,-1.325687,-0.097998,0.395773,0.910488,-0.096028,0.213594,-0.373563,0.908677,1
r00042,-1.541428,0.233204,-2.289979,1.683531,0.908277,-2.079938,-0.523792,-1.394286,-1.743018,-0.409420,-0.873382,1.018735,-0.521202,-1.097957,-0.085723,0.393095,0
r00043,0.800422,0.488902,-1.477608,-0.817119,-0.189578,-0.834812,0.723280,-0.344858,-0.081818,-0.377921,0.031745,-1.488610,2.055151,-0.570408,-0.728523,-1.764290,0
r00044,-0.098230,-1.370622,0.309093,1.165615,0.587315,-0.448921,1.237289,-0.198640,-0.060367,0.047799,-0.483054,0.398765,-1.226154,-1.758542,1.165066,-0.737579,0
r00045,-0.363517,0.313789,-0.476414,-1.176992,-0.209593,-0.944953,0.523829,-0.451570,-0.270077,0.741679,-1.535044,-1.481474,0.701943,1.229233,0.073769,-0.709533,0
r00046,1.192944,0.495793,0.992357,-1.797861,-0.142876,-1.028691,-1.094377,0.554216,0.701001,-0.478119,-0.261825,1.338302,0.629757,-0.134280,0.486603,0.094343,1
r00047,-1.256331,-0.521085,0.262235,0.594453,-1.194963,-0.806851,-0.592676,-1.503145,1.066908,0.433252,1.273008,-2.163876,-0.812604,1.771559,-1.399175,-1.808056,0
r00048,0.202589,1.531564,0.614153,-0.958151,0.528677,0.388164,0.244325,0.367636,0.799121,1.128820,1.331810,1.031732,-0.159251,-1.834198,0.523267,-1.491117,1
r00049,2.227765,-1.151339,-1.830555,-1.832859,0.371184,0.281706,0.624988,0.267931,-0.780639,0.786174,-0.697112,-1.493607,0.878553,0.510536,-0.933895,-0.261589,0
r00050,0.997008,0.907765,-1.068935,1.076874,-2.563625,0.072340,0.364263,-0.131068,0.098288,-1.595381,-0.141869,0.477899,-0.926946,0.122941,-0.178224,-2.231569,0
r00051,-0.611464,0.559251,-1.544996,0.012026,0.317661,-1.270287,-0.258213,0.868979,0.699112,-0.987944,0.993073,0.325394,0.113094,1.477027,0.712137,0.353744,0
r00052,0.938341,0.646525,1.242781,-0.120303,-1.760910,1.527329,0.785981,0.511499,0.037773,-0.094055,0.094463,-0.941762,0.755992,0.078215,-0.948797,0.254884,1
r00053,-0.328592,-0.034748,0.530650,2.653513,-1.057409,0.398477,0.695542,0.413399,1.463126,-0.427533,-0.329607,-0.016194,-1.356394,1.083660,-1.230457,0.535265,0
r00054,1.176950,-0.828744,-0.178122,-0.204229,1.694186,0.255464,-1.741205,1.055677,1.017389,-1.975730,-2.696070,2.578748,0.082741,-2.107206,1.039992,1.398223,1
r00055,-2.361488,1.257291,0.698439,-0.025585,-0.699974,0.376748,-0.806975,0.154795,-0.256992,-0.444091,0.537647,0.966789,0.875978,0.438781,1.663533,-1.250602,1
r00056,0.063680,0.182359,1.202034,-2.243228,-0.440189,-0.315238,0.189707,2.240529,0.232277,-0.096101,0.421654,0.971085,-0.175364,1.665263,-1.205774,1.237365,1
r00057,0.698243,0.986616,1.536876,-0.243663,0.409444,0.260066,-0.601380,-0.760469,-0.773368,0.837175,-2.263902,-1.276302,0.073982,1.294718,-0.102928,1.251354,0
r00058,-0.062282,-0.531916,-1.553242,0.184800,1.715081,0.087806,-1.033838,0.578097,-1.363727,-1.135476,1.105997,0.406521,0.958419,0.235137,-0.117722,0.171470,0
r00059,-0.323140,1.044672,-1.280117,-1.880507,-0.843820,0.893472,-0.539633,-2.290726,2.827300,-0.925443,-0.192972,0.572147,0.365155,-0.166559,-1.548548,0.516915,0
r00060,-0.976076,-0.178204,0.750178,-0.385134,-1.783000,-0.600784,0.601614,0.708943,-1.291082,0.046390,0.291174,1.060788,0.399074,0.157497,-0.304753,0.466477,1
r00061,0.765548,-0.158400,-0.281809,1.727045,-0.043296,-0.778485,0.669001,-1.232055,-1.076912,0.906833,0.021043,0.781635,0.767091,-0.752571,0.498526,-0.375371,1
r00062,0.212453,0.248124,-0.082765,-1.280881,0.296971,0.018023,0.523989,-1.043726,0.196732,-0.206050,-0.423985,-0.264811,-0.248091,-1.352208,-0.539442,-0.458071,0
r00063,0.460476,-0.152755,1.396762,0.594466,0.310485,0.204805,-1.402001,0.357224,1.244057,-1.002218,1.301345,0.605970,0.281253,-0.421609,0.021868,-0.773364,1
r00064,-0.016482,0.052238,0.062109,-1.202690,0.913641,-0.646703,0.391012,0.578646,-0.203070,2.413538,0.119253,0.412862,-0.244259,0.324318,-1.243012,0.631358,1
r00065,-0.362401,-0.502936,0.747700,0.890151,-0.418567,-1.005060,-1.975771,-0.979840,0.483737,0.624100,-1.238498,0.048567,1.030807,-0.747097,-0.545691,-0.889003,0
r00066,0.406352,-1.857364,-0.129236,0.459874,-0.054366,0.939170,0.603104,-0.500940,-0.983418,-1.039086,0.478947,-0.135193,0.112840,-0.898583,1.128369,0.852245,0
r00067,0.738347,-1.096205,2.545647,0.824335,-1.061706,0.946415,-0.126460,-0.766842,-0.749662,0.486734,0.300638,0.206880,-0.212540,-1.005934,0.245846,-0.262864,1
r00068,-0.200137,0.597661,1.657579,-0.615512,0.945023,-0.720344,0.822984,0.631595,0.034788,0.230835,-0.759590,-0.328550,0.932596,0.750578,2.206101,-0.984842,1
r00069,-0.455155,0.098376,0.057917,-0.490446,-0.406637,-0.097357,1.246948,-0.100303,-0.736400,0.305155,-2.550511,-0.845293,-0.616073,0.300020,-2.228336,-0.205822,0
r00070,-1.044062,0.958846,0.774515,-0.433871,0.458100,-1.138415,0.212379,0.255014,1.038849,-0.418915,-2.093422,0.780849,-1.052757,-0.527903,-0.351462,1.613347,1
r00071,-0.044167,1.126842,0.073036,-1.360777,0.447692,0.502667,-0.547491,-1.520426,2.767939,2.081507,0.405292,0.450410,0.919153,0.581166,-1.441656,-1.347468,0
r00072,0.803790,1.324166,1.040194,0.809205,-0.011075,0.938524,1.510881,0.517199,1.222209,1.181263,-0.691966,1.145759,-0.743409,-0.888243,1.574099,-1.599995,1
r00073,-0.180386,0.883047,0.382093,-0.372872,-0.907105,0.498235,0.518161,-0.077470,-0.944919,-1.391665,-0.006220,-0.045323,0.811891,-0.300095,0.887727,-1.173651,0
r00074,-1.675668,0.910161,-0.409778,-0.814029,-0.135084,-1.178459,-0.330189,-1.340433,0.167973,-0.564666,-0.049197,0.001688,0.435810,-1.662096,0.154589,-0.253705,0
r00075,-1.113401,-0.250593,0.491946,0.459044,1.931624,-0.313963,0.139514,1.874602,-0.574498,-0.801189,-0.442996,-0.569127,-0.021182,0.140840,-0.730478,-1.099146,0
r00076,-0.048993,-1.182829,-0.784787,0.340398,-0.089009,-0.961790,-1.381968,-0.961592,-1.430853,0.519891,0.719484,0.292999,0.304561,-0.475707,0.160004,0.059696,0
r00077,0.047867,-0.471680,-1.037240,0.279579,0.371367,-1.075631,-0.222006,-0.030568,0.479210,-1.639266,-1.354434,-1.329237,-1.196325,-1.042329,0.821586,-1.116383,0
r00078,2.060951,0.264000,0.669071,-0.044110,0.834113,0.367639,0.776351,0.565064,0.597380,0.374901,1.057877,0.021897,-0.499272,1.536372,-0.461254,0.387746,0
r00079,2.030520,-0.612173,-0.260667,-0.649128,-0.896457,0.629025,-0.194043,0.125357,-1.642820,0.469372,-0.690333,-1.860045,-0.693781,-1.547855,1.535314,-1.619944,0
r00080,0.277126,-0.999613,-0.787083,-1.236079,1.171116,-1.062650,-0.609920,0.226496,-0.355071,0.670988,-0.710666,-1.558536,0.439533,1.153989,0.512602,-0.804664,0
r00081,1.129635,0.764666,-0.361695,0.424068,-0.027820,0.114227,0.624661,0.847197,0.086742,0.067227,-2.392686,-0.776917,0.447537,-0.767607,0.362830,-0.186419,0
r00082,0.068382,0.094645,1.266487,0.487530,0.049968,-1.138600,0.360268,-1.034637,1.193992,-0.668912,-0.595397,-0.140767,-0.964560,0.480038,0.318982,-0.648069,0
r00083,-0.510028,1.769763,1.119802,0.534758,0.280619,1.452428,-0.369064,-0.248823,-0.126615,-1.014933,-0.846752,1.779491,0.154661,-0.846682,-0.225212,-0.461407,1
r00084,-0.412073,-0.049115,-1.410533,-1.721778,-0.188806,-0.217807,-1.122182,-0.092806,-0.536237,0.200509,-0.192736,1.075532,1.350936,0.647332,0.033551,0.827424,1
r00085,0.714467,0.458652,0.754179,-0.348337,0.758838,0.522302,0.403740,-0.145221,-0.375864,0.572435,-0.462301,-1.012252,1.623337,1.153162,-0.717366,1.342593,0
r00086,-1.938242,0.591867,0.672034,0.257134,-0.173930,0.764017,0.516390,-1.062700,-0.679120,0.976080,0.735427,-1.070451,-1.395031,0.439328,-0.764588,-0.674856,0
r00087,-0.475510,0.237332,-1.906201,0.767574,-0.328643,0.894939,-1.064518,-0.807613,0.491152,0.969346,-0.029318,-0.289387,1.301294,1.059680,0.309526,-0.209685,0
r00088,1.223822,0.687304,-0.314640,1.427675,1.078939,0.235685,0.473543,0.763708,-0.414926,-1.120151,1.161665,-1.528825,-1.418764,-1.322279,0.499765,1.018366,0
r00089,-0.592827,1.268928,1.592588,1.339373,-1.201912,1.272043,2.222060,-0.834557,-1.520933,1.254990,0.528033,-0.009962,-0.025636,-1.611691,-0.778644,0.211861,1
r00090,0.476944,0.912945,0.922590,-0.420864,-0.046862,1.389253,-1.273548,0.528780,-0.788098,0.231685,1.801240,0.408481,-0.404479,-0.628497,-1.318846,0.005462,1
r00091,-2.149791,-0.048308,0.153064,-0.841643,-0.727826,1.167324,1.220947,1.987527,1.128994,0.331298,-0.178670,1.208890,0.683536,0.201405,1.757304,-0.121144,1
r00092,0.199777,1.085302,0.499563,0.103366,1.029998,2.691872,-0.285623,0.698338,0.442430,0.192504,1.641134,-0.048063,1.667432,-0.911979,0.156295,-0.751216,1
r00093,0.386109,0.692985,0.569386,0.248216,-0.218598,-1.141480,0.850727,0.056139,1.142422,-1.581718,-0.208437,-1.608087,1.085183,-0.671944,-0.969655,0.873293,0
r00094,-0.055150,0.266908,-0.069188,1.103949,0.298580,0.280951,0.016271,0.958088,1.113630,-0.307732,0.858120,-1.411288,-0.737470,-0.483696,-0.682254,0.545452,0
r00095,-1.305925,-1.468774,0.211105,-0.809494,0.079016,0.108101,-0.620421,-0.364403,0.847558,0.029530,0.091635,0.671659,-0.678905,-1.137938,-0.320697,1.587593,1
r00096,0.609035,2.170669,0.982599,0.909659,-0.454055,-1.559033,-2.019296,0.162978,-1.054873,-1.111258,0.565200,0.306408,-1.226453,0.268012,1.359825,0.926347,1
r00097,-0.647522,0.932736,-1.892354,-0.263119,-0.412040,1.212895,-1.150807,-0.897958,-0.308204,0.748010,-1.332251,0.250660,-0.329355,-0.422812,-1.209147,0.425607,0
r00098,0.157983,0.436591,0.184952,-0.088531,-0.835541,0.007081,0.778133,0.154041,0.534039,0.858533,0.343175,-0.218380,-0.918851,1.237087,-0.145156,-0.144993,1
r00099,0.108007,0.805226,0.853485,-0.662343,-0.054260,1.142642,-0.566506,0.053065,-0.795299,-1.385614,-1.229038,0.176829,0.322040,-2.481783,-0.228599,-0.196004,0
r00100,-1.472656,-0.047336,-0.739075,1.326447,-0.933649,1.022139,-1.122136,-0.978901,1.399741,-0.708054,-0.394049,-1.510210,0.167906,1.369768,-0.257950,-0.243558,0
r00101,0.019359,-0.716949,-1.216565,0.060374,-0.295706,-1.676637,-2.321684,0.471035,-1.210845,0.453173,0.883319,-0.046934,-0.561046,-2.438831,1.494657,0.876839,0
r00102,-0.720393,-1.016301,0.487921,-1.921880,0.698322,0.919537,-1.159228,-1.027824,1.741212,-0.465173,0.172832,-0.321913,-1.979238,0.987651,1.584338,-0.558216,0
r00103,-0.859697,1.482813,-1.454613,-0.293629,-1.300552,-1.522257,-0.591960,-2.587267,-1.165438,0.047331,-0.705666,-1.073389,2.410733,0.768191,-0.492623,1.068699,0
r00104,0.626971,0.170936,0.726583,-0.348978,-0.549688,1.743391,0.080421,1.481771,-1.936001,-0.886901,-0.883238,0.129577,-0.054262,0.949517,0.504509,0.000368,1
r00105,0.516195,0.699288,0.275247,-2.369994,-0.461976,0.601205,-0.378244,1.356499,-0.495529,0.066701,-0.782710,-0.117804,1.083395,1.379397,0.849074,0.660514,1
r00106,0.125310,-1.244865,0.612298,-0.623149,0.281833,-0.098845,0.831119,-0.642980,0.774940,0.015037,1.583441,-0.111705,-0.146038,-1.819715,0.855548,0.034363,1
r00107,-2.140052,0.468366,0.476560,-0.310871,1.267299,-0.100935,-0.139893,0.391204,-1.086292,0.538905,-0.825578,0.248663,1.075148,-0.366051,-0.614569,1.621301,1
r00108,0.037552,1.047694,0.585214,0.448589,1.393265,-0.026358,-1.479330,-0.221278,-0.570118,-1.071604,-0.378035,0.419570,0.499073,0.093389,-0.118693,0.080360,0
r00109,-0.413757,-0.807183,0.089463,0.862970,-0.685142,0.030911,0.688902,-0.919014,0.383424,0.176397,1.013977,-0.835534,-0.405696,1.527211,2.009454,0.597347,1
r00110,1.361561,-0.574081,1.000763,0.328511,0.696301,-1.146860,0.186297,0.706815,1.118829,0.473065,0.453872,0.986631,1.703616,-1.311457,-1.748341,0.089243,1
r00111,1.617753,1.812876,0.761976,-0.858915,0.633626,-0.551468,0.876380,-0.108149,1.693912,-0.871944,1.476868,-0.644323,0.725390,0.360055,-1.221887,-1.814515,0
r00112,-0.118714,-0.256011,-0.529637,0.752298,0.339298,0.628266,-0.960939,-0.097912,-0.110125,1.024754,1.274317,-0.438703,0.027309,-2.322784,2.022130,0.398275,1
r00113,0.546400,0.372072,-0.111330,-1.668441,-0.853780,-0.750896,-0.184000,-1.040819,0.240979,0.661422,0.207789,0.177913,2.338428,-0.727882,-0.598808,0.839743,1
r00114,-0.313888,1.715104,-0.610610,0.029171,1.715749,-1.528859,1.061747,0.319235,0.258930,1.404026,-0.530845,0.652277,-0.442118,1.293872,-1.156509,-0.023025,0
r00115,-0.478338,-1.026297,1.015252,-0.352240,0.598313,-2.230645,-0.962777,-0.923767,0.389736,-1.528710,0.361089,0.973672,0.113959,0.172055,-0.342853,-0.824486,0
r00116,-0.006886,0.229621,1.477558,0.211023,-0.671153,0.833747,-0.979978,-1.949671,-0.213357,-0.670466,0.635600,-0.043674,-1.256173,-0.698350,-0.488414,2.039047,1
r00117,-1.212353,-1.002912,1.217694,1.445004,-0.322137,1.349607,-0.072133,-0.878980,-0.085596,0.891536,1.450329,-0.199605,-1.263944,0.230784,-0.435313,-0.646825,1
r00118,0.427197,0.220628,-1.175522,-0.666596,1.379575,-0.192231,1.774512,-2.347743,-1.046287,0.023459,-0.948327,0.173558,0.083214,-1.305897,1.790587,1.736491,0
r00119,-1.639158,-0.274770,-1.273977,-0.391118,-0.438164,-0.227204,1.103080,1.186854,-0.307455,0.425728,0.663875,-1.521660,0.086020,-0.985729,1.142500,1.243071,0
r00120,0.318615,1.450764,-0.263835,-0.754279,1.335862,0.018379,0.334041,-1.289917,0.716776,-0.070542,-0.126741,-1.061570,-0.742665,-0.410005,0.154691,1.251399,0
r00121,-1.711382,-1.370189,-0.934569,-0.715289,-0.819949,-1.142382,-0.659314,0.430649,-0.408013,-0.901038,0.593794,0.141687,-0.963417,1.179890,-0.645512,-0.964788,0
r00122,0.360049,-0.812932,-0.989333,1.342863,-0.452857,-0.951148,0.177516,-0.147967,-1.925449,-0.448001,0.474838,-0.451262,0.434752,-1.155086,0.819119,-0.353133,0
r00123,-0.733886,-1.230913,0.908601,-0.054216,-0.396920,0.329928,-0.154541,-0.349390,0.328113,-0.456284,0.891805,2.279266,-1.676590,0.016381,-0.421309,0.614796,1
r00124,-1.931763,2.095554,0.773548,2.026580,1.119752,-1.014132,-0.159802,1.611416,1.109034,-0.753296,0.256611,1.347769,1.287173,-0.360718,0.397479,0.542590,1
r00125,-0.214181,-0.228810,0.967957,0.008005,-0.054309,1.165226,1.146789,0.570313,-0.393520,-0.779554,-1.066103,-0.600966,0.319197,-1.270976,-0.832540,-0.982813,0
r00126,0.199223,-0.404028,1.511781,1.315384,0.063929,-0.109442,1.078149,-0.845854,0.960651,-1.221827,-0.350255,0.345017,0.145209,-1.566827,-0.780903,0.147840,0
r00127,-1.541277,1.766837,-0.668424,0.157193,2.758089,-0.237542,0.294042,0.593354,-0.125451,-0.981129,-1.497590,0.246903,-0.195223,1.329150,0.201147,0.678152,0
r00128,-1.013664,-0.297973,0.438266,-0.342053,0.673790,-0.391480,-0.261291,0.395676,-1.134107,2.572415,-1.230747,1.449162,1.525360,-0.227641,0.426420,0.973413,1
r00129,0.377224,0.657307,-0.306412,0.518461,-0.519341,-1.099869,-0.194902,0.741455,0.308714,0.384167,-0.365741,0.148353,-0.760142,-0.108614,0.109465,-0.780338,0
r00130,1.490622,-1.895116,0.649520,-0.307521,1.019371,-0.487400,0.836151,-0.740613,-0.748281,-0.197118,0.044918,-0.956598,1.168260,-1.045724,-0.226840,0.108581,0
r00131,-0.121137,1.032127,-0.906914,0.961943,1.122131,0.036878,1.930589,-1.546253,-0.572544,-1.411456,-3.032114,-2.286011,0.277048,-1.075374,-2.367698,0.065880,0
r00132,-1.279803,-0.431489,-0.522614,1.381838,-2.390673,0.174023,3.328418,-0.006189,0.284301,-0.090867,0.816514,0.402146,0.593105,-1.132372,-0.019618,0.460191,1
r00133,-0.000210,0.521841,1.024650,1.297008,0.211127,0.566255,-0.385783,-0.361782,0.724916,-1.255046,1.157378,-1.117722,-0.095699,-0.783047,-0.864779,0.455805,0
r00134,-1.717538,1.384748,-1.649075,0.700882,-0.282993,-0.304280,0.322457,1.273100,0.178309,-0.706350,0.001697,0.972886,-1.009441,0.265757,1.219292,-0.621884,0
r00135,-0.161755,0.904055,-0.590965,-0.028612,-0.285184,0.229995,-1.114790,-1.672010,1.084909,-0.800957,-0.959305,0.849398,-0.585629,-0.213122,-1.135176,-0.294211,0
r00136,0.351418,1.022840,0.737965,-1.227495,-0.351785,0.649067,-0.866730,-0.926379,-0.334982,1.077861,-1.170556,0.776689,0.697220,-0.668438,-1.248382,-0.304218,1
r00137,-0.371168,-0.648346,0.043847,2.260847,0.923745,1.196629,-0.074128,1.160066,-0.704950,0.222395,1.124373,2.246273,0.538523,0.133224,-0.067313,-0.960990,1
r00138,0.585107,1.628729,0.677663,-0.078837,-0.268695,-0.968310,1.347585,-0.019191,1.164861,-0.905159,0.730966,0.794771,-0.159444,-0.553637,2.608412,1.610650,1
r00139,1.286943,-0.669262,1.431912,0.603752,1.742252,-0.122248,-0.232609,-1.051176,-1.541303,-1.685914,-0.393601,0.001269,1.509694,1.951582,-0.588904,-2.264632,0
r00140,0.282358,0.378158,-0.431166,-0.965543,-0.708123,0.168022,0.144883,-1.738020,-0.159790,-1.047886,-1.001768,0.057731,-0.866992,0.191615,-2.511876,0.496346,0
r00141,0.171564,-0.511012,-0.885751,-1.625424,-1.176198,1.735674,0.356165,-0.140034,-0.691464,-0.692900,-1.232949,0.263608,0.897012,-1.090050,0.577707,-0.488222,0
r00142,0.289594,-0.954223,0.742224,1.642965,-0.632066,-0.333732,0.912276,-0.721647,-1.336923,-2.581980,-0.581430,1.109757,-0.785140,-0.235620,-2.541511,-0.552181,0
r00143,-0.255121,-0.742716,-0.561326,-1.263358,-1.012272,1.095432,-1.239742,1.225761,-1.420465,1.207592,-0.179408,0.587120,-0.247902,0.455064,2.331125,-2.333186,1
r00144,-0.640686,0.372516,1.438959,-1.319086,0.030625,0.853395,-0.532268,0.008597,0.245346,0.976141,0.408442,0.381008,-0.669334,-0.517064,2.199547,-1.293485,1
r00145,-0.385980,-0.702755,0.055366,-0.907803,0.718376,-0.765640,-0.595979,-1.556963,-0.490751,-1.597797,-0.314458,0.480018,-1.709789,1.856079,0.792561,0.186867,0
r00146,-0.393177,1.003063,0.422256,-0.445971,0.150056,0.115198,-0.860872,1.360830,-1.378195,0.421373,-0.942451,-0.075780,-0.241466,0.158596,1.550931,-0.482579,1
